Year	Births
1970	0
1971	3117200.351
1972	3150595.781
1973	3171395.05
1974	3185004.961
1975	3201831.041
1976	3239478.453
1977	3289170.839
1978	3342492.973
1979	3391763.352
1980	3438319.416
1981	3479895.515
1982	3521894.774
1983	3557017.563
1984	3582201.949
1985	3599032.457
1986	3605199.735
1987	3618636.27
1988	3628686.543
1989	3632096.414
1990	3628548.102
1991	3613305.685
1992	3598879.933
1993	3582593.307
1994	3564120.332
1995	3544564.381
1996	3526732.359
1997	3505904.208
1998	3483688.766
1999	3459548.48
2000	3433176.502
2001	3405204.949
2002	3369418.909
2003	3322217.349
2004	3263583.594
2005	3203112.871
2006	3151919.28
2007	3117791.911
2008	3100867.763
2009	3090074.122
2010	3082370.639
2011	3075513.983
2012	3063497.241
2013	3046619.901
2014	3026558.086
2015	3004949.705
2016	2983465.373
2017	2962568.567
2018	2944103.552
2019	2924172.922
2020	2898526.508
2021	2870501.365
2022	2840630.188
2023	2809009.883
2024	2776116.558
2025	2742428.054
2026	2708584.119
2027	2675240.168
2028	2642251.91
2029	2609585.177
2030	2578015.725
2031	2548033.306
2032	2519672.063
2033	2493586.827
2034	2468831.002
2035	2445362.822
2036	2423201.313
2037	2402432.922
2038	2382269.917
2039	2362143.413
2040	2342429.618
2041	2323365.362
2042	2305241.94
2043	2287396.585
2044	2269129.454
2045	2250785.866
2046	2232661.365
2047	2215045.101
2048	2197780.839
2049	2180566.762
2050	2161719.138
