Year	Deaths
1970	48980.83
1971	1296316.51
1972	1344513.03
1973	1323538.24
1974	1253661.58
1975	1170429.95
1976	1116599.49
1977	1090238.49
1978	1087010.26
1979	1087051.79
1980	1088288.29
1981	1088788.56
1982	1086751.95
1983	1082125.44
1984	1075792.81
1985	1067783.46
1986	1059772.03
1987	1051792.13
1988	1044185.54
1989	1036310.22
1990	1027455.26
1991	1016888.53
1992	1005178.10
1993	992057.36
1994	978014.72
1995	964000.92
1996	950858.26
1997	939159.47
1998	928673.49
1999	918925.64
2000	909979.11
2001	901461.91
2002	893497.45
2003	886092.64
2004	879161.96
2005	872808.82
2006	866612.34
2007	861194.65
2008	855591.04
2009	849503.77
2010	844060.00
2011	840262.85
2012	838481.73
2013	837625.38
2014	836640.35
2015	836188.66
2016	836381.90
2017	838267.02
2018	841398.50
2019	845490.52
2020	850645.29
2021	856753.87
2022	864668.75
2023	874274.04
2024	885321.83
2025	897752.49
2026	910683.64
2027	924488.40
2028	938803.15
2029	953778.95
2030	970147.16
2031	986641.64
2032	1004645.56
2033	1023817.58
2034	1043991.98
2035	1065450.44
2036	1086701.06
2037	1109537.37
2038	1133975.90
2039	1160312.90
2040	1188999.92
2041	1216890.49
2042	1246501.14
2043	1276960.80
2044	1308348.51
2045	1340735.71
2046	1371582.64
2047	1402913.62
2048	1433846.46
2049	1465474.56
2050	1519629.51
