Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 0-4	7308.539737	3708.645496	3599.894241																																																																																																																																																																																																																																																							
 5-9	3934.820450	2011.105457	1923.714993																																																																																																																																																																																																																																																							
 10-14 	2425.513824	1233.204421	1192.309404																																																																																																																																																																																																																																																							
 15-19 	5220.033168	2662.480328	2557.552840																																																																																																																																																																																																																																																							
 20-24 	5296.345262	2708.810707	2587.534555																																																																																																																																																																																																																																																							
 25-29 	4672.648734	2407.568369	2265.080364																																																																																																																																																																																																																																																							
 30-34 	4057.693170	2122.454990	1935.238180																																																																																																																																																																																																																																																							
 35-39 	3471.912877	1830.451497	1641.461380																																																																																																																																																																																																																																																							
 40-44 	2923.057232	1532.754715	1390.302517																																																																																																																																																																																																																																																							
 45-49 	2461.718459	1298.977810	1162.740649																																																																																																																																																																																																																																																							
 50-54 	2036.478041	1087.278788	949.199252																																																																																																																																																																																																																																																							
 55-59 	1660.248551	898.085857	762.162695																																																																																																																																																																																																																																																							
 60-64 	1299.670275	723.885644	575.784630																																																																																																																																																																																																																																																							
 65-69 	969.334127	534.280412	435.053714																																																																																																																																																																																																																																																							
 70-74 	636.296793	343.835029	292.461764																																																																																																																																																																																																																																																							
 75-79 	363.636715	196.656997	166.979718																																																																																																																																																																																																																																																							
 80+ 	242.884704	131.167421	111.717283																																																																																																																																																																																																																																																							
Total	48980.832119	25431.643939	23549.188180																																																																																																																																																																																																																																																							
1971																																																																																																																																																																																																																																																										
 0-4	792100.875350	409766.294461	382334.580890																																																																																																																																																																																																																																																							
 5-9	122289.846918	54259.917235	68029.929684																																																																																																																																																																																																																																																							
 10-14 	26810.425379	11696.294707	15114.130672																																																																																																																																																																																																																																																							
 15-19 	19698.407193	8212.996313	11485.410881																																																																																																																																																																																																																																																							
 20-24 	19898.160095	8620.494373	11277.665722																																																																																																																																																																																																																																																							
 25-29 	17144.462155	7298.151679	9846.310476																																																																																																																																																																																																																																																							
 30-34 	17641.593975	7490.065460	10151.528516																																																																																																																																																																																																																																																							
 35-39 	17760.327051	7834.170123	9926.156929																																																																																																																																																																																																																																																							
 40-44 	20797.990417	9742.662357	11055.328060																																																																																																																																																																																																																																																							
 45-49 	22355.106754	10844.037326	11511.069428																																																																																																																																																																																																																																																							
 50-54 	24008.092055	12488.903999	11519.188056																																																																																																																																																																																																																																																							
 55-59 	27558.480608	14155.168180	13403.312428																																																																																																																																																																																																																																																							
 60-64 	34696.088985	18942.639983	15753.449001																																																																																																																																																																																																																																																							
 65-69 	43090.848100	23649.945077	19440.903023																																																																																																																																																																																																																																																							
 70-74 	48715.657092	26209.765503	22505.891589																																																																																																																																																																																																																																																							
 75-79 	47001.844357	25118.390659	21883.453698																																																																																																																																																																																																																																																							
 80+ 	58990.161046	31563.041822	27427.119224																																																																																																																																																																																																																																																							
Total	1360558.367533	687892.939256	672665.428276																																																																																																																																																																																																																																																							
1972																																																																																																																																																																																																																																																										
 0-4	815226.633030	422007.580408	393219.052623																																																																																																																																																																																																																																																							
 5-9	135881.164408	60479.625534	75401.538874																																																																																																																																																																																																																																																							
 10-14 	28172.608421	12336.988516	15835.619906																																																																																																																																																																																																																																																							
 15-19 	19567.802311	8274.181344	11293.620966																																																																																																																																																																																																																																																							
 20-24 	19690.869783	8637.236883	11053.632900																																																																																																																																																																																																																																																							
 25-29 	17041.559937	7270.271352	9771.288586																																																																																																																																																																																																																																																							
 30-34 	17695.449563	7512.359863	10183.089699																																																																																																																																																																																																																																																							
 35-39 	17827.057300	7860.856749	9966.200551																																																																																																																																																																																																																																																							
 40-44 	21117.895760	9901.812444	11216.083316																																																																																																																																																																																																																																																							
 45-49 	22829.887328	11042.870540	11787.016788																																																																																																																																																																																																																																																							
 50-54 	24679.267775	12815.835029	11863.432747																																																																																																																																																																																																																																																							
 55-59 	28362.228330	14530.299268	13831.929062																																																																																																																																																																																																																																																							
 60-64 	35951.786302	19538.452180	16413.334122																																																																																																																																																																																																																																																							
 65-69 	44728.606676	24661.526532	20067.080144																																																																																																																																																																																																																																																							
 70-74 	51165.902048	27652.664463	23513.237585																																																																																																																																																																																																																																																							
 75-79 	49087.235103	26247.004721	22840.230382																																																																																																																																																																																																																																																							
 80+ 	59951.627313	32153.803490	27797.823823																																																																																																																																																																																																																																																							
Total	1408977.581388	712923.369316	696054.212071																																																																																																																																																																																																																																																							
1973																																																																																																																																																																																																																																																										
 0-4	808992.297061	418917.579630	390074.717432																																																																																																																																																																																																																																																							
 5-9	125519.212041	55934.121316	69585.090725																																																																																																																																																																																																																																																							
 10-14 	27642.465548	12153.674656	15488.790892																																																																																																																																																																																																																																																							
 15-19 	19207.499826	8167.581234	11039.918591																																																																																																																																																																																																																																																							
 20-24 	19166.009751	8470.373261	10695.636491																																																																																																																																																																																																																																																							
 25-29 	16793.156956	7164.038115	9629.118841																																																																																																																																																																																																																																																							
 30-34 	17667.922233	7481.789533	10186.132701																																																																																																																																																																																																																																																							
 35-39 	17824.368736	7850.282957	9974.085779																																																																																																																																																																																																																																																							
 40-44 	21295.307470	9996.931540	11298.375929																																																																																																																																																																																																																																																							
 45-49 	23076.022889	11131.798134	11944.224755																																																																																																																																																																																																																																																							
 50-54 	25028.668375	12981.312906	12047.355469																																																																																																																																																																																																																																																							
 55-59 	28674.371297	14656.548229	14017.823068																																																																																																																																																																																																																																																							
