bangladesh_test	Total	Male	Female
1970			
 0-4	11989227.000000	6098992.000000	5890235.000000
 5-9	9617371.000000	4918056.000000	4699315.000000
 10-14 	8020535.000000	4079928.000000	3940607.000000
 15-19 	6620673.000000	3377532.000000	3243141.000000
 20-24 	5263781.000000	2693026.000000	2570755.000000
 25-29 	4539814.000000	2338812.000000	2201002.000000
 30-34 	3977997.000000	2080370.000000	1897627.000000
 35-39 	3444924.000000	1815906.000000	1629018.000000
 40-44 	2928302.000000	1535219.000000	1393083.000000
 45-49 	2489007.000000	1313129.000000	1175878.000000
 50-54 	2074349.000000	1107353.000000	966996.000000
 55-59 	1702778.000000	920948.000000	781830.000000
 60-64 	1340136.000000	746295.000000	593841.000000
 65-69 	1004498.000000	553528.000000	450970.000000
 70-74 	661733.000000	357458.000000	304275.000000
 75-79 	379401.000000	205096.000000	174305.000000
 80+ 	254336.000000	137254.000000	117082.000000
Total	66308862.000000	34278902.000000	32029960.000000
1971			
 0-4	12284417.301633	6247261.169619	6037156.132014
 5-9	9803286.528064	5019991.784236	4783294.743827
 10-14 	8278848.761318	4219181.755710	4059667.005608
 15-19 	6869171.846345	3501566.262085	3367605.584259
 20-24 	5479445.158363	2804340.489452	2675104.668911
 25-29 	4630559.137945	2381984.085577	2248575.052368
 30-34 	4074292.482111	2125009.637705	1949282.844406
 35-39 	3533623.776423	1863132.017659	1670491.758764
 40-44 	3008969.202181	1581486.490241	1427482.711940
 45-49 	2550002.201637	1342927.067969	1207075.133668
 50-54 	2132338.452055	1135738.539753	996599.912301
 55-59 	1748575.437937	943409.749648	805165.688289
 60-64 	1379679.396782	763837.651970	615841.744812
 65-69 	1030364.756604	571429.242555	458935.514049
 70-74 	683539.021217	370854.700211	312684.321006
 75-79 	385150.467360	207860.301421	177290.165939
 80+ 	249926.288469	135359.867115	114566.421354
Total	68122190.216441	35215370.812926	32906819.403515
1972			
 0-4	12350889.816963	6278496.765554	6072393.051409
 5-9	10036228.677057	5147329.879469	4888898.797588
 10-14 	8483284.785940	4332478.267427	4150806.518513
 15-19 	6898762.862768	3524379.159110	3374383.703658
 20-24 	5506485.689421	2825498.480051	2680987.209370
 25-29 	4695730.200177	2412827.852869	2282902.347307
 30-34 	4171818.299883	2170346.561707	2001471.738175
 35-39 	3621371.677729	1908786.425491	1712585.252238
 40-44 	3090110.303091	1627389.290292	1462721.012799
 45-49 	2612906.140267	1374588.480525	1238317.659741
 50-54 	2190006.652161	1164050.086257	1025956.565904
 55-59 	1794404.136345	965803.783967	828600.352377
 60-64 	1417551.522140	780733.326574	636818.195566
