Year	Births
1970	21040259.48
1971	20739588.91
1972	20999785.83
1973	21320924.64
1974	21676997.25
1975	22050987.12
1976	22421082.00
1977	22779238.03
1978	23114908.54
1979	23428882.35
1980	23727615.69
1981	24020054.88
1982	24317494.08
1983	24627909.87
1984	24944159.57
1985	25240092.04
1986	25464459.63
1987	25656904.67
1988	25790182.75
1989	25877906.94
1990	25923453.04
1991	25905668.56
1992	25899063.94
1993	25886219.85
1994	25860641.92
1995	25835895.43
1996	25833411.34
1997	25832122.84
1998	25847308.61
1999	25869840.24
2000	25891197.28
2001	25913109.69
2002	25882742.11
2003	25766092.18
2004	25572674.13
2005	25360798.95
2006	25195882.77
2007	25117795.93
2008	25117481.53
2009	25138951.13
2010	25168518.48
2011	25191546.28
2012	25177007.91
2013	25118402.69
2014	24999022.27
2015	24840817.70
2016	24676553.16
2017	24535791.72
2018	24436175.52
2019	24338785.89
2020	24235612.48
2021	24129082.16
2022	24017160.63
2023	23898457.39
2024	23771834.54
2025	23636925.01
2026	23495528.78
2027	23351266.99
2028	23207556.41
2029	23066563.30
2030	22928361.77
2031	22792324.81
2032	22657295.05
2033	22521750.97
2034	22384838.98
2035	22246625.13
2036	22106784.59
2037	21965257.19
2038	21820917.16
2039	21674507.11
2040	21528822.43
2041	21385812.67
2042	21247110.11
2043	21111489.98
2044	20977092.77
2045	20845159.43
2046	20716000.55
2047	20589387.84
2048	20463895.09
2049	20340077.20
2050	20283045.04
