Year	Deaths
1970	10067506.58
1971	8515451.735
1972	8457724.647
1973	8388915.509
1974	8299091.341
1975	8196617.63
1976	8150576.88
1977	8139101.559
1978	8161111.125
1979	8193370.273
1980	8232906.503
1981	8280601.05
1982	8332457.843
1983	8388554.316
1984	8449673.277
1985	8514773.627
1986	8580815.22
1987	8646308.461
1988	8709838.174
1989	8769511.12
1990	8822220.283
1991	8865950.064
1992	8902265.608
1993	8924204.86
1994	8930952.259
1995	8931823.788
1996	8938319.626
1997	8962999.868
1998	9004606.535
1999	9051392.258
2000	9104990.885
2001	9168271.105
2002	9234908.353
2003	9296546.379
2004	9348390.215
2005	9399028.188
2006	9454973.974
2007	9532651.561
2008	9611582.946
2009	9712550.643
2010	9815759.83
2011	9930982.996
2012	10048830.8
2013	10170661.17
2014	10291343.32
2015	10422563.9
2016	10554682.73
2017	10694012.69
2018	10845414.95
2019	11001493.61
2020	11161786.94
2021	11325580.28
2022	11495318.81
2023	11671236.34
2024	11852094.76
2025	12039007
2026	12226699.85
2027	12419262.39
2028	12614504.4
2029	12814851.62
2030	13025023.44
2031	13236559.41
2032	13453035.68
2033	13674926.5
2034	13902234.42
2035	14133147.94
2036	14350694.27
2037	14564568.41
2038	14772521.19
2039	14976566.21
2040	15184325.68
2041	15381347.47
2042	15579689.34
2043	15777645.18
2044	15976399.57
2045	16180336.24
2046	16372318.14
2047	16563913.96
2048	16752341.08
2049	16943436.61
2050	17276046.53
