India Total	Male	Female
1970			
 0-4	87301754.000000	45111270.000000	42190484.000000
 5-9	74820815.000000	38925014.000000	35895801.000000
 10-14 	66258358.000000	34640953.000000	31617405.000000
 15-19 	57892706.000000	30409088.000000	27483618.000000
 20-24 	44203633.000000	22690818.000000	21512815.000000
 25-29 	39180749.000000	20044198.000000	19136551.000000
 30-34 	36259514.000000	18459052.000000	17800462.000000
 35-39 	32038961.000000	16511413.000000	15527548.000000
 40-44 	27692280.000000	14624452.000000	13067828.000000
 45-49 	23446845.000000	12476650.000000	10970195.000000
 50-54 	19612922.000000	10393213.000000	9219709.000000
 55-59 	15810784.000000	8272387.000000	7538397.000000
 60-64 	12330412.000000	6382265.000000	5948147.000000
 65-69 	8241311.000000	4269938.000000	3971373.000000
 70-74 	5493690.000000	2749354.000000	2744336.000000
 75-79 	2647226.000000	1306072.000000	1341154.000000
 80+ 	1967808.000000	890008.000000	1077800.000000
Total	555199768.000000	288156145.000000	267043623.000000
1971			
 0-4	88428826.607240	45680300.002024	42748526.605216
 5-9	76066568.318217	39560845.122455	36505723.195762
 10-14 	67562107.091456	35299742.815115	32262364.276341
 15-19 	59574425.290027	31292302.561759	28282122.728268
 20-24 	46825142.459486	24212231.601676	22612910.857810
 25-29 	39348565.876370	20116145.533775	19232420.342594
 30-34 	36639049.552924	18687517.085521	17951532.467404
 35-39 	32767402.208313	16829145.163560	15938257.044753
 40-44 	28315692.090198	14879710.196813	13435981.893385
 45-49 	24008600.557065	12774253.298951	11234347.258113
 50-54 	20039224.300832	10626757.117550	9412467.183281
 55-59 	16203523.176953	8489730.873307	7713792.303646
 60-64 	12600217.717207	6517119.535528	6083098.181679
 65-69 	8626061.837331	4455813.267981	4170248.569350
 70-74 	5559112.140116	2800766.486643	2758345.653473
 75-79 	2884381.614963	1416011.475759	1468370.139204
 80+ 	1975004.340784	899591.345070	1075412.995714
Total	567423905.179483	294537983.483489	272885921.695994
1972			
 0-4	89205867.109964	46080370.057562	43125497.052402
