India		Total	Male	Female
1970			
 0-4	87301752.000000	45111272.000000	42190484.000000
 5-9	74820816.000000	38925016.000000	35895800.000000
 10-14 	66258360.000000	34640952.000000	31617404.000000
 15-19 	57892704.000000	30409088.000000	27483618.000000
 20-24 	44203632.000000	22690818.000000	21512816.000000
 25-29 	39180748.000000	20044198.000000	19136552.000000
 30-34 	36259512.000000	18459052.000000	17800462.000000
 35-39 	32038960.000000	16511413.000000	15527548.000000
 40-44 	27692280.000000	14624452.000000	13067828.000000
 45-49 	23446844.000000	12476650.000000	10970195.000000
 50-54 	19612922.000000	10393213.000000	9219709.000000
 55-59 	15810784.000000	8272387.000000	7538397.000000
 60-64 	12330412.000000	6382265.000000	5948147.000000
 65-69 	8241311.000000	4269938.000000	3971373.000000
 70-74 	5493690.000000	2749354.000000	2744336.000000
 75-79 	2647226.000000	1306072.000000	1341154.000000
 80+ 	1967808.000000	890008.000000	1077800.000000
Total	555199744.000000	288156160.000000	267043616.000000
1971			
 0-4	88164416.000000	45557940.000000	42606476.000000
 5-9	76497424.000000	39780424.000000	36717004.000000
 10-14 	67654800.000000	35340940.000000	32313856.000000
 15-19 	59917792.000000	31508054.000000	28409740.000000
 20-24 	46337908.000000	23909756.000000	22428152.000000
 25-29 	39688628.000000	20329308.000000	19359320.000000
 30-34 	36736484.000000	18725690.000000	18010796.000000
 35-39 	32729212.000000	16817584.000000	15911628.000000
 40-44 	28332884.000000	14904888.000000	13427996.000000
 45-49 	23995800.000000	12761715.000000	11234086.000000
 50-54 	20049972.000000	10633283.000000	9416690.000000
 55-59 	16170038.000000	8469948.000000	7700090.500000
 60-64 	12630072.000000	6531188.000000	6098884.000000
 65-69 	8535946.000000	4418077.500000	4117868.250000
 70-74 	5620192.000000	2822857.000000	2797335.000000
 75-79 	2816029.750000	1388544.875000	1427485.000000
 80+ 	2008997.000000	913914.187500	1095082.750000
Total	567886592.000000	294814112.000000	273072480.000000
1972			
 0-4	88960104.000000	45970416.000000	42989688.000000
 5-9	78279672.000000	40691684.000000	37587988.000000
 10-14 	69100864.000000	36074540.000000	33026328.000000
 15-19 	61558728.000000	32359456.000000	29199274.000000
 20-24 	49030888.000000	25462228.000000	23568660.000000
 25-29 	40217480.000000	20608994.000000	19608488.000000
 30-34 	37176932.000000	18993100.000000	18183830.000000
 35-39 	33454596.000000	17150776.000000	16303818.000000
 40-44 	28987076.000000	15177382.000000	13809694.000000
 45-49 	24584456.000000	13064144.000000	11520312.000000
 50-54 	20496392.000000	10874487.000000	9621905.000000
 55-59 	16568598.000000	8689474.000000	7879124.500000
 60-64 	12888613.000000	6662745.000000	6225868.000000
 65-69 	8900429.000000	4593157.000000	4307272.000000
 70-74 	5696888.500000	2877228.750000	2819660.000000
 75-79 	3031505.750000	1489445.750000	1542060.000000
 80+ 	2040700.750000	934696.937500	1106003.750000
Total	580973952.000000	301673952.000000	279299968.000000
1973			
