Afghanistan	1970	453.84	426.44	401.88	379.95	360.42	343.06	327.64	313.94	301.73	290.79	281.19	272.99	264.49	254.85	244.75	235.48	226.55	219.08	213.68	209.62	205.65	202.15	197.68	191.44	184.13	177.24	170.44	164.2	158.92	154.27	149.59	145.03	140.5	135.91	131.33	126.91	122.59	118.5	114.73	111.16	107.66	104.27	100.77	97.04	93.18	89.43	85.73	82.18	78.83	75.63	72.47	69.37	66.35	63.41	60.54	57.74	55.02	52.31	49.59	46.89	44.25	41.65	39.15	36.77	34.5	32.27	30.11	27.93	25.68	23.41	21.22	19.11	17.1	15.23	13.49	11.82	10.25	8.79	7.45	6.22	21.58
Albania		1970	61.09	62.18	62.85	63.14	63.06	62.65	61.93	60.95	59.71	58.26	56.63	54.85	52.93	50.87	48.73	46.56	44.39	42.27	40.26	38.36	36.52	34.71	33.27	32.38	31.86	31.37	30.93	30.55	30.17	29.77	29.44	29.2	28.67	27.67	26.39	25.15	23.84	22.8	22.19	21.86	21.48	21.15	20.6	19.65	18.48	17.39	16.28	15.44	15.01	14.85	14.67	14.51	14.31	14	13.62	13.28	12.93	12.6	12.3	11.99	11.68	11.4	10.98	10.35	9.59	8.84	8.04	7.46	7.24	7.23	7.18	7.19	6.97	6.39	5.58	4.83	4.06	3.48	3.2	3.13	20.85
Algeria		1970	580.22	558.36	537.53	517.68	498.78	480.78	463.64	447.32	431.77	416.95	402.38	387.61	374.72	364.54	355.74	347.02	339.65	326.99	305.9	279.9	255.28	230.43	210.63	199.01	192.99	186.65	180.98	176.14	171.57	167.38	164.12	161.52	159.1	156.61	154.01	151.58	149.4	146.17	141.31	135.37	129.64	124.05	118.2	112.09	105.97	99.9	93.61	89.05	87.12	86.86	86.55	86.7	85.72	82.7	78.48	74.59	70.53	67.64	66.69	66.85	66.76	66.92	65.6	61.87	56.67	51.68	46.38	42.37	40.55	40.04	39.23	38.66	36.78	32.74	27.39	22.43	17.43	13.44	11.13	9.95	41.3
Angola		1970	274.74	256.34	239.98	225.49	212.73	201.53	191.74	183.21	175.76	169.24	163.52	158.44	153.79	149.38	145.08	141.23	138.04	133.4	126.35	117.95	110.02	102	95.77	92.41	90.93	89.32	87.95	86.36	84.08	81.41	79.09	76.98	74.83	72.63	70.39	68.21	66.06	63.97	61.99	60.09	58.22	56.37	54.56	52.77	51.01	49.28	47.58	45.92	44.29	42.7	41.13	39.58	38.04	36.51	34.99	33.48	31.99	30.51	29.04	27.58	26.13	24.7	23.27	21.83	20.4	18.99	17.61	16.24	14.9	13.58	12.3	11.06	9.87	8.75	7.69	6.68	5.74	4.86	4.06	3.33	10.99
Antigua_and_Barbuda	1970	1.96	1.9	1.85	1.81	1.78	1.75	1.73	1.72	1.71	1.7	1.69	1.68	1.67	1.65	1.63	1.61	1.58	1.55	1.49	1.43	1.36	1.29	1.23	1.2	1.18	1.15	1.12	1.09	1.04	0.97	0.91	0.86	0.8	0.73	0.66	0.59	0.52	0.48	0.49	0.52	0.55	0.59	0.61	0.58	0.52	0.47	0.41	0.38	0.37	0.39	0.4	0.4	0.41	0.42	0.43	0.44	0.45	0.45	0.43	0.39	0.36	0.33	0.29	0.28	0.27	0.26	0.25	0.24	0.22	0.2	0.18	0.16	0.14	0.13	0.11	0.09	0.08	0.07	0.06	0.06	0.43
Argentina	1970	507.7	498.39	490.3	483.31	477.28	472.1	467.65	463.78	460.4	457.35	454.55	451.88	449.13	446.12	442.8	439.35	435.83	431.17	424.86	417.38	409.87	402.3	394.16	385.36	376.26	367.28	358.39	350.33	343.56	337.83	332.34	327.06	323.09	320.84	319.77	318.79	317.85	317.29	317.05	316.83	316.48	316.18	314.13	309.45	302.94	296.41	289.67	282.44	274.8	266.94	258.79	250.2	242.74	237.16	232.72	227.97	223.21	217.81	211.32	204.05	196.83	189.55	181.88	173.73	165.25	156.67	148.01	139.28	130.52	121.8	113.11	104.48	96.13	88.2	80.62	73.22	66.06	59.16	52.51	46.15	206.93
Armenia	1970	47.67	53.97	59.26	63.6	67.02	69.59	71.36	72.37	72.67	72.31	71.38	69.94	67.93	65.32	62.26	58.96	55.48	51.82	48.05	44.26	40.63	37.29	34.07	30.96	28.19	25.59	22.71	22.33	25.64	31.16	36.5	42.45	45.78	44.74	40.94	37.55	33.69	31.36	31.79	33.82	35.24	36.76	36.54	33.53	28.78	24.42	20.04	16.42	14.16	12.88	11.47	9.98	9.41	10.07	11.51	13.01	14.74	15.88	15.95	15.33	14.86	14.35	13.85	13.45	13.07	12.6	12.09	11.41	10.48	9.42	8.37	7.31	6.42	5.82	5.42	5.01	4.62	4.3	4.07	3.9	29.09
Aruba	1970	1.26	1.35	1.42	1.48	1.51	1.54	1.55	1.56	1.55	1.54	1.51	1.48	1.45	1.43	1.41	1.39	1.37	1.33	1.29	1.23	1.18	1.13	1.08	1.03	0.99	0.95	0.92	0.88	0.85	0.82	0.79	0.76	0.74	0.73	0.73	0.72	0.72	0.7	0.68	0.64	0.6	0.57	0.54	0.52	0.51	0.49	0.48	0.47	0.46	0.45	0.45	0.44	0.43	0.43	0.42	0.41	0.4	0.39	0.38	0.38	0.38	0.38	0.37	0.34	0.31	0.28	0.24	0.22	0.2	0.18	0.16	0.15	0.14	0.12	0.11	0.09	0.08	0.07	0.06	0.05	0.22
Australia	1970	250.51	249.35	248.88	248.94	249.39	250.09	250.88	251.62	252.17	252.39	252.69	253.5	251.82	246.36	238.7	231.05	222.23	217.36	218.96	224.3	228.66	233.64	233.83	226.3	213.9	202.4	190.57	180.74	174.62	170.98	167	163.37	159.8	155.89	152.09	148.88	145.71	144.98	147.79	152.77	157.44	162.28	165.68	166.6	165.69	164.98	164.47	161.92	156.53	149.4	142.15	134.15	128.37	126.35	126.62	126.3	126.07	124.51	120.65	115.29	110.25	105.21	100.23	95.52	91.01	86.35	81.59	77.11	73.05	69.29	65.54	61.86	58.19	54.48	50.77	47.16	43.67	40.16	36.58	33.01	183.13
Austria	1970	116.12	121.59	125.71	128.6	130.34	131.06	130.84	129.79	128.03	125.64	122.87	119.93	116.31	111.87	107.08	102.42	97.59	94.62	94.48	96.27	97.86	99.41	101.51	104.16	106.98	109.83	112.96	114.11	112.2	108.29	104.62	100.9	97.29	94.14	91.44	88.63	85.65	84.07	84.56	86.41	87.99	89.26	91.06	93.52	96.05	98.74	102.46	101.83	94.48	83.25	72.73	61.24	55.49	59.03	68.42	76.76	85.52	91.83	93.57	92.29	91.67	90.97	89.97	88.91	87.63	85.82	83.6	80.8	77.3	73.29	69.09	64.73	60.24	55.74	51.24	46.7	42.1	37.82	33.99	30.53	155.92
