Year	 15-19 	 20-24 	 25-29 	 30-34 	 35-39 	 40-44 	 45-49 	Total
1970	6.7821	20.9702	22.9654	19.0728	14.7669	10.0583	5.3845	100.0002
1971	7.1415	21.0768	22.9851	19.1052	14.6688	9.8407	5.182	100.0001
1972	7.5332	21.1696	22.9921	19.1268	14.567	9.626	4.9854	100.0001
1973	7.8455	21.2491	23.0006	19.1474	14.4854	9.449	4.8229	99.9999
1974	8.1452	21.3251	23.0077	19.1669	14.408	9.2793	4.6676	99.9998
1975	8.45	21.4001	23.0127	19.1855	14.3303	9.1088	4.5126	100
1976	8.749	21.4764	23.0193	19.2054	14.2535	8.9389	4.3576	100.0001
1977	9.0261	21.5577	23.0323	19.23	14.1802	8.771	4.2028	100.0001
1978	9.2688	21.6467	23.0554	19.2622	14.1124	8.6063	4.0482	100
1979	9.492	21.74	23.0841	19.2993	14.0472	8.4432	3.8941	99.9999
1980	9.7077	21.8352	23.1153	19.3382	13.9834	8.2805	3.7399	100.0002
1981	9.9253	21.9301	23.1466	19.3768	13.9191	8.1173	3.5848	100
1982	10.1514	22.0241	23.1763	19.4132	13.8536	7.9529	3.4286	100.0001
1983	10.397	22.1142	23.2016	19.4448	13.7849	7.7863	3.2712	100
1984	10.6849	22.1942	23.2164	19.466	13.7097	7.6158	3.1131	100.0001
1985	11.0136	22.2644	23.2208	19.4776	13.6278	7.4418	2.9536	99.9996
1986	11.3751	22.3268	23.2169	19.4822	13.5411	7.2651	2.7927	99.9999
1987	11.7456	22.3871	23.2106	19.4855	13.4527	7.0878	2.6309	100.0002
1988	12.0966	22.453	23.2103	19.4965	13.3676	6.9127	2.4633	100
1989	12.4905	22.5099	23.2046	19.5096	13.2776	6.7374	2.2705	100.0001
1990	12.8979	22.5621	23.1945	19.5202	13.1848	6.5612	2.0792	99.9999
1991	13.2613	22.6228	23.1891	19.531	13.0962	6.3858	1.914	100.0002
1992	13.5152	22.7102	23.202	19.5474	13.0201	6.2138	1.7912	99.9999
