Year	TFR
1970	5.567397
1971	5.524108
1972	5.47
1973	5.396198
1974	5.303921
1975	5.201544
1976	5.097445
1977	5
1978	4.911175
1979	4.825355
1980	4.739548
1981	4.650761
1982	4.556
1983	4.454252
1984	4.347012
1985	4.235045
1986	4.119118
1987	4
1988	3.870216
1989	3.728918
1990	3.586812
1991	3.454604
1992	3.343
1993	3.246989
1994	3.156688
1995	3.075493
1996	3.006798
1997	2.954
1998	2.916281
1999	2.887223
2000	2.861825
2001	2.835085
2002	2.802
2003	2.757444
2004	2.703762
2005	2.647158
2006	2.593836
2007	2.55
2008	2.515388
2009	2.484742
2010	2.456772
2011	2.430188
2012	2.4037
2013	2.377204
2014	2.351486
2015	2.326597
2016	2.302585
2017	2.2795
2018	2.257302
2019	2.235884
2020	2.215195
2021	2.195184
2022	2.1758
2023	2.156994
2024	2.138753
2025	2.121074
2026	2.103957
2027	2.0874
2028	2.071243
2029	2.055446
2030	2.040188
2031	2.025646
2032	2.012
2033	1.999209
2034	1.987064
2035	1.975495
2036	1.964431
2037	1.9538
2038	1.94346
2039	1.933414
2040	1.923807
2041	1.914787
2042	1.9065
2043	1.898876
2044	1.891726
2045	1.885018
2046	1.87872
2047	1.8728
2048	1.867157
2049	1.861761
2050	1.861761
