Year	m_to_f
1970	103
1971	103
1972	103
1973	103
1974	103
1975	103
1976	103
1977	103
1978	103
1979	103
1980	103
1981	103
1982	103
1983	103
1984	103
1985	103
1986	103
1987	103
1988	103
1989	103
1990	103
1991	103
1992	103
1993	103
1994	103
1995	103
1996	103
1997	103
1998	103
1999	103
2000	103
2001	103
2002	103
2003	103
2004	103
2005	103
2006	103
2007	103
2008	103
2009	103
2010	103
2011	103
2012	103
2013	103
2014	103
2015	103
2016	103
2017	103
2018	103
2019	103
2020	103
2021	103
2022	103
2023	103
2024	103
2025	103
2026	103
2027	103
2028	103
2029	103
2030	103
2031	103
2032	103
2033	103
2034	103
2035	103
2036	103
2037	103
2038	103
2039	103
2040	103
2041	103
2042	103
2043	103
2044	103
2045	103
2046	103
2047	103
2048	103
2049	103
2050	103
