Year	Births
1970	846459.61
1971	846459.61
1972	866899.57
1973	884587.79
1974	899473.21
1975	912285.31
1976	923621.53
1977	935622.49
1978	948948.02
1979	962753.97
1980	976450.13
1981	989977.62
1982	1002238.80
1983	1012856.06
1984	1021858.01
1985	1028930.09
1986	1033166.21
1987	1035210.45
1988	1033418.63
1989	1028014.38
1990	1021300.01
1991	1020398.79
1992	1025284.77
1993	1034256.73
1994	1042578.97
1995	1048911.19
1996	1052333.70
1997	1054742.81
1998	1057508.46
1999	1061684.62
2000	1068403.39
2001	1077705.51
2002	1086894.13
2003	1091735.33
2004	1092157.04
2005	1089363.28
2006	1087026.45
2007	1087448.63
2008	1090823.97
2009	1094074.50
2010	1094671.27
2011	1088488.52
2012	1082964.78
2013	1077045.91
2014	1070812.37
2015	1059904.54
2016	1052377.72
2017	1044389.93
2018	1036657.81
2019	1029782.28
2020	1023878.92
2021	1019100.43
2022	1015241.03
2023	1012159.86
2024	1009536.51
2025	1007453.67
2026	1005357.61
2027	1003104.09
2028	1000678.46
2029	997873.77
2030	995010.23
2031	991940.46
2032	988554.79
2033	984826.69
2034	980470.15
2035	975410.35
2036	975308.40
2037	974818.08
2038	973836.19
2039	972432.90
2040	970425.68
2041	968121.51
2042	965646.41
2043	962973.63
2044	960268.45
2045	957635.38
2046	955138.30
2047	952776.02
2048	950447.07
2049	948191.22
2050	945983.81

