Year	Deaths
1970	297177.81
1971	297177.81
1972	298260.43
1973	299587.36
1974	300881.05
1975	301650.14
1976	301900.18
1977	301509.08
1978	299967.89
1979	297362.40
1980	294246.13
1981	291399.86
1982	289160.99
1983	287290.04
1984	285328.26
1985	283449.97
1986	281661.24
1987	280286.52
1988	279260.48
1989	278815.66
1990	278818.33
1991	281206.05
1992	285995.06
1993	294144.27
1994	306329.71
1995	323664.17
1996	345812.98
1997	374470.84
1998	408881.29
1999	449337.70
2000	496963.10
2001	552018.70
2002	612888.95
2003	675767.50
2004	736637.74
2005	781750.50
2006	815051.96
2007	826341.64
2008	831197.91
2009	857283.76
2010	870868.57
2011	815147.42
2012	700319.17
2013	611327.01
2014	567086.28
2015	566358.56
2016	585131.95
2017	583885.10
2018	573525.55
2019	565562.00
2020	562669.88
2021	562219.97
2022	561588.32
2023	561952.40
2024	563340.72
2025	565397.83
2026	567739.93
2027	567692.68
2028	567809.02
2029	569747.42
2030	571128.21
2031	575279.17
2032	580047.24
2033	583956.76
2034	587907.82
2035	593072.83
2036	603264.91
2037	612776.68
2038	622215.99
2039	631649.54
2040	641137.44
2041	650070.82
2042	656947.99
2043	665090.49
2044	673755.06
2045	682924.87
2046	692690.12
2047	702585.69
2048	712469.44
2049	722599.50
2050	732991.29
