Workshop_1_Demo	Total	Male	Female
1970			
 0-4	2348.748200	1176.532375	1172.215825
 5-9	1347.410803	681.227131	666.183672
 10-14 	873.698810	440.685068	433.013742
 15-19 	1981.832015	1001.629240	980.202775
 20-24 	2026.347547	1022.051734	1004.295813
 25-29 	1780.147151	889.250628	890.896523
 30-34 	1508.879844	750.780667	758.099177
 35-39 	1303.077420	659.914499	643.162921
 40-44 	1096.602700	564.403420	532.199280
 45-49 	910.231644	453.231864	456.999780
 50-54 	778.314216	378.603493	399.710723
 55-59 	611.106990	291.632565	319.474425
 60-64 	479.561904	215.528020	264.033885
 65-69 	327.371807	139.083606	188.288201
 70-74 	219.917591	87.803963	132.113627
 75-79 	132.339807	48.691889	83.647918
 80+ 	99.733635	32.313813	67.419822
Total	17825.322084	8833.363975	8991.958109
1971			
 0-4	94538.571631	51858.079914	42680.491717
 5-9	7765.694092	4582.928338	3182.765755
 10-14 	5365.549503	3295.937704	2069.611799
 15-19 	7626.641262	4221.184457	3405.456804
 20-24 	9308.064648	5108.864087	4199.200561
 25-29 	9482.509443	4988.752921	4493.756522
 30-34 	9596.318326	5088.356900	4507.961426
 35-39 	10458.580853	5807.958981	4650.621873
 40-44 	11859.726055	7088.142240	4771.583815
 45-49 	13311.143392	7942.320277	5368.823115
 50-54 	16230.892338	9665.498810	6565.393528
 55-59 	17976.856477	10345.128002	7631.728474
 60-64 	20325.353574	11448.097063	8877.256510
 65-69 	20367.901761	10907.028358	9460.873404
 70-74 	18733.077460	9379.675960	9353.401500
 75-79 	15754.884008	7119.391384	8635.492624
 80+ 	19910.633507	7244.110500	12666.523007
Total	308612.398331	166091.455897	142520.942434
1972			
 0-4	94758.088793	52173.245101	42584.843692
 5-9	7774.249458	4601.929458	3172.319999
 10-14 	5349.351790	3301.508728	2047.843061
 15-19 	7663.282253	4266.332712	3396.949541
 20-24 	9449.896721	5225.819958	4224.076763
 25-29 	9493.097684	5042.641772	4450.455912
 30-34 	9659.435033	5158.907526	4500.527507
 35-39 	10468.635815	5822.615526	4646.020289
 40-44 	11951.394838	7148.417916	4802.976922
 45-49 	13431.626779	8076.844167	5354.782611
 50-54 	16217.944831	9686.472963	6531.471868
 55-59 	18194.055531	10495.296432	7698.759099
 60-64 	20368.961069	11552.784916	8816.176153
