Workshop_1_Demo	Total	Male	Female
1970			
 0-4	3651166.000000	1836339.000000	1814827.000000
 5-9	3085670.000000	1561367.000000	1524303.000000
 10-14 	2729289.000000	1377170.000000	1352119.000000
 15-19 	2336303.000000	1180176.000000	1156127.000000
 20-24 	1896299.000000	956340.000000	939959.000000
 25-29 	1640001.000000	819098.000000	820903.000000
 30-34 	1405257.000000	699097.000000	706160.000000
 35-39 	1229702.000000	622742.000000	606960.000000
 40-44 	1046950.000000	538866.000000	508084.000000
 45-49 	877790.000000	437000.000000	440790.000000
 50-54 	757179.000000	368254.000000	388925.000000
 55-59 	598738.000000	285672.000000	313066.000000
 60-64 	472792.000000	212408.000000	260384.000000
 65-69 	324343.000000	137741.000000	186602.000000
 70-74 	218842.000000	87335.000000	131507.000000
 75-79 	132161.000000	48601.000000	83560.000000
 80+ 	100020.000000	32384.000000	67636.000000
Total	22502502.000000	11200590.000000	11301912.000000
1971			
 0-4	3744252.412521	1882357.763580	1861894.648941
 5-9	3158115.977898	1595803.250700	1562312.727198
 10-14 	2787580.550763	1407231.843110	1380348.707653
 15-19 	2414001.339413	1218257.288072	1195744.051341
 20-24 	1972639.379326	995264.807762	977374.571565
 25-29 	1670085.539496	835887.012426	834198.527070
 30-34 	1441973.521717	716898.140796	725075.380921
 35-39 	1251589.909784	630124.581010	621465.328774
 40-44 	1073030.337126	550479.608675	522550.728451
 45-49 	896516.366880	449847.165742	446669.201139
 50-54 	764325.504718	371091.979843	393233.524875
 55-59 	615028.955038	293129.768387	321899.186651
 60-64 	477048.377901	215577.868830	261470.509071
 65-69 	334811.204141	141542.610154	193268.593987
 70-74 	218348.333283	86376.516143	131971.817139
 75-79 	132501.464650	48283.949344	84217.515307
 80+ 	99934.616590	31970.720095	67963.896495
Total	23051783.791246	11470124.874669	11581658.916577
1972			
 0-4	3832885.741444	1925885.471625	1907000.269819
 5-9	3250528.516665	1640277.040300	1610251.476365
 10-14 	2851219.790222	1439800.705032	1411419.085190
 15-19 	2491447.162203	1256775.457700	1234671.704503
 20-24 	2054922.793710	1037854.919621	1017067.874089
 25-29 	1715639.073766	861548.467333	854090.606434
 30-34 	1487172.827610	740641.375771	746531.451839
 35-39 	1281697.499641	643155.407411	638542.092230
 40-44 	1102846.266999	564333.303644	538512.963355
 45-49 	918729.742413	464043.319387	454686.423027
 50-54 	774524.373024	376295.988236	398228.384788
 55-59 	630499.670822	300382.103185	330117.567637
 60-64 	482817.650688	219331.719312	263485.931376
 65-69 	343973.154201	145064.579654	198908.574547
 70-74 	219325.958186	86252.077407	133073.880779
 75-79 	132971.551571	48135.288485	84836.263086
 80+ 	100502.881692	31954.587847	68548.293845
Total	23671704.654858	11781731.811949	11889972.842909
1973			
 0-4	3919647.803219	1969617.445544	1950030.357676
 5-9	3347952.831438	1686036.015685	1661916.815754
 10-14 	2916763.873091	1473260.621712	1443503.251379
 15-19 	2565157.846234	1293439.178098	1271718.668136
 20-24 	2140199.588287	1081497.686602	1058701.901686
 25-29 	1766296.031795	889592.988193	876703.043602
 30-34 	1533198.212492	765348.303855	767849.908637
 35-39 	1313814.502251	657591.947208	656222.555043
 40-44 	1132847.166302	577619.954629	555227.211673
 45-49 	943137.959209	478927.352321	464210.606888
 50-54 	785679.783497	382567.104759	403112.678738
 55-59 	645719.282074	307298.434866	338420.847208
 60-64 	489566.638237	223496.818654	266069.819583
 65-69 	352906.598356	148688.890250	204217.708106
 70-74 	221572.431014	86670.869042	134901.561972
 75-79 	133441.361130	47968.445089	85472.916041
 80+ 	101146.104882	31942.400278	69203.704604
Total	24309048.013509	12101564.456783	12207483.556726
1974			
 0-4	4008750.505193	2016780.557037	1991969.948156
 5-9	3440895.132658	1727287.990825	1713607.141833
 10-14 	2986998.209068	1508875.269941	1478122.939126
 15-19 	2634915.395669	1328253.024961	1306662.370709
 20-24 	2225670.719392	1124731.257871	1100939.461521
 25-29 	1823345.972553	920449.281999	902896.690554
 30-34 	1578354.959819	789975.959431	788379.000388
 35-39 	1348225.028964	673641.590574	674583.438390
 40-44 	1162387.171133	590180.925679	572206.245453
 45-49 	969115.447969	493808.848025	475306.599945
 50-54 	798583.729867	390345.336451	408238.393415
 55-59 	659766.671682	313536.150984	346230.520698
 60-64 	497941.014491	228202.430583	269738.583908
 65-69 	360985.140642	152194.641849	208790.498794
 70-74 	225257.918417	87687.022474	137570.895943
 75-79 	133922.634080	47785.747069	86136.887011
 80+ 	101843.719302	31929.842458	69913.876844
Total	24956959.370898	12425665.878212	12531293.492687
1975			
 0-4	4084908.136129	2052865.940181	2032042.195948
 5-9	3539428.901554	1775957.470656	1763471.430899
 10-14 	3064793.782826	1548096.241394	1516697.541431
 15-19 	2700877.102645	1361327.183753	1339549.918892
 20-24 	2309682.531591	1166647.985380	1143034.546212
 25-29 	1886626.274397	953834.452663	932791.821734
 30-34 	1621444.373680	813683.559484	807760.814197
 35-39 	1384645.483896	691134.000687	693511.483209
 40-44 	1190930.122626	601800.444960	589129.677666
 45-49 	996196.316238	508253.246360	487943.069878
 50-54 	813395.772582	399653.421045	413742.351537
 55-59 	672339.494731	319020.849572	353318.645159
 60-64 	508054.035085	233398.753209	274655.281877
 65-69 	368030.877920	155514.472370	212516.405549
 70-74 	230326.738361	89254.613795	141072.124566
 75-79 	134458.777807	47608.151101	86850.626707
 80+ 	102610.115965	31914.833001	70695.282964
Total	25608748.838034	12749965.619610	12858783.218424
1976			
 0-4	4158041.090461	2092450.170775	2065590.919687
 5-9	3633034.702739	1818639.676443	1814395.026296
 10-14 	3148875.172145	1588513.846515	1560361.325630
 15-19 	2763336.515871	1392917.925822	1370418.590049
 20-24 	2387268.286904	1204676.476052	1182591.810852
 25-29 	1957305.506813	989969.888744	967335.618069
