Year	Births
1950.00	618.33
1951.00	622.08
1952.00	630.13
1953.00	639.30
1954.00	649.60
1955.00	660.99
1956.00	673.37
1957.00	686.63
1958.00	700.51
1959.00	714.58
1960.00	728.36
1961.00	741.41
1962.00	753.35
1963.00	764.08
1964.00	773.85
1965.00	783.45
1966.00	793.98
1967.00	806.30
1968.00	820.90
1969.00	837.77
1970.00	856.43
1971.00	875.99
1972.00	895.38
1973.00	913.74
1974.00	930.73
1975.00	946.41
1976.00	961.19
1977.00	975.69
1978.00	990.27
1979.00	1004.88
1980.00	1019.33
1981.00	1033.30
1982.00	1046.30
1983.00	1057.90
1984.00	1067.79
1985.00	1075.61
1986.00	1081.08
1987.00	1084.30
1988.00	1085.54
1989.00	1085.06
1990.00	1083.12
1991.00	1080.00
1992.00	1076.20
1993.00	1072.29
1994.00	1068.82
1995.00	1066.51
1996.00	1066.03
1997.00	1067.49
1998.00	1070.75
1999.00	1075.60
2000.00	1081.47
2001.00	1087.56
2002.00	1093.07
2003.00	1097.40
2004.00	1100.29
2005.00	1101.88
2006.00	1102.62
2007.00	1103.12
2008.00	1103.71
2009.00	1104.33
2010.00	1104.65
2011.00	1104.15
2012.00	1102.32
2013.00	1098.81
2014.00	1093.58
2015.00	1086.62
2016.00	1078.08
2017.00	1068.45
2018.00	1058.26
2019.00	1047.90
2020.00	1037.76
2021.00	1028.17
2022.00	1019.25
2023.00	1011.14
2024.00	1004.00
2025.00	997.98
2026.00	993.12
2027.00	989.24
2028.00	986.11
2029.00	983.59
2030.00	981.51
2031.00	979.74
2032.00	978.11
2033.00	976.42
2034.00	974.50
2035.00	972.14
2036.00	969.22
2037.00	965.74
2038.00	961.70
2039.00	957.10
2040.00	951.93
2041.00	946.23
2042.00	940.12
2043.00	933.72
2044.00	927.16
2045.00	920.50
2046.00	913.80
2047.00	907.12
2048.00	900.52
2049.00	894.09
2050.00	887.94

