Year	CBR
1950	44.5
1951	44.3
1952	43.9
1953	43.5
1954	43.2
1955	42.9
1956	42.6
1957	42.4
1958	42.2
1959	42.0
1960	41.7
1961	41.4
1962	41.0
1963	40.6
1964	40.1
1965	39.6
1966	39.1
1967	38.6
1968	38.3
1969	38.0
1970	37.9
1971	37.8
1972	37.6
1973	37.4
1974	37.2
1975	36.8
1976	36.5
1977	36.1
1978	35.7
1979	35.3
1980	34.9
1981	34.5
1982	34.1
1983	33.7
1984	33.2
1985	32.7
1986	32.1
1987	31.4
1988	30.7
1989	30.0
1990	29.3
1991	28.5
1992	27.8
1993	27.1
1994	26.5
1995	25.9
1996	25.4
1997	25.0
1998	24.6
1999	24.3
2000	24.1
2001	23.8
2002	23.6
2003	23.4
2004	23.1
2005	22.8
2006	22.5
2007	22.3
2008	22.0
2009	21.8
2010	21.5
2011	21.3
2012	21.1
2013	20.9
2014	20.6
2015	20.3
2016	20.0
2017	19.7
2018	19.4
2019	19.1
2020	18.8
2021	18.5
2022	18.3
2023	18.0
2024	17.8
2025	17.6
2026	17.4
2027	17.3
2028	17.1
2029	17.0
2030	16.9
2031	16.8
2032	16.7
2033	16.6
2034	16.4
2035	16.3
2036	16.2
2037	16.1
2038	15.9
2039	15.8
2040	15.6
2041	15.5
2042	15.3
2043	15.1
2044	15.0
2045	14.8
2046	14.6
2047	14.5
2048	14.3
2049	14.2
2050	14.0
