Year	   Deaths
1950	   298
1951	   296
1952	   294
1953	   293
1954	   292
1955	   291
1956	   291
1957	   292
1958	   293
1959	   295
1960	   297
1961	   299
1962	   301
1963	   303
1964	   305
1965	   307
1966	   309
1967	   310
1968	   311
1969	   312
1970	   314
1971	   315
1972	   316
1973	   317
1974	   318
1975	   319
1976	   319
1977	   319
1978	   318
1979	   316
1980	   314
1981	   311
1982	   308
1983	   305
1984	   302
1985	   300
1986	   297
1987	   295
1988	   293
1989	   293
1990	   293
1991	   297
1992	   303
1993	   312
1994	   326
1995	   345
1996	   370
1997	   402
1998	   440
1999	   481
2000	   525
2001	   569
2002	   612
2003	   650
2004	   683
2005	   707
2006	   723
2007	   729
2008	   729
2009	   722
2010	   711
2011	   700
2012	   691
2013	   686
2014	   686
2015	   690
2016	   697
2017	   706
2018	   714
2019	   720
2020	   724
2021	   727
2022	   728
2023	   728
2024	   727
2025	   726
2026	   725
2027	   723
2028	   721
2029	   719
2030	   717
2031	   715
2032	   712
2033	   710
2034	   708
2035	   706
2036	   705
2037	   703
2038	   701
2039	   699
2040	   698
2041	   697
2042	   695
2043	   694
2044	   693
2045	   692
2046	   692
2047	   692
2048	   693
2049	   694
2050	   696
