Year	Births
1970	0
1971	846459.6061
1972	866899.5706
1973	884587.7916
1974	899473.2127
1975	912285.3133
1976	923621.5334
1977	935622.4938
1978	948948.0221
1979	962753.9663
1980	976450.132
1981	989977.6205
1982	1002238.802
1983	1012856.057
1984	1021858.014
1985	1028930.094
1986	1033166.214
1987	1035210.448
1988	1033418.633
1989	1028014.381
1990	1021300.01
1991	1020398.789
1992	1025284.765
1993	1034256.735
1994	1042578.97
1995	1048911.187
1996	1052333.699
1997	1054742.807
1998	1057508.459
1999	1061684.621
2000	1068403.386
2001	1077705.511
2002	1086894.127
2003	1091735.33
2004	1091172.571
2005	1087544.5
2006	1084437.137
2007	1084141.432
2008	1086858.327
2009	1089529.534
2010	1089641.377
2011	1084937.575
2012	1079202.833
2013	1073113.572
2014	1066757.897
2015	1059841.836
2016	1052174.271
2017	1044418.109
2018	1036819.149
2019	1029812.295
2020	1023409.809
2021	1018180.099
2022	1013869.419
2023	1010333.803
2024	1007298.649
2025	1004786.14
2026	1002383.716
2027	999880.826
2028	997259.0081
2029	994321.3156
2030	991333.3313
2031	988174.856
2032	984732.9191
2033	980964.8304
2034	976602.0439
2035	971543.7451
2036	971392.3414
2037	970874.2869
2038	969880.0507
2039	968457.9794
2040	966418.6123
2041	964070.026
2042	961552.1979
2043	958844.4987
2044	956088.6942
2045	953375.6315
2046	950781.412
2047	948335.0361
2048	945924.8265
2049	943577.4861
2050	941267.8879

