Year	Births
1970	17825.32318
1971	297177.8148
1972	298260.4333
1973	299587.3626
1974	300881.0518
1975	301650.1418
1976	301900.1797
1977	301509.0811
1978	299967.8912
1979	297362.3996
1980	294246.1253
1981	291399.8643
1982	289160.9879
1983	287290.0395
1984	285328.264
1985	283449.9704
1986	281661.2413
1987	280286.5223
1988	279260.4788
1989	278815.6649
1990	278818.3346
1991	281206.0496
1992	285995.0605
1993	294144.2708
1994	306329.7095
1995	323664.1743
1996	345812.9841
1997	374470.8372
1998	408881.2904
1999	449337.7012
2000	496963.0973
2001	552018.6964
2002	612888.9513
2003	677062.9259
2004	737234.404
2005	780965.8808
2006	813001.6984
2007	823344.9358
2008	827407.7961
2009	852482.7232
2010	864667.2335
2011	811194.1263
2012	696641.7473
2013	608095.4216
2014	578583.1753
2015	578054.8447
2016	582421.015
2017	588929.4244
2018	593043.9178
2019	595702.469
2020	598997.0834
2021	602803.2324
2022	606335.2361
2023	610434.2408
2024	615112.9146
2025	620029.9176
2026	624867.1637
2027	626888.1346
2028	628544.494
2029	631533.7018
2030	633272.3796
2031	637206.689
2032	641316.1627
2033	644238.3935
2034	646779.5453
2035	649256.6777
2036	656562.4964
2037	663389.7015
2038	670197.9964
2039	677011.0546
2040	683806.2863
2041	690105.4944
2042	694300.9099
2043	699748.169
2044	705697.4335
2045	712121.18
2046	719200.3891
2047	726507.5492
2048	733816.4319
2049	741428.7162
2050	749399.5436
