South_Africa	Total	Male	Female
1970			
 0-4	2348.748356	1176.532446	1172.215911
 5-9	1347.410884	681.227170	666.183714
 10-14 	873.698852	440.685094	433.013758
 15-19 	1981.832335	1001.629375	980.202960
 20-24 	2026.347667	1022.051789	1004.295877
 25-29 	1780.147232	889.250670	890.896562
 30-34 	1508.879908	750.780702	758.099206
 35-39 	1303.077473	659.914527	643.162946
 40-44 	1096.602740	564.403441	532.199299
 45-49 	910.231679	453.231881	456.999798
 50-54 	778.314247	378.603508	399.710738
 55-59 	611.107013	291.632577	319.474436
 60-64 	479.561922	215.528028	264.033894
 65-69 	327.371819	139.083611	188.288208
 70-74 	219.917599	87.803967	132.113632
 75-79 	132.339812	48.691891	83.647921
 80+ 	99.733638	32.313814	67.419824
Total	17825.323175	8833.364491	8991.958684
1971			
 0-4	94538.571616	51858.079911	42680.491705
 5-9	7765.694080	4582.928333	3182.765748
 10-14 	5365.549487	3295.937692	2069.611795
 15-19 	7626.641113	4221.184401	3405.456712
 20-24 	9308.064649	5108.864093	4199.200556
 25-29 	9482.509441	4988.752921	4493.756520
 30-34 	9596.318324	5088.356899	4507.961425
 35-39 	10458.580851	5807.958980	4650.621871
 40-44 	11859.726055	7088.142240	4771.583815
 45-49 	13311.143390	7942.320276	5368.823114
 50-54 	16230.892337	9665.498809	6565.393528
 55-59 	17976.856476	10345.128002	7631.728474
 60-64 	20325.353574	11448.097063	8877.256510
 65-69 	20367.901761	10907.028358	9460.873404
 70-74 	18733.077460	9379.675961	9353.401500
 75-79 	15754.884008	7119.391384	8635.492624
 80+ 	19910.633508	7244.110500	12666.523007
Total	308612.398129	166091.455823	142520.942306
1972			
 0-4	94758.088771	52173.245092	42584.843679
 5-9	7774.249447	4601.929453	3172.319993
 10-14 	5349.351781	3301.508723	2047.843058
 15-19 	7663.282188	4266.332686	3396.949502
 20-24 	9449.896699	5225.819950	4224.076748
 25-29 	9493.097673	5042.641768	4450.455905
 30-34 	9659.435024	5158.907522	4500.527502
 35-39 	10468.635808	5822.615523	4646.020285
 40-44 	11951.394833	7148.417913	4802.976920
 45-49 	13431.626774	8076.844165	5354.782608
 50-54 	16217.944827	9686.472961	6531.471866
 55-59 	18194.055528	10495.296431	7698.759098
 60-64 	20368.961067	11552.784915	8816.176152
 65-69 	20702.874225	11091.602636	9611.271589
 70-74 	18631.412282	9304.103465	9327.308817
 75-79 	15666.533807	7056.291192	8610.242615
 80+ 	19912.866104	7216.673031	12696.193073
Total	309693.706837	167221.487426	142472.219411
1973			
 0-4	95007.548785	52491.646457	42515.902328
 5-9	7788.060560	4624.404852	3163.655708
 10-14 	5335.541398	3310.099268	2025.442130
 15-19 	7683.304289	4304.736233	3378.568056
 20-24 	9593.358927	5344.928760	4248.430167
 25-29 	9529.325287	5111.521544	4417.803743
 30-34 	9722.089962	5235.453528	4486.636434
 35-39 	10492.475616	5851.353460	4641.122156
 40-44 	12037.520631	7202.729000	4834.791631
 45-49 	13580.982676	8225.649786	5355.332890
 50-54 	16223.606504	9733.188780	6490.417725
 55-59 	18402.190917	10636.789816	7765.401101
 60-64 	20442.601309	11675.458585	8767.142724
 65-69 	21035.451539	11290.893643	9744.557897
 70-74 	18631.999391	9286.052165	9345.947226
 75-79 	15577.663606	6993.591546	8584.072060
 80+ 	19931.806780	7191.726565	12740.080216
Total	311015.528179	168510.223989	142505.304190
1974			
 0-4	95227.644159	52806.895527	42420.748632
 5-9	7780.172845	4631.108254	3149.064591
 10-14 	5330.246371	3323.994195	2006.252176
 15-19 	7690.834228	4337.977082	3352.857146
 20-24 	9723.984291	5457.871557	4266.112734
 25-29 	9601.268465	5198.500817	4402.767648
 30-34 	9774.408011	5310.531778	4463.876232
 35-39 	10535.185250	5896.428531	4638.756720
 40-44 	12116.469143	7251.807792	4864.661351
 45-49 	13746.391270	8375.592539	5370.798731
 50-54 	16269.202700	9817.030647	6452.172053
 55-59 	18578.396832	10758.697194	7819.699639
 60-64 	20573.987204	11824.816218	8749.170985
 65-69 	21330.581969	11486.288464	9844.293505
 70-74 	18746.126741	9330.204983	9415.921758
 75-79 	15493.614414	6932.437306	8561.177108
 80+ 	19963.470918	7168.103837	12795.367081
Total	312481.984810	169908.286722	142573.698088
1975			
 0-4	94715.554258	52555.455875	42160.098382
 5-9	7762.759792	4644.083228	3118.676563
 10-14 	5332.242827	3342.536209	1989.706618
 15-19 	7676.464916	4361.207146	3315.257770
 20-24 	9823.348660	5554.418959	4268.929701
 25-29 	9692.259255	5294.715732	4397.543522
 30-34 	9800.874538	5373.687733	4427.186805
 35-39 	10583.425988	5950.264841	4633.161147
 40-44 	12172.602608	7286.910809	4885.691799
 45-49 	13907.680375	8511.646276	5396.034098
 50-54 	16347.990905	9932.688325	6415.302580
 55-59 	18703.654636	10852.822480	7850.832156
 60-64 	20758.383657	11994.984647	8763.399010
 65-69 	21564.474128	11665.414109	9899.060019
 70-74 	18961.831535	9429.556752	9532.274783
 75-79 	15414.335500	6873.519020	8540.816481
 80+ 	20005.852701	7145.276991	12860.575710
Total	313223.736278	170769.189134	142454.547144
1976			
 0-4	93928.922591	52335.500405	41593.422186
 5-9	7712.991746	4636.835108	3076.156638
 10-14 	5326.311012	3353.995268	1972.315745
 15-19 	7628.385816	4366.996638	3261.389178
 20-24 	9860.711838	5615.138488	4245.573350
 25-29 	9783.208397	5387.367311	4395.841087
 30-34 	9764.572543	5400.594441	4363.978102
 35-39 	10612.495816	5996.684763	4615.811053
 40-44 	12172.882315	7287.838996	4885.043320
 45-49 	14022.188531	8599.152553	5423.035978
 50-54 	16458.560380	10077.581992	6380.978388
 55-59 	18720.425085	10888.314861	7832.110225
 60-64 	21006.396957	12180.887236	8825.509721
 65-69 	21669.605074	11793.547349	9876.057725
 70-74 	19284.211827	9583.190788	9701.021039
 75-79 	15325.002887	6807.132460	8517.870427
 80+ 	20043.282412	7115.470739	12927.811673
Total	313320.155231	171426.229395	141893.925835
1977			
 0-4	92934.011360	51924.281694	41009.729667
 5-9	7621.411232	4608.147570	3013.263662
 10-14 	5310.815756	3359.116910	1951.698845
 15-19 	7547.071554	4355.594368	3191.477185
 20-24 	9831.848456	5640.514493	4191.333963
 25-29 	9851.500361	5466.899831	4384.600530
 30-34 	9694.087827	5407.513841	4286.573986
 35-39 	10613.310869	6031.609788	4581.701082
 40-44 	12132.726433	7267.229489	4865.496945
 45-49 	14088.373972	8644.625977	5443.747995
 50-54 	16576.147140	10226.372097	6349.775043
 55-59 	18682.578116	10903.164478	7779.413638
 60-64 	21249.532288	12353.195041	8896.337247
 65-69 	21722.359433	11901.845553	9820.513881
 70-74 	19625.591825	9754.259894	9871.331931
 75-79 	15279.807623	6764.318889	8515.488734
 80+ 	20075.341053	7080.047377	12995.293676
Total	312836.515299	171688.737290	141147.778009
1978			
 0-4	91548.948378	51270.289317	40278.659061
 5-9	7469.676625	4543.430076	2926.246548
 10-14 	5261.644424	3341.575496	1920.068928
 15-19 	7421.529972	4318.927459	3102.602513
 20-24 	9718.527966	5620.924439	4097.603527
 25-29 	9855.384201	5511.256766	4344.127436
 30-34 	9587.593272	5392.091892	4195.501380
 35-39 	10549.710710	6033.272324	4516.438386
 40-44 	12040.042508	7217.479084	4822.563423
 45-49 	14079.494639	8635.146393	5444.348246
 50-54 	16661.077148	10347.339047	6313.738101
 55-59 	18603.047286	10907.705894	7695.341391
 60-64 	21421.584064	12477.867390	8943.716674
 65-69 	21753.386360	12000.392517	9752.993843
 70-74 	19918.194304	9914.276245	10003.918059
 75-79 	15294.648022	6753.006491	8541.641532
 80+ 	20094.524682	7037.032802	13057.491880
Total	311279.014560	171322.013632	139957.000928
1979			
 0-4	89769.216927	50367.887273	39401.329654
 5-9	7270.805022	4452.004975	2818.800047
 10-14 	5163.437964	3289.447293	1873.990670
 15-19 	7260.057489	4260.535540	2999.521949
 20-24 	9526.710248	5558.257408	3968.452840
 25-29 	9785.438632	5514.685871	4270.752761
 30-34 	9460.816089	5362.778385	4098.037705
 35-39 	10419.762738	5999.259859	4420.502878
 40-44 	11907.722778	7147.680992	4760.041786
 45-49 	13999.268794	8577.587907	5421.680887
 50-54 	16702.264258	10428.170956	6274.093303
 55-59 	18510.246195	10919.022760	7591.223435
 60-64 	21500.764174	12547.209970	8953.554204
 65-69 	21795.553172	12101.302688	9694.250484
 70-74 	20132.923490	10051.440250	10081.483241
 75-79 	15381.659217	6779.676470	8601.982747
 80+ 	20109.381903	6991.531649	13117.850253
Total	308696.029091	170348.480245	138347.548845
1980			
 0-4	87765.498181	49323.125215	38442.372966
 5-9	7022.312091	4319.277463	2703.034628
 10-14 	5054.331869	3237.905051	1816.426818
 15-19 	7092.879851	4196.149686	2896.730165
 20-24 	9290.119816	5470.137119	3819.982697
 25-29 	9666.146616	5489.511302	4176.635314
 30-34 	9338.245686	5332.223149	4006.022537
 35-39 	10248.230352	5941.758600	4306.471752
 40-44 	11763.850168	7075.040445	4688.809723
 45-49 	13873.446324	8490.060593	5383.385730
 50-54 	16714.988163	10476.193988	6238.794175
 55-59 	18436.093721	10953.237869	7482.855852
 60-64 	21503.930593	12573.641251	8930.289342
 65-69 	21879.519294	12215.761272	9663.758022
 70-74 	20278.881399	10169.902537	10108.978862
 75-79 	15547.697972	6845.512009	8702.185964
 80+ 	20135.599988	6949.458038	13186.141950
Total	305611.772085	169058.895587	136552.876498
1981			
 0-4	85717.473283	48248.413516	37469.059767
 5-9	6775.385633	4193.534730	2581.850903
 10-14 	4934.649461	3174.860624	1759.788837
 15-19 	6938.205468	4135.176595	2803.028873
 20-24 	9051.064738	5380.826833	3670.237906
 25-29 	9533.429423	5458.058105	4075.371318
 30-34 	9270.865740	5333.669913	3937.195827
 35-39 	10075.453666	5886.206057	4189.247609
 40-44 	11663.720036	7038.559394	4625.160642
 45-49 	13746.638363	8408.097719	5338.540644
 50-54 	16729.421004	10507.213131	6222.207873
 55-59 	18452.522386	11057.693708	7394.828678
 60-64 	21439.077384	12571.405330	8867.672054
 65-69 	22081.514264	12379.616884	9701.897379
 70-74 	20348.059606	10274.265646	10073.793960
 75-79 	15832.351365	6971.333098	8861.018266
 80+ 	20194.984560	6923.712797	13271.271763
Total	302784.816380	167942.644081	134842.172299
1982			
 0-4	83744.455212	47220.403846	36524.051366
 5-9	6547.329355	4074.530635	2472.798720
 10-14 	4818.851614	3116.070246	1702.781367
 15-19 	6813.190248	4089.011834	2724.178414
 20-24 	8834.365771	5301.732696	3532.633075
 25-29 	9401.464003	5426.299100	3975.164903
 30-34 	9243.611872	5356.367002	3887.244870
 35-39 	9934.085342	5848.176544	4085.908798
 40-44 	11603.181918	7032.617530	4570.564388
 45-49 	13646.004384	8347.783490	5298.220894
 50-54 	16755.130225	10532.217506	6222.912719
 55-59 	18543.951336	11207.329170	7336.622165
 60-64 	21381.261640	12587.040348	8794.221292
 65-69 	22342.456003	12563.960089	9778.495914
 70-74 	20424.415593	10391.271710	10033.143883
 75-79 	16167.091243	7126.887561	9040.203682
 80+ 	20335.393784	6929.646315	13405.747470
Total	300536.239542	167151.345622	133384.893920
1983			
 0-4	81762.126875	46194.982530	35567.144346
 5-9	6334.424680	3965.060536	2369.364144
 10-14 	4704.082880	3060.236111	1643.846769
 15-19 	6704.581986	4049.595775	2654.986211
 20-24 	8636.936538	5231.830560	3405.105978
 25-29 	9263.083175	5391.832852	3871.250323
 30-34 	9227.683184	5386.023656	3841.659528
 35-39 	9831.477325	5832.061580	3999.415745
 40-44 	11557.518095	7042.913109	4514.604986
 45-49 	13574.692857	8313.246096	5261.446761
 50-54 	16780.008890	10549.856185	6230.152705
 55-59 	18684.762115	11381.268708	7303.493407
 60-64 	21359.962382	12643.005379	8716.957003
 65-69 	22607.035688	12742.482896	9864.552791
 70-74 	20548.896960	10535.115121	10013.781839
 75-79 	16501.007251	7293.828132	9207.179119
 80+ 	20566.627524	6971.115515	13595.512009
Total	298644.908405	166584.454742	132060.453662
1984			
 0-4	79630.767252	45086.239265	34544.527987
 5-9	6122.378426	3854.996368	2267.382058
 10-14 	4590.040963	3007.044454	1582.996509
 15-19 	6579.496369	3996.506275	2582.990094
 20-24 	8446.796715	5162.983275	3283.813440
 25-29 	9097.868483	5341.748839	3756.119644
 30-34 	9187.536732	5400.684610	3786.852122
 35-39 	9753.572675	5827.106227	3926.466447
 40-44 	11492.742921	7045.092553	4447.650368
 45-49 	13514.212957	8291.572517	5222.640440
 50-54 	16776.368016	10545.345375	6231.022642
 55-59 	18833.269845	11547.162132	7286.107713
 60-64 	21378.675592	12739.777818	8638.897773
 65-69 	22827.045547	12893.148908	9933.896639
 70-74 	20733.495413	10705.233079	10028.262334
 75-79 	16797.266772	7457.009208	9340.257564
 80+ 	20889.820170	7047.551837	13842.268333
Total	296651.354846	165949.202739	130702.152108
1985			
 0-4	77432.013362	43934.635270	33497.378092
 5-9	5922.804489	3751.090356	2171.714133
 10-14 	4467.975173	2943.269393	1524.705780
 15-19 	6454.807110	3947.343715	2507.463395
 20-24 	8279.105563	5102.423782	3176.681781
 25-29 	8913.740559	5276.258429	3637.482130
 30-34 	9124.065496	5396.896286	3727.169210
 35-39 	9702.990194	5831.910065	3871.080128
 40-44 	11411.155357	7035.028379	4376.126979
 45-49 	13468.451809	8281.584391	5186.867418
 50-54 	16748.294219	10520.894930	6227.399289
 55-59 	18983.469210	11695.161069	7288.308141
 60-64 	21451.047125	12879.280817	8571.766308
 65-69 	23005.167202	13019.388049	9985.779153
 70-74 	20994.463081	10904.761323	10089.701758
 75-79 	17060.180071	7616.856769	9443.323301
 80+ 	21312.564493	7158.857790	14153.706703
Total	294732.294512	165295.640813	129436.653699
1986			
 0-4	75202.710813	42744.947672	32457.763141
 5-9	5735.129786	3651.529310	2083.600475
 10-14 	4353.809583	2885.457036	1468.352548
 15-19 	6325.603634	3892.951234	2432.652400
 20-24 	8131.728519	5042.870883	3088.857636
 25-29 	8722.473151	5201.464538	3521.008613
 30-34 	9034.563152	5372.580781	3661.982372
 35-39 	9692.066957	5854.005350	3838.061608
 40-44 	11305.218661	7003.873882	4301.344779
 45-49 	13444.298393	8283.531489	5160.766905
 50-54 	16682.434933	10466.107294	6216.327639
 55-59 	19108.773853	11794.424841	7314.349013
 60-64 	21611.429713	13079.703442	8531.726271
 65-69 	23096.848998	13098.416619	9998.432378
 70-74 	21358.515399	11132.021174	10226.494225
 75-79 	17243.886400	7753.225855	9490.660545
 80+ 	21844.520712	7303.653571	14540.867141
Total	292894.012658	164560.764972	128333.247686
1987			
 0-4	73076.057638	41594.053356	31482.004282
 5-9	5566.095903	3560.029494	2006.066409
 10-14 	4250.131189	2831.004172	1419.127017
 15-19 	6205.758377	3843.361146	2362.397231
 20-24 	8020.395946	4998.234869	3022.161078
 25-29 	8547.875735	5125.666501	3422.209234
 30-34 	8938.406909	5333.819315	3604.587595
 35-39 	9712.326951	5883.297979	3829.028973
 40-44 	11213.222715	6970.367694	4242.855020
 45-49 	13436.664717	8291.693576	5144.971142
 50-54 	16614.477202	10405.135968	6209.341233
 55-59 	19217.344526	11856.492127	7360.852399
 60-64 	21835.305272	13306.507230	8528.798042
