SouthAfrica_test	Total	Male	Female
1970			
 0-4	3651166.000000	1836339.000000	1814827.000000
 5-9	3085670.000000	1561367.000000	1524303.000000
 10-14 	2729289.000000	1377170.000000	1352119.000000
 15-19 	2336303.000000	1180176.000000	1156127.000000
 20-24 	1896299.000000	956340.000000	939959.000000
 25-29 	1640001.000000	819098.000000	820903.000000
 30-34 	1405257.000000	699097.000000	706160.000000
 35-39 	1229702.000000	622742.000000	606960.000000
 40-44 	1046950.000000	538866.000000	508084.000000
 45-49 	877790.000000	437000.000000	440790.000000
 50-54 	757179.000000	368254.000000	388925.000000
 55-59 	598738.000000	285672.000000	313066.000000
 60-64 	472792.000000	212408.000000	260384.000000
 65-69 	324343.000000	137741.000000	186602.000000
 70-74 	218842.000000	87335.000000	131507.000000
 75-79 	132161.000000	48601.000000	83560.000000
 80+ 	100020.000000	32384.000000	67636.000000
Total	22502502.000000	11200590.000000	11301912.000000
1971			
 0-4	3742426.178132	1881431.046089	1860995.132043
 5-9	3157418.378070	1595536.636356	1561881.741714
 10-14 	2787614.628404	1407268.985090	1380345.643314
 15-19 	2413772.906795	1218141.785982	1195631.120814
 20-24 	1972450.641004	995166.784197	977283.856807
 25-29 	1669989.096631	835834.261837	834154.834794
 30-34 	1441901.465601	716860.319401	725041.146199
 35-39 	1251532.522278	630097.513834	621435.008444
 40-44 	1072975.154850	550451.052678	522524.102172
 45-49 	896470.467911	449819.571210	446650.896700
 50-54 	764286.168546	371069.974349	393216.194196
 55-59 	614987.618632	293107.311038	321880.307594
 60-64 	477010.928048	215557.210736	261453.717312
 65-69 	334774.903563	141524.564229	193250.339334
 70-74 	218321.409332	86363.914539	131957.494793
 75-79 	132480.286760	48274.795170	84205.491590
 80+ 	99907.792519	31961.110751	67946.681768
Total	23048320.547075	11468466.837486	11579853.709589
1972			
 0-4	3831029.072778	1924941.931960	1906087.140818
 5-9	3249696.230377	1639999.280882	1609696.949495
 10-14 	2851219.727577	1439839.198015	1411380.529562
 15-19 	2491214.199612	1256659.472424	1234554.727189
 20-24 	2054716.421480	1037748.911012	1016967.510468
 25-29 	1715541.143155	861494.834577	854046.308578
 30-34 	1487094.040414	740599.162903	746494.877511
 35-39 	1281638.500939	643127.326737	638511.174202
 40-44 	1102788.772677	564304.931816	538483.840860
 45-49 	918678.487559	464012.457129	454666.030431
 50-54 	774486.078768	376274.056454	398212.022314
 55-59 	630454.738733	300358.317458	330096.421275
 60-64 	482780.873393	219310.913056	263469.960337
 65-69 	343934.315322	145045.296882	198889.018440
 70-74 	219298.465207	86239.266284	133059.198923
 75-79 	132950.084635	48126.017396	84824.067239
 80+ 	100475.695970	31944.928170	68530.767801
Total	23667996.848597	11780026.303154	11887970.545443
1973			
 0-4	3917762.510984	1968656.509706	1949106.001278
 5-9	3346981.496774	1685749.136111	1661232.360664
 10-14 	2916671.850805	1473300.220593	1443371.630212
 15-19 	2564908.256227	1293322.849780	1271585.406447
 20-24 	2139982.859991	1081387.107396	1058595.752595
 25-29 	1766194.097949	889537.623897	876656.474052
 30-34 	1533116.016318	765303.736380	767812.279938
 35-39 	1313753.736839	657562.439606	656191.297233
 40-44 	1132788.022342	577591.909807	555196.112535
 45-49 	943083.069700	478894.655417	464188.414283
 50-54 	785640.982387	382544.387053	403096.595334
 55-59 	645672.412868	307274.070891	338398.341976
 60-64 	489529.496433	223475.507257	266053.989176
 65-69 	352866.222888	148668.803012	204197.419876
 70-74 	221543.850129	86657.587525	134886.262604
 75-79 	133419.529888	47959.072045	85460.457843
 80+ 	101118.601939	31932.716825	69185.885114
Total	24305033.014460	12099818.333301	12205214.681159
1974			
 0-4	4006831.835991	2015797.404419	1991034.431573
 5-9	3439789.213047	1727000.156641	1712789.056406
 10-14 	2986810.362233	1508914.819491	1477895.542741
 15-19 	2634649.384945	1328136.427560	1306512.957385
 20-24 	2225454.481515	1124621.453194	1100833.028321
 25-29 	1823235.543894	920390.436947	902845.106947
 30-34 	1578271.938533	789930.976344	788340.962189
 35-39 	1348161.784872	673610.332250	674551.452622
 40-44 	1162327.936304	590153.025260	572174.911045
 45-49 	969058.941819	493776.543252	475282.398567
 50-54 	798542.135819	390320.732663	408221.403156
 55-59 	659720.190954	313511.793301	346208.397653
 60-64 	497901.712045	228180.274405	269721.437640
 65-69 	360944.719834	152174.253875	208770.465958
 70-74 	225227.603699	87672.972379	137554.631320
 75-79 	133900.402704	47776.302547	86124.100157
 80+ 	101815.931559	31920.140072	69895.791487
Total	24952644.119767	12423888.044599	12528756.075168
1975			
 0-4	4082945.311018	2051856.044276	2031089.266742
 5-9	3538182.164235	1775671.235134	1762510.929101
 10-14 	3064506.404437	1548138.537590	1516367.866847
 15-19 	2700595.223313	1361210.634364	1339384.588949
 20-24 	2309473.444553	1166542.448526	1142930.996026
 25-29 	1886506.886076	953772.688937	932734.197139
 30-34 	1621365.327770	813641.239267	807724.088503
 35-39 	1384581.362053	691101.867684	693479.494369
 40-44 	1190871.868108	601773.345486	589098.522622
 45-49 	996140.176742	508222.782102	487917.394640
 50-54 	813350.391858	399626.673027	413723.718832
 55-59 	672295.044536	318997.118592	353297.925944
 60-64 	508012.100300	233375.766776	274636.333524
 65-69 	367991.213109	155494.111602	212497.101507
 70-74 	230294.663313	89239.766363	141054.896951
 75-79 	134436.104194	47598.633374	86837.470820
 80+ 	102582.070213	31905.099027	70676.971187
Total	25604129.755829	12748167.992127	12855961.763702
1976			
 0-4	4156056.937845	2091435.727217	2064621.210627
 5-9	3631625.908201	1818347.297927	1813278.610273
 10-14 	3148474.735562	1588555.828150	1559918.907412
 15-19 	2762941.971565	1392799.760340	1370142.211226
 20-24 	2387042.761682	1204573.983281	1182468.778401
 25-29 	1957174.554102	989902.957310	967271.596791
