Year	Births
1970	1569509.78
1971	1560309.53
1972	1580893.52
1973	1595875.93
1974	1601407.60
1975	1604327.71
1976	1601489.00
1977	1605150.78
1978	1615662.30
1979	1631237.00
1980	1652819.38
1981	1681659.60
1982	1714731.12
1983	1749161.77
1984	1782797.20
1985	1813804.57
1986	1840100.89
1987	1861520.05
1988	1880903.19
1989	1898864.30
1990	1908908.48
1991	1903732.42
1992	1877982.27
1993	1811884.68
1994	1706601.44
1995	1587581.16
1996	1483236.81
1997	1422986.14
1998	1397209.29
1999	1376687.08
2000	1362981.20
2001	1357187.29
2002	1360667.10
2003	1370762.69
2004	1382422.07
2005	1394908.03
2006	1406578.04
2007	1415268.53
2008	1416884.36
2009	1410512.70
2010	1399339.09
2011	1387982.51
2012	1378634.80
2013	1370708.85
2014	1360083.33
2015	1345508.75
2016	1326451.69
2017	1303833.82
2018	1278642.05
2019	1252116.45
2020	1225178.88
2021	1198875.81
2022	1174429.64
2023	1151731.11
2024	1130648.19
2025	1112157.92
2026	1096684.89
2027	1084087.89
2028	1073752.86
2029	1065316.74
2030	1058606.14
2031	1053179.11
2032	1048352.80
2033	1043504.34
2034	1038656.09
2035	1034038.02
2036	1029602.56
2037	1025047.31
2038	1019965.05
2039	1014296.31
2040	1008201.60
2041	1001681.52
2042	994559.14
2043	986592.55
2044	977884.11
2045	968711.92
2046	959148.99
2047	949169.14
2048	939920.10
2049	931036.28
2050	919506.00
