Year	Deaths
1970	531915.54
1971	528724.57
1972	549781.49
1973	533397.67
1974	489936.39
1975	442467.36
1976	405624.09
1977	389169.82
1978	387318.77
1979	388168.47
1980	390843.36
1981	394554.23
1982	398131.41
1983	401508.00
1984	405050.60
1985	408495.37
1986	411633.26
1987	414605.78
1988	417228.32
1989	419569.70
1990	421690.45
1991	423531.79
1992	424907.76
1993	425166.26
1994	424285.15
1995	423051.79
1996	422474.31
1997	423600.85
1998	425814.13
1999	428423.05
2000	431870.75
2001	436312.17
2002	442005.12
2003	448911.61
2004	456676.34
2005	464851.73
2006	472305.15
2007	478682.42
2008	483971.31
2009	488410.19
2010	494366.71
2011	501078.67
2012	507687.13
2013	514788.91
2014	520976.16
2015	528676.55
2016	536216.05
2017	543386.35
2018	550063.06
2019	556434.63
2020	562808.21
2021	570387.57
2022	578817.79
2023	587985.29
2024	597952.35
2025	608676.06
2026	620120.94
2027	632357.14
2028	644999.53
2029	658377.36
2030	673284.00
2031	690061.53
2032	708470.00
2033	728539.27
2034	749987.88
2035	772289.49
2036	794641.37
2037	817120.39
2038	839827.13
2039	862617.78
2040	885126.43
2041	906773.68
2042	927621.92
2043	947715.00
2044	967125.69
2045	985847.31
2046	1003582.75
2047	1020525.46
2048	1036846.84
2049	1052860.67
2050	1075343.42

