Vietnam	Total	Male	Female
1970			
 0-4	133877.359563	74031.870241	59845.489322
 5-9	32607.283958	18714.186305	13893.097653
 10-14 	24735.105700	15234.090865	9501.014835
 15-19 	17554.833089	11317.881127	6236.951962
 20-24 	9875.121452	5857.771278	4017.350174
 25-29 	10109.123337	6924.944848	3184.178489
 30-34 	11289.900029	7910.502373	3379.397656
 35-39 	15940.401224	10744.196348	5196.204876
 40-44 	16168.165741	10967.538937	5200.626805
 45-49 	19312.065044	12968.191694	6343.873350
 50-54 	18555.389102	11600.891891	6954.497211
 55-59 	24917.493119	15049.956214	9867.536905
 60-64 	29112.114605	19334.736381	9777.378224
 65-69 	44439.509042	27333.238511	17106.270531
 70-74 	45741.236300	25412.604839	20328.631461
 75-79 	39462.881231	18932.784476	20530.096755
 80+ 	38217.559900	14017.422260	24200.137640
Total	531915.542438	306352.808588	225562.733850
1971			
 0-4	127744.035063	71013.882968	56730.152094
 5-9	32040.614083	18984.067814	13056.546269
 10-14 	25287.061605	16000.769991	9286.291614
 15-19 	15966.117432	10900.055591	5066.061841
 20-24 	8228.230149	5274.216054	2954.014096
 25-29 	8547.755319	6410.304965	2137.450354
 30-34 	9914.213461	7581.355542	2332.857919
 35-39 	14655.067489	10506.327714	4148.739774
 40-44 	15852.481634	11285.167253	4567.314381
 45-49 	19089.581478	13344.610788	5744.970690
 50-54 	18993.518253	12299.345357	6694.172895
 55-59 	25756.722030	16040.298743	9716.423287
 60-64 	31308.613980	21281.913144	10026.700836
 65-69 	46578.474432	28628.097135	17950.377297
 70-74 	49684.688542	27280.096090	22404.592451
 75-79 	42037.939128	19681.438472	22356.500656
 80+ 	56553.010427	18031.397367	38521.613060
Total	548238.124503	314543.344989	233694.779515
1972			
 0-4	127256.625664	70960.447946	56296.177718
 5-9	33467.086880	20009.892403	13457.194477
 10-14 	26962.422449	17156.632695	9805.789754
 15-19 	17554.100183	12040.322155	5513.778029
 20-24 	9384.576575	6072.616787	3311.959788
 25-29 	9121.969795	6859.708668	2262.261127
 30-34 	10270.309460	7884.211666	2386.097794
 35-39 	14959.817630	10779.124462	4180.693169
 40-44 	16997.736724	12132.731593	4865.005131
 45-49 	19973.448263	14005.514718	5967.933545
 50-54 	20243.019233	13150.905499	7092.113734
 55-59 	26827.736983	16805.260913	10022.476070
 60-64 	33175.421378	22580.103307	10595.318071
 65-69 	47643.820858	29083.845284	18559.975574
 70-74 	53026.543311	28903.196584	24123.346728
 75-79 	43966.340388	20356.793616	23609.546772
 80+ 	58688.865248	18456.080653	40232.784595
Total	569519.841025	327237.388948	242282.452077
1973			
 0-4	125467.795289	70231.814401	55235.980889
 5-9	32111.172076	19198.275627	12912.896449
 10-14 	26164.412116	16603.890657	9560.521458
 15-19 	17508.320085	11979.330399	5528.989686
 20-24 	9741.318360	6303.974534	3437.343825
 25-29 	8986.062841	6734.019139	2252.043702
 30-34 	9709.228401	7432.269146	2276.959255
 35-39 	13858.309108	9959.168237	3899.140871
 40-44 	16506.680019	11731.307925	4775.372094
 45-49 	19108.299360	13344.936250	5763.363110
 50-54 	19641.871428	12684.753675	6957.117753
 55-59 	25509.023943	15918.859972	9590.163971
 60-64 	31998.751754	21646.269020	10352.482735
 65-69 	44851.797580	27226.630260	17625.167320
 70-74 	51794.102623	28145.569763	23648.532860
 75-79 	42709.046465	19751.427632	22957.618833
 80+ 	57371.749904	17939.613584	39432.136320
Total	553037.941352	316832.110219	236205.831133
1974			
 0-4	121968.305065	68565.188269	53403.116796
 5-9	28376.748077	16961.833325	11414.914752
 10-14 	23471.429024	14808.007185	8663.421839
 15-19 	16199.281650	11026.832591	5172.449060
 20-24 	9373.157871	6044.907475	3328.250396
 25-29 	8362.876918	6226.709562	2136.167356
 30-34 	8525.834028	6491.576949	2034.257079
 35-39 	11860.788433	8478.109214	3382.679219
 40-44 	14712.149852	10366.248672	4345.901180
 45-49 	17062.818473	11825.056667	5237.761806
 50-54 	17667.123442	11316.719684	6350.403758
 55-59 	22684.832997	14064.903998	8619.928998
 60-64 	28628.829431	19187.153947	9441.675484
 65-69 	39672.082721	23915.563698	15756.519023
 70-74 	47028.177421	25419.815122	21608.362300
 75-79 	39357.423200	18164.752409	21192.670791
 80+ 	54090.464632	16745.977239	37344.487394
Total	509042.323236	289609.356004	219432.967231
1975			
 0-4	117191.599111	66081.263559	51110.335552
 5-9	24255.807751	14507.066350	9748.741401
 10-14 	20339.147278	12745.480972	7593.666306
 15-19 	14491.589027	9813.398726	4678.190301
 20-24 	8720.068977	5605.216108	3114.852868
 25-29 	7707.224124	5705.610575	2001.613549
 30-34 	7310.601012	5536.333930	1774.267082
 35-39 	9869.997676	7016.038539	2853.959137
 40-44 	12617.380490	8804.103660	3813.276829
 45-49 	14915.816923	10250.183747	4665.633176
 50-54 	15424.493560	9808.114308	5616.379252
 55-59 	19774.293167	12179.614833	7594.678334
 60-64 	24880.999267	16515.149723	8365.849545
 65-69 	34559.120923	20714.834831	13844.286092
 70-74 	41520.444565	22349.715159	19170.729406
 75-79 	35923.707787	16599.377249	19324.330538
 80+ 	50903.804755	15655.977025	35247.827730
Total	460406.096395	259887.479295	200518.617100
1976			
 0-4	112580.124213	63622.652285	48957.471928
 5-9	20880.016651	12495.016461	8385.000190
 10-14 	17737.700785	11052.536076	6685.164709
 15-19 	13026.212229	8796.885529	4229.326700
 20-24 	8131.333601	5223.761558	2907.572044
 25-29 	7295.183772	5382.523565	1912.660207
 30-34 	6341.405933	4775.868420	1565.537513
 35-39 	8335.571265	5898.528335	2437.042930
 40-44 	10787.251022	7460.542429	3326.708593
 45-49 	13327.367235	9093.856077	4233.511158
 50-54 	13584.829253	8603.605592	4981.223661
 55-59 	17676.135383	10833.672653	6842.462731
 60-64 	21836.929168	14382.490608	7454.438560
 65-69 	31040.754049	18545.833617	12494.920432
 70-74 	36940.251169	19863.228938	17077.022231
 75-79 	33761.920805	15695.356031	18066.564775
 80+ 	49031.337864	15089.589268	33941.748596
Total	422314.324399	236815.947440	185498.376958
1977			
 0-4	109105.155857	61654.256763	47450.899094
 5-9	18941.076153	11348.363292	7592.712861
 10-14 	16260.623531	10110.910812	6149.712718
 15-19 	12285.052497	8312.930789	3972.121708
 20-24 	7972.369932	5153.576901	2818.793031
 25-29 	7389.077457	5459.961976	1929.115480
 30-34 	5903.522696	4433.329830	1470.192866
 35-39 	7510.919802	5306.747525	2204.172276
 40-44 	9697.986777	6678.791078	3019.195699
 45-49 	12646.759033	8604.836934	4041.922098
 50-54 	12709.300732	8066.026552	4643.274180
 55-59 	16856.094437	10329.824198	6526.270238
 60-64 	20355.206715	13359.438246	6995.768469
 65-69 	29768.807187	17808.236751	11960.570436
 70-74 	34772.129436	18782.394002	15989.735434
 75-79 	33589.921837	15806.358271	17783.563566
 80+ 	49540.014359	15458.564452	34081.449907
Total	405304.018436	226674.548374	178629.470062
1978			
 0-4	106871.854520	60255.686746	46616.167774
 5-9	18037.746177	10820.529788	7217.216388
 10-14 	15601.560050	9707.079272	5894.480777
 15-19 	12093.374149	8224.806002	3868.568147
 20-24 	8142.270890	5314.499691	2827.771198
 25-29 	7848.708486	5827.608720	2021.099766
 30-34 	5887.062758	4417.555762	1469.506996
 35-39 	7147.429749	5051.698801	2095.730948
 40-44 	9131.486453	6281.850643	2849.635810
 45-49 	12538.765180	8535.363094	4003.402087
 50-54 	12536.240694	7998.878667	4537.362027
 55-59 	16863.683762	10361.884631	6501.799131
 60-64 	19975.139631	13099.169736	6875.969895
 65-69 	29950.569510	17986.458591	11964.110919
 70-74 	34366.011908	18698.457439	15667.554469
 75-79 	34729.733062	16575.370510	18154.362552
 80+ 	51848.569249	16527.302031	35321.267218
Total	403570.206227	225684.200125	177886.006103
1979			
 0-4	105251.368777	59134.471605	46116.897172
 5-9	17392.134785	10447.979870	6944.154914
 10-14 	15102.466668	9403.163850	5699.302819
 15-19 	11994.059135	8194.759108	3799.300028
 20-24 	8367.033980	5475.634854	2891.399126
 25-29 	8388.928291	6215.989534	2172.938757
 30-34 	6050.928301	4537.830255	1513.098046
 35-39 	6891.798692	4870.800774	2020.997917
 40-44 	8674.211507	5959.399873	2714.811634
 45-49 	12413.686163	8457.042895	3956.643267
 50-54 	12515.989086	8021.467670	4494.521416
 55-59 	16918.181891	10415.964935	6502.216956
 60-64 	19809.057190	12972.373804	6836.683385
 65-69 	30221.406126	18213.641056	12007.765069
 70-74 	34334.348369	18795.695383	15538.652986
 75-79 	35757.801996	17255.111467	18502.690529
 80+ 	54695.908210	17801.376072	36894.532138
Total	404779.309166	226172.703006	178606.606160
1980			
 0-4	104117.862045	58259.966713	45857.895332
 5-9	16816.437961	10113.200774	6703.237187
 10-14 	14733.574601	9185.562747	5548.011853
 15-19 	11944.425803	8196.241117	3748.184686
 20-24 	8668.620031	5630.247450	3038.372581
 25-29 	8961.328211	6605.830562	2355.497648
 30-34 	6371.481071	4777.646422	1593.834649
 35-39 	6722.368352	4749.513574	1972.854778
 40-44 	8303.456882	5695.559976	2607.896906
 45-49 	12229.199304	8340.001049	3889.198254
 50-54 	12626.408504	8124.241437	4502.167067
 55-59 	16970.539232	10467.756690	6502.782541
 60-64 	19822.730068	12955.301803	6867.428265
 65-69 	30469.217384	18425.739391	12043.477994
 70-74 	34622.253155	19055.079174	15567.173982
 75-79 	36570.081669	17800.470715	18769.610954
 80+ 	58010.810952	19261.680367	38749.130584
Total	407960.795225	227644.039963	180316.755262
1981			
 0-4	103294.319354	57570.417163	45723.902191
 5-9	16284.574505	9811.991544	6472.582961
 10-14 	14371.144923	8968.437651	5402.707272
 15-19 	11901.386836	8198.604494	3702.782341
 20-24 	8962.890226	5777.797355	3185.092871
 25-29 	9510.684436	6968.478616	2542.205820
 30-34 	6846.253000	5141.013471	1705.239529
 35-39 	6624.445866	4677.765348	1946.680518
 40-44 	8035.130818	5506.803023	2528.327795
 45-49 	11913.535757	8132.941444	3780.594313
 50-54 	12890.788730	8327.106804	4563.681927
 55-59 	16947.080903	10480.573201	6466.507702
 60-64 	20056.651449	13073.863872	6982.787577
 65-69 	30505.045036	18516.308513	11988.736522
 70-74 	35333.610224	19539.666696	15793.943528
 75-79 	36931.684052	18104.771303	18826.912748
 80+ 	61812.619165	20927.041298	40885.577867
Total	412221.845280	229723.581797	182498.263482
1982			
 0-4	102590.149126	56995.958192	45594.190934
 5-9	15688.876023	9477.103104	6211.772919
 10-14 	13949.969160	8713.770443	5236.198717
 15-19 	11810.529951	8166.979262	3643.550689
 20-24 	9230.746029	5901.991042	3328.754987
 25-29 	10002.596761	7273.964398	2728.632364
 30-34 	7418.817454	5550.116997	1868.700457
 35-39 	6600.392948	4660.781418	1939.611530
 40-44 	7818.834950	5354.720394	2464.114556
 45-49 	11486.126013	7851.091637	3635.034377
 50-54 	13174.252131	8544.364523	4629.887609
 55-59 	16893.209878	10485.064787	6408.145092
 60-64 	20363.905268	13234.443227	7129.462042
 65-69 	30408.459573	18526.094393	11882.365180
 70-74 	36126.166598	20067.699481	16058.467118
 75-79 	37048.818050	18277.956842	18770.861208
 80+ 	65600.300998	22587.194132	43013.106867
Total	416212.150913	231669.294271	184542.856643
1983			
 0-4	101899.134553	56479.595204	45419.539348
 5-9	15052.930279	9122.546818	5930.383461
 10-14 	13477.618341	8423.613197	5054.005145
 15-19 	11664.993264	8091.653276	3573.339987
 20-24 	9467.038631	5999.216006	3467.822625
 25-29 	10429.114955	7517.228764	2911.886191
 30-34 	8009.410638	5956.249626	2053.161012
 35-39 	6684.536313	4721.661758	1962.874555
 40-44 	7630.496191	5221.147007	2409.349184
 45-49 	11015.926627	7538.155921	3477.770706
 50-54 	13387.144612	8716.823156	4670.321456
 55-59 	16880.704307	10519.509422	6361.194885
 60-64 	20652.887677	13380.500676	7272.387001
 65-69 	30300.771205	18520.103361	11780.667844
 70-74 	36828.944361	20546.710371	16282.233990
 75-79 	37142.683374	18431.222341	18711.461032
 80+ 	69248.199608	24173.796175	45074.403433
Total	419772.534934	233359.733078	186412.801856
1984			
 0-4	101121.345232	55940.326851	45181.018382
 5-9	14457.395749	8795.618684	5661.777064
 10-14 	13014.919131	8141.142131	4873.776999
 15-19 	11479.923263	7982.784097	3497.139166
 20-24 	9679.342294	6076.947408	3602.394886
 25-29 	10798.872064	7710.455283	3088.416781
 30-34 	8582.719747	6334.276820	2248.442927
 35-39 	6909.261496	4884.345352	2024.916144
 40-44 	7480.054943	5112.353243	2367.701700
 45-49 	10574.855246	7241.163135	3333.692112
 50-54 	13481.591564	8811.338508	4670.253057
 55-59 	16972.461810	10617.222217	6355.239594
 60-64 	20894.152093	13498.506157	7395.645936
 65-69 	30308.768265	18568.837529	11739.930736
 70-74 	37393.925628	20948.977808	16444.947821
 75-79 	37413.912367	18664.161556	18749.750810
 80+ 	72732.251189	25663.569898	47068.681292
Total	423295.752082	234992.026676	188303.725406
1985			
 0-4	100128.903906	55307.820722	44821.083184
 5-9	13911.097861	8500.048114	5411.049747
 10-14 	12510.222521	7830.725975	4679.496546
 15-19 	11273.687804	7861.547906	3412.139898
 20-24 	9876.358763	6143.548030	3732.810734
 25-29 	11117.698181	7861.797634	3255.900547
 30-34 	9129.083230	6679.086155	2449.997074
 35-39 	7266.507914	5145.770779	2120.737135
 40-44 	7375.749414	5035.653100	2340.096315
 45-49 	10177.187259	6972.403954	3204.783305
 50-54 	13452.232102	8825.130347	4627.101755
 55-59 	17181.157315	10790.116644	6391.040671
 60-64 	21072.259663	13582.290866	7489.968797
 65-69 	30464.185574	18690.797804	11773.387770
 70-74 	37785.372830	21257.286295	16528.086535
 75-79 	37902.171142	19003.085596	18899.085546
 80+ 	75990.774138	27040.290409	48950.483729
Total	426614.649616	236527.400329	190087.249288
1986			
 0-4	98811.018247	54517.913589	44293.104658
 5-9	13407.814437	8229.308028	5178.506409
 10-14 	12012.361303	7528.852682	4483.508622
 15-19 	11092.027488	7727.607231	3364.420257
 20-24 	10049.055338	6193.477739	3855.577598
 25-29 	11386.911100	7975.151341	3411.759758
 30-34 	9616.437795	6970.758183	2645.679612
 35-39 	7763.698469	5515.337538	2248.360931
 40-44 	7309.856366	4985.644099	2324.212267
 45-49 	9862.329310	6763.752438	3098.576872
 50-54 	13239.670894	8718.819238	4520.851656
 55-59 	17566.078597	11078.121642	6487.956955
 60-64 	21119.340427	13593.877767	7525.462660
 65-69 	30886.749598	18955.556095	11931.193503
 70-74 	37844.427725	21387.826250	16456.601475
 75-79 	38785.581125	19536.150172	19249.430952
 80+ 	78788.227843	28220.678069	50567.549773
Total	429541.586061	237898.832102	191642.753959
1987			
 0-4	97115.893693	53542.683599	43573.210094
 5-9	12936.858789	7976.793996	4960.064793
 10-14 	11507.608531	7224.668380	4282.940151
 15-19 	11038.346908	7594.527312	3443.819597
 20-24 	10213.419401	6241.081480	3972.337921
 25-29 	11623.397560	8066.226732	3557.170828
 30-34 	10058.587336	7223.784089	2834.803247
 35-39 	8344.550277	5949.328336	2395.221941
 40-44 	7332.966290	5003.252477	2329.713812
 45-49 	9619.341805	6606.372113	3012.969692
 50-54 	12917.727975	8545.096724	4372.631250
 55-59 	17993.525316	11399.660213	6593.865104
 60-64 	21150.878130	13610.791939	7540.086191
 65-69 	31429.373759	19283.005606	12146.368153
 70-74 	37790.807361	21457.863239	16332.944122
 75-79 	39796.626584	20136.734924	19659.891661
 80+ 	81475.569352	29347.531150	52128.038203
Total	432345.479069	239209.402310	193136.076759
1988			
 0-4	95178.102457	52491.538210	42686.564247
 5-9	12486.750334	7736.957063	4749.793271
 10-14 	11009.868929	6925.735386	4084.133543
 15-19 	10983.109054	7457.850311	3525.258743
 20-24 	10361.275863	6280.330807	4080.945057
 25-29 	11830.866020	8138.541708	3692.324313
 30-34 	10459.300940	7443.441273	3015.859667
 35-39 	8945.737099	6402.634695	2543.102404
 40-44 	7489.798828	5118.391074	2371.407754
 45-49 	9420.132632	6479.899066	2940.233566
 50-54 	12552.456061	8344.199970	4208.256091
 55-59 	18348.070018	11681.068453	6667.001565
 60-64 	21248.324952	13678.836054	7569.488898
 65-69 	31960.015885	19599.018555	12360.997330
 70-74 	37777.004238	21545.473759	16231.530479
 75-79 	40736.572161	20709.723850	20026.848311
 80+ 	84176.915868	30482.020498	53694.895370
Total	434964.301340	240515.660731	194448.640608
1989			
 0-4	93059.427573	51411.462965	41647.964608
 5-9	12040.914949	7498.973655	4541.941294
 10-14 	10538.330451	6643.693804	3894.636647
 15-19 	10936.667123	7326.423342	3610.243781
 20-24 	10474.676360	6295.857233	4178.819127
 25-29 	12009.861793	8191.926845	3817.934948
 30-34 	10817.773656	7631.259470	3186.514185
 35-39 	9515.997288	6837.718704	2678.278584
 40-44 	7804.451283	5348.655611	2455.795672
 45-49 	9262.323138	6382.112297	2880.210841
 50-54 	12197.498330	8146.042404	4051.455925
 55-59 	18547.002802	11866.349912	6680.652890
 60-64 	21463.059228	13824.939498	7638.119729
 65-69 	32399.467150	19861.016592	12538.450558
 70-74 	37904.482790	21699.594444	16204.888346
 75-79 	41491.368495	21197.415523	20293.952972
 80+ 	86967.446646	31658.930886	55308.515761
Total	437430.749056	241822.373187	195608.375868
1990			
 0-4	90525.661105	50137.624219	40388.036886
 5-9	11591.675755	7258.255355	4333.420400
 10-14 	10102.286580	6384.714785	3717.571795
 15-19 	10847.856958	7164.304488	3683.552470
 20-24 	10588.289807	6312.174024	4276.115783
 25-29 	12162.598770	8229.388804	3933.209967
 30-34 	11133.966822	7789.607849	3344.358973
 35-39 	10048.004498	7247.420514	2800.583984
 40-44 	8274.224705	5694.389542	2579.835164
 45-49 	9161.573620	6323.585505	2837.988115
 50-54 	11878.477266	7968.669578	3909.807689
 55-59 	18578.396081	11945.429533	6632.966548
 60-64 	21823.082379	14070.038541	7753.043839
 65-69 	32722.773159	20059.590037	12663.183121
 70-74 	38215.161397	21939.260627	16275.900770
 75-79 	42038.638617	21587.257341	20451.381276
 80+ 	89924.392281	32907.864596	57016.527685
Total	439617.059802	243019.575339	196597.484463
1991			
 0-4	87287.171981	48471.293248	38815.878733
 5-9	11130.751056	7007.910881	4122.840175
 10-14 	9700.111780	6147.734257	3552.377522
 15-19 	10748.925480	6995.580526	3753.344954
 20-24 	10696.955368	6334.730577	4362.224791
 25-29 	12279.484379	8244.107494	4035.376886
 30-34 	11409.716322	7922.293652	3487.422669
 35-39 	10516.009835	7607.413853	2908.595982
 40-44 	8916.623718	6173.536199	2743.087520
 45-49 	9114.818541	6302.387787	2812.430755
 50-54 	11652.309896	7853.968399	3798.341497
 55-59 	18353.727856	11857.479121	6496.248735
 60-64 	22416.830362	14472.555903	7944.274458
 65-69 	32822.961265	20138.515657	12684.445608
 70-74 	38864.160782	22344.830068	16519.330714
 75-79 	42223.037909	21801.457160	20421.580749
 80+ 	93272.881617	34307.000550	58965.881067
Total	441406.478149	243982.795332	197423.682817
1992			
 0-4	83083.300882	46225.636145	36857.664737
 5-9	10664.167686	6750.607939	3913.559747
 10-14 	9335.262867	5933.290141	3401.972726
 15-19 	10636.069013	6823.777370	3812.291643
 20-24 	10804.211579	6362.066847	4442.144733
 25-29 	12379.062400	8252.346096	4126.716304
 30-34 	11653.215744	8037.125914	3616.089830
 35-39 	10929.946295	7928.088568	3001.857727
 40-44 	9672.009972	6739.194058	2932.815914
 45-49 	9190.730932	6372.165857	2818.565075
 50-54 	11509.110897	7793.610898	3715.499999
 55-59 	17979.835112	11672.836088	6306.999023
 60-64 	23090.715032	14933.417200	8157.297833
 65-69 	32890.818706	20214.369098	12676.449608
 70-74 	39668.509952	22819.745019	16848.764934
 75-79 	42308.714003	21962.816452	20345.897551
 80+ 	96717.419669	35744.510912	60972.908757
Total	442513.100741	244565.604601	197947.496140
1993			
 0-4	77078.658350	42941.595010	34137.063340
 5-9	10180.290552	6480.387377	3699.903174
 10-14 	8993.669898	5734.539336	3259.130563
 15-19 	10526.695618	6661.824287	3864.871330
 20-24 	10913.132609	6394.455958	4518.676652
 25-29 	12460.855667	8254.622335	4206.233332
 30-34 	11869.210576	8138.917199	3730.293377
 35-39 	11299.795041	8219.867568	3079.927473
 40-44 	10474.912717	7348.422352	3126.490366
 45-49 	9442.009998	6570.626522	2871.383476
 50-54 	11427.793290	7773.820062	3653.973228
 55-59 	17551.035399	11451.567609	6099.467791
 60-64 	23701.215366	15358.560080	8342.655285
 65-69 	33062.815836	20368.949663	12693.866173
 70-74 	40465.963199	23280.417777	17185.545422
 75-79 	42477.788706	22158.475167	20319.313540
 80+ 	100139.711927	37171.667116	62968.044811
Total	442065.554751	244308.715417	197756.839334
1994			
 0-4	69431.173830	38723.068575	30708.105255
 5-9	9678.830958	6197.273909	3481.557049
 10-14 	8660.748220	5541.875617	3118.872603
 15-19 	10439.975442	6522.135236	3917.840207
 20-24 	11035.479255	6440.323587	4595.155668
 25-29 	12515.641377	8240.730199	4274.911179
 30-34 	12068.568441	8236.001685	3832.566756
 35-39 	11702.380870	8488.114635	3214.266235
 40-44 	11267.975097	7959.804616	3308.170481
 45-49 	9896.197018	6918.664956	2977.532062
 50-54 	11406.315343	7794.886730	3611.428613
 55-59 	17136.583725	11236.754953	5899.828771
 60-64 	24124.538655	15663.128746	8461.409909
 65-69 	33409.259190	20641.239158	12768.020032
 70-74 	41148.693102	23675.971504	17472.721599
 75-79 	42834.489788	22436.661734	20397.828054
 80+ 	103471.374817	38557.153079	64914.221738
Total	440228.225129	243273.788919	196954.436210
1995			
 0-4	61391.486896	34270.181681	27121.305215
 5-9	9174.698921	5909.822587	3264.876335
 10-14 	8329.161869	5350.853389	2978.308480
 15-19 	10385.373384	6407.951061	3977.422323
 20-24 	11135.125451	6476.726170	4658.399281
 25-29 	12602.419390	8253.175368	4349.244023
 30-34 	12257.506406	8331.983720	3925.522686
 35-39 	12095.761824	8735.104326	3360.657498
 40-44 	12036.791545	8558.233712	3478.557833
 45-49 	10550.178505	7418.141446	3132.037059
 50-54 	11454.433898	7863.047770	3591.386129
 55-59 	16766.484405	11047.432500	5719.051904
 60-64 	24331.868719	15824.205485	8507.663234
 65-69 	33958.179732	21043.642911	12914.536821
 70-74 	41678.401933	23988.744778	17689.657155
 75-79 	43411.196569	22805.695286	20605.501283
 80+ 	106666.305682	39881.612772	66784.692911
Total	438225.375130	242166.554961	196058.820169
1996			
 0-4	54235.040916	30296.392835	23938.648081
 5-9	8665.292805	5614.401106	3050.891699
 10-14 	7993.465462	5155.661324	2837.804138
 15-19 	10364.593204	6318.577598	4046.015606
 20-24 	11241.988135	6515.161758	4726.826376
 25-29 	12705.617264	8281.238702	4424.378562
 30-34 	12434.800656	8423.372734	4011.427923
 35-39 	12458.708946	8964.130589	3494.578357
 40-44 	12744.440183	9111.108332	3633.331852
 45-49 	11438.162257	8099.191692	3338.970565
 50-54 	11566.892677	7972.984628	3593.908049
 55-59 	16524.084652	10941.071934	5583.012718
 60-64 	24195.116922	15753.265576	8441.851346
 65-69 	34845.336198	21652.179447	13193.156750
 70-74 	41916.404236	24148.814182	17767.590054
 75-79 	44380.654637	23342.408413	21038.246224
 80+ 	109554.179561	41075.223871	68478.955691
Total	437264.778714	241665.184721	195599.593993
1997			
 0-4	49170.839645	27476.085795	21694.753850
 5-9	8126.999935	5294.796101	2832.203834
 10-14 	7650.572673	4954.800391	2695.772282
 15-19 	10371.979673	6246.549106	4125.430568
 20-24 	11356.015232	6563.358151	4792.657081
 25-29 	12828.572573	8324.340332	4504.232242
 30-34 	12614.473345	8520.860709	4093.612635
 35-39 	12800.415467	9181.999943	3618.415524
 40-44 	13397.904431	9624.437280	3773.467151
 45-49 	12477.139973	8897.639782	3579.500191
 50-54 	11825.891696	8187.800076	3638.091621
 55-59 	16386.981072	10899.240424	5487.740649
 60-64 	23832.336920	15528.911877	8303.425043
