Vietnam_test	Total	Male	Female
1970			
 0-4	7143025.000000	3636514.000000	3506511.000000
 5-9	6461285.000000	3284031.000000	3177254.000000
 10-14 	5609534.000000	2846269.000000	2763265.000000
 15-19 	4318114.000000	2186287.000000	2131827.000000
 20-24 	2812613.000000	1383931.000000	1428682.000000
 25-29 	2323415.000000	1138560.000000	1184855.000000
 30-34 	2274355.000000	1109729.000000	1164626.000000
 35-39 	2404943.000000	1170589.000000	1234354.000000
 40-44 	2044129.000000	987232.000000	1056897.000000
 45-49 	1863362.000000	890813.000000	972549.000000
 50-54 	1566117.000000	751513.000000	814604.000000
 55-59 	1438403.000000	682601.000000	755802.000000
 60-64 	1169356.000000	543432.000000	625924.000000
 65-69 	1015109.000000	447747.000000	567362.000000
 70-74 	657148.000000	261680.000000	395468.000000
 75-79 	391259.000000	133367.000000	257892.000000
 80+ 	290375.000000	72998.000000	217377.000000
Total	43782542.000000	21527293.000000	22255249.000000
1971			
 0-4	7221252.936287	3676813.166604	3544439.769682
 5-9	6554326.127890	3329378.948757	3224947.179133
 10-14 	5776386.217382	2928750.811110	2847635.406272
 15-19 	4592100.038156	2324362.621545	2267737.416611
 20-24 	3085821.144827	1529755.807008	1556065.337819
 25-29 	2339771.308793	1142112.110799	1197659.197993
 30-34 	2250215.048557	1096726.633908	1153488.414650
 35-39 	2373349.522175	1152473.654984	1220875.867191
 40-44 	2128200.073600	1026649.235301	1101550.838298
 45-49 	1868832.331570	890747.937154	978084.394416
 50-54 	1611000.285521	768527.462693	842472.822828
 55-59 	1432827.387509	679000.244542	753827.142967
 60-64 	1200381.440145	555094.126111	645287.314033
 65-69 	1000778.814260	439290.963533	561487.850726
 70-74 	691376.941375	276133.640001	415243.301374
 75-79 	394305.509946	133913.830456	260391.679491
 80+ 	293453.695320	73125.667802	220328.027518
Total	44814378.823313	22022856.862308	22791521.961005
1972			
 0-4	7298120.899239	3715114.765796	3583006.133444
 5-9	6656898.321922	3380286.223524	3276612.098398
 10-14 	5930797.930337	3004521.838247	2926276.092090
 15-19 	4850056.147231	2453756.609405	2396299.537827
 20-24 	3358650.680917	1673989.213688	1684661.467229
 25-29 	2395155.682031	1166895.884886	1228259.797145
 30-34 	2238453.644088	1089317.222294	1149136.421795
 35-39 	2338664.001608	1132773.566243	1205890.435365
 40-44 	2193978.994000	1056537.841782	1137441.152218
 45-49 	1881544.400761	894172.673278	987371.727483
 50-54 	1650670.324958	783000.290971	867670.033987
 55-59 	1431615.460191	676756.778555	754858.681636
 60-64 	1223757.389426	562504.045125	661253.344301
 65-69 	988811.527930	431563.442898	557248.085032
 70-74 	713203.788437	284684.385447	428519.402991
 75-79 	397854.803906	135080.756583	262774.047324
 80+ 	295524.760907	73564.628473	221960.132434
Total	45843758.757891	22514520.167194	23329238.590697
1973			
 0-4	7380525.151080	3756236.710402	3624288.440678
 5-9	6751529.544915	3427537.580945	3323991.963970
 10-14 	6069880.907517	3072801.142118	2997079.765399
 15-19 	5087971.863118	2571947.636745	2516024.226373
