Vietnam		Total	Male	Female
1970			
 0-4	7216933.000000	3673532.750000	3543400.500000
 5-9	6570577.000000	3337983.000000	3232594.250000
 10-14 	5787509.500000	2934000.500000	2853509.000000
 15-19 	4598690.500000	2329728.750000	2268961.500000
 20-24 	3042439.500000	1504864.250000	1537575.125000
 25-29 	2360205.000000	1154047.000000	1206158.000000
 30-34 	2246825.500000	1094394.250000	1152431.375000
 35-39 	2398417.500000	1164850.375000	1233567.000000
 40-44 	2097603.000000	1011636.187500	1085966.750000
 45-49 	1886056.500000	898320.000000	987736.500000
 50-54 	1595691.250000	762336.687500	833354.437500
 55-59 	1445677.875000	684214.312500	761463.562500
 60-64 	1184888.000000	547696.687500	637191.312500
 65-69 	1011962.000000	444129.437500	567832.562500
 70-74 	679008.562500	270737.437500	408271.125000
 75-79 	396068.906250	134841.765625	261227.156250
 80+ 	293826.968750	73680.039063	220146.921875
Total	44812380.000000	22020994.000000	22791388.000000
1971			
 0-4	7216933.000000	3673532.750000	3543400.500000
 5-9	6570577.000000	3337983.000000	3232594.250000
 10-14 	5787509.500000	2934000.500000	2853509.000000
 15-19 	4598690.500000	2329728.750000	2268961.500000
 20-24 	3042439.500000	1504864.250000	1537575.125000
 25-29 	2360205.000000	1154047.000000	1206158.000000
 30-34 	2246825.500000	1094394.250000	1152431.375000
 35-39 	2398417.500000	1164850.375000	1233567.000000
 40-44 	2097603.000000	1011636.187500	1085966.750000
 45-49 	1886056.500000	898320.000000	987736.500000
 50-54 	1595691.250000	762336.687500	833354.437500
 55-59 	1445677.875000	684214.312500	761463.562500
 60-64 	1184888.000000	547696.687500	637191.312500
 65-69 	1011962.000000	444129.437500	567832.562500
 70-74 	679008.562500	270737.437500	408271.125000
 75-79 	396068.906250	134841.765625	261227.156250
 80+ 	293826.968750	73680.039063	220146.921875
Total	44812380.000000	22020994.000000	22791388.000000
1972			
 0-4	7294925.000000	3712501.000000	3582424.000000
 5-9	6673331.500000	3388756.500000	3284574.750000
 10-14 	5941087.000000	3009474.000000	2931612.750000
 15-19 	4856521.500000	2458614.000000	2397907.500000
 20-24 	3325943.000000	1655551.500000	1670391.500000
 25-29 	2406961.750000	1173662.750000	1233299.125000
 30-34 	2234715.500000	1086944.500000	1147771.250000
 35-39 	2361298.500000	1143934.750000	1217363.625000
 40-44 	2169000.250000	1044351.000000	1124649.250000
 45-49 	1895179.125000	899975.125000	995204.062500
 50-54 	1637906.875000	777944.750000	859962.187500
 55-59 	1441453.625000	680614.187500	760839.375000
 60-64 	1211204.125000	556397.750000	654806.375000
 65-69 	996402.000000	434798.031250	561604.000000
 70-74 	703765.750000	280808.812500	422956.937500
 75-79 	398546.687500	135540.343750	263006.375000
 80+ 	296150.125000	74147.773438	222002.343750
Total	45844392.000000	22514016.000000	23330376.000000
1973			
 0-4	7374072.000000	3751819.250000	3622252.500000
 5-9	6773863.000000	3439129.500000	3334733.750000
 10-14 	6076568.500000	3076228.250000	3000340.000000
 15-19 	5092224.000000	2574539.000000	2517685.000000
 20-24 	3642835.000000	1824144.375000	1818690.500000
 25-29 	2478715.500000	1206444.625000	1272270.875000
 30-34 	2237931.750000	1087288.375000	1150643.375000
 35-39 	2307029.500000	1114997.875000	1192031.625000
 40-44 	2244746.500000	1079093.125000	1165653.375000
 45-49 	1901783.000000	901459.687500	1000323.312500
 50-54 	1687163.250000	796484.750000	890678.562500
 55-59 	1435657.125000	676717.125000	758939.937500
 60-64 	1244017.875000	568489.687500	675528.187500
 65-69 	980509.625000	425814.406250	554695.250000
 70-74 	729720.562500	291283.093750	438437.437500
 75-79 	404011.250000	137647.390625	266363.875000
 80+ 	300433.562500	75308.523438	225125.031250
Total	46911280.000000	23026888.000000	23884392.000000
1974			
 0-4	7453756.500000	3791402.000000	3662354.500000
 5-9	6869110.000000	3487509.250000	3381601.000000
