Year	 15-19 	 20-24 	 25-29 	 30-34 	 35-39 	 40-44 	 45-49 	Total
1970	2.0933	14.5166	26.43	24.6666	18.4439	11.1563	2.6934	100.0001
1971	2.0933	14.5166	26.43	24.6666	18.4439	11.1563	2.6934	100.0001
1972	2.0933	14.5166	26.43	24.6666	18.4438	11.1563	2.6934	100
1973	2.1003	14.5362	26.4388	24.6641	18.4349	11.1428	2.6825	99.9996
1974	2.1526	14.6791	26.502	24.6457	18.3701	11.045	2.6056	100.0001
1975	2.2466	14.9316	26.6071	24.6094	18.2538	10.8738	2.4778	100.0001
1976	2.3713	15.2591	26.7325	24.5556	18.1004	10.6554	2.3259	100.0002
1977	2.5144	15.6265	26.8584	24.4875	17.925	10.4157	2.1725	100
1978	2.6701	16.024	26.9804	24.4026	17.7338	10.1644	2.0249	100.0002
1979	2.8814	16.5656	27.1447	24.2539	17.4687	9.8365	1.8492	100
1980	3.1486	17.2335	27.3294	24.0406	17.1343	9.4482	1.6654	100
1981	3.4607	17.9823	27.5051	23.7758	16.7505	9.0319	1.4938	100.0001
1982	3.8003	18.7632	27.6508	23.4802	16.3418	8.6179	1.3456	99.9998
1983	4.1521	19.5436	27.7577	23.1686	15.9267	8.2279	1.2234	100
1984	4.5454	20.3974	27.844	22.7905	15.4711	7.8376	1.1136	99.9996
1985	4.9814	21.3152	27.9081	22.3543	14.9796	7.446	1.0152	99.9998
1986	5.4512	22.2652	27.947	21.8834	14.4669	7.0583	0.9278	99.9998
1987	5.941	23.2147	27.9625	21.4027	13.9482	6.6798	0.8511	100
1988	6.4428	24.1454	27.9543	20.9272	13.4326	6.3143	0.7835	100.0001
1989	6.9918	25.1243	27.8989	20.4148	12.8942	5.9543	0.7217	100
1990	7.5718	26.1186	27.8094	19.8845	12.3469	5.603	0.6656	99.9998
1991	8.1494	27.0745	27.712	19.3697	11.8127	5.2668	0.6152	100.0003
1992	8.6827	27.9383	27.6389	18.9054	11.3131	4.9512	0.5703	99.9999
1993	9.1421	28.6836	27.6138	18.5102	10.8595	4.6593	0.5316	100.0001
1994	9.594	29.4151	27.5819	18.1144	10.416	4.3804	0.4982	100
1995	10.0242	30.104	27.5518	17.741	9.9932	4.1169	0.4691	100.0002
1996	10.3979	30.6946	27.5501	17.4301	9.6105	3.8729	0.4433	99.9994
1997	10.6792	31.1327	27.608	17.2228	9.2854	3.6526	0.4192	99.9999
1998	10.8477	31.3883	27.751	17.1377	9.0245	3.4562	0.3945	99.9999
1999	10.9784	31.5733	27.9521	17.0717	8.7853	3.2712	0.3683	100.0003
2000	11.0852	31.7121	28.1879	17.0118	8.5623	3.0966	0.3439	99.9998
2001	11.1677	31.8094	28.441	16.9667	8.3603	2.9335	0.3215	100.0001
2002	11.2254	31.8709	28.6939	16.945	8.182	2.7827	0.3003	100.0002
2003	11.1922	31.9051	28.9722	16.9722	8.0326	2.6452	0.2805	100
2004	10.8359	31.9045	29.448	17.1143	7.9132	2.5185	0.266	100.0004
2005	10.4589	31.817	29.9719	17.289	7.8082	2.4003	0.2548	100.0001
2006	10.2055	31.6737	30.4141	17.437	7.7214	2.2949	0.2535	100.0001
2007	10.0722	31.5579	30.6892	17.5265	7.6697	2.2102	0.2742	99.9999
2008	10.0418	31.558	30.7738	17.5556	7.679	2.1529	0.2386	99.9997
2009	10.0285	31.5793	30.8137	17.5817	7.7598	2.1088	0.1282	100
2010	10.0084	31.5725	30.818	17.5963	7.8734	2.0681	0.0635	100.0002
2011	9.9865	31.5543	30.8091	17.6037	7.9853	2.0271	0.034	100
2012	9.9691	31.5434	30.8135	17.6102	8.0607	1.9827	0.0201	99.9997
2013	9.9592	31.5521	30.8541	17.6189	8.0722	1.9297	0.0135	99.9997
2014	9.9494	31.5622	30.9365	17.6269	8.0585	1.8572	0.009	99.9997
2015	9.938	31.5682	31.0446	17.6325	8.0329	1.7777	0.006	99.9999
2016	9.9254	31.5704	31.1627	17.6361	8.0016	1.6995	0.0043	100
2017	9.9122	31.5707	31.2765	17.6388	7.9708	1.6277	0.0036	100.0003
2018	9.8988	31.5714	31.3793	17.6417	7.9443	1.5609	0.0035	99.9999
2019	9.8827	31.5733	31.5015	17.6456	7.9135	1.4798	0.0036	100
2020	9.8657	31.5735	31.6262	17.649	7.8815	1.4004	0.0036	99.9999
2021	9.851	31.5722	31.7303	17.6509	7.854	1.3378	0.0038	100
2022	9.8418	31.5706	31.7926	17.6516	7.8372	1.3022	0.0041	100.0001
2023	9.8436	31.5708	31.7866	17.6511	7.8383	1.3049	0.0046	99.9999
2024	9.8637	31.5738	31.6838	17.6472	7.8632	1.3619	0.0066	100.0002
2025	9.893	31.5745	31.5121	17.6402	7.9041	1.4648	0.0113	100
2026	9.9204	31.5683	31.3078	17.6305	7.9524	1.6012	0.0195	100.0001
2027	9.9358	31.5555	31.1118	17.6222	8.0003	1.7446	0.0296	99.9998
2028	9.9338	31.5451	30.9621	17.6223	8.0437	1.8561	0.0369	100
2029	9.9183	31.5365	30.8248	17.6266	8.0902	1.9603	0.0434	100.0001
2030	9.8931	31.5262	30.6916	17.6333	8.1405	2.0643	0.0512	100.0002
2031	9.8615	31.5125	30.563	17.642	8.1927	2.1676	0.0607	100
2032	9.8267	31.4938	30.4404	17.6527	8.2458	2.2692	0.0715	100.0001
2033	9.7886	31.4704	30.3242	17.6656	8.2985	2.3683	0.0846	100.0002
2034	9.7418	31.4511	30.208	17.681	8.35	2.4654	0.1027	100
2035	9.6961	31.4268	30.0919	17.6965	8.4014	2.5598	0.1276	100.0001
2036	9.6546	31.3897	29.9795	17.7109	8.4538	2.651	0.1607	100.0002
2037	9.6149	31.3352	29.8784	17.7253	8.5096	2.7392	0.197	99.9996
2038	9.5718	31.2563	29.8006	17.7481	8.5754	2.8253	0.2225	100
2039	9.5032	31.1178	29.7524	17.8041	8.6666	2.9118	0.2442	100.0001
2040	9.4165	30.936	29.7236	17.8844	8.7759	2.998	0.2655	99.9999
2041	9.323	30.736	29.7034	17.9746	8.8923	3.0834	0.2874	100.0001
