Year	TFR
1970	6.410247
1971	6.372671
1972	6.3285
1973	6.239885
1974	6.08571
1975	5.892923
1976	5.688471
1977	5.4993
1978	5.321543
1979	5.137121
1980	4.951668
1981	4.770817
1982	4.6002
1983	4.439207
1984	4.283548
1985	4.133335
1986	3.988681
1987	3.8497
1988	3.7228
1989	3.607429
1990	3.493257
1991	3.369957
1992	3.2272
1993	3.03198
1994	2.786936
1995	2.535213
1996	2.319953
1997	2.1843
1998	2.108292
1999	2.043915
2000	1.992231
2001	1.954305
2002	1.9312
2003	1.918853
2004	1.910759
2005	1.904319
2006	1.896933
2007	1.886
2008	1.866399
2009	1.83804
2010	1.805871
2011	1.774842
2012	1.7499
2013	1.730553
2014	1.712933
2015	1.696926
2016	1.68242
2017	1.6693
2018	1.656627
2019	1.644206
2020	1.633042
2021	1.624138
2022	1.6185
2023	1.614986
2024	1.611915
2025	1.60948
2026	1.607877
2027	1.6073
2028	1.608073
2029	1.610082
2030	1.612865
2031	1.615959
2032	1.6189
2033	1.621713
2034	1.624738
2035	1.627987
2036	1.63147
2037	1.6352
2038	1.639404
2039	1.644129
2040	1.649112
2041	1.65409
2042	1.6588
2043	1.663194
2044	1.66745
2045	1.67165
2046	1.675873
2047	1.6802
2048	1.684674
2049	1.689243
2050	1.689243
