Year	Births
1970	1576118.582146
1971	1576118.582146
1972	1599582.659067
1973	1617791.233429
1974	1626845.519896
1975	1628474.135849
1976	1627059.393801
1977	1632975.154667
1978	1646422.596187
1979	1664922.296510
1980	1689906.511988
1981	1720384.055382
1982	1754233.222033
1983	1788432.170013
1984	1821050.911472
1985	1850269.859864
1986	1874890.161226
1987	1894463.068751
1988	1911733.410423
1989	1927096.321546
1990	1934013.867039
1991	1926351.008837
1992	1898365.098234
1993	1830031.833051
1994	1722373.830974
1995	1601409.224013
1996	1495160.067513
1997	1433665.867587
1998	1407122.279097
1999	1386078.501219
2000	1371923.590560
2001	1365870.459532
2002	1369197.258677
2003	1379266.016394
2004	1391003.908690
2005	1403444.294683
2006	1414925.145977
2007	1423166.205122
2008	1424163.755618
2009	1417134.882946
2010	1405605.559835
2011	1392946.520981
2012	1382066.086091
2013	1372056.477246
2014	1358789.936687
2015	1341351.438368
2016	1319939.455175
2017	1295824.764704
2018	1269791.324488
2019	1242545.429935
2020	1215085.848441
2021	1188535.733528
2022	1164201.066069
2023	1142098.614529
2024	1121989.090688
2025	1104625.695153
2026	1090195.390113
2027	1078305.072981
2028	1068510.077007
2029	1060681.655044
2030	1054523.572367
2031	1049468.835917
2032	1044698.682325
2033	1039804.327776
2034	1035022.941484
2035	1030445.098730
2036	1025900.870787
2037	1020980.107224
2038	1015453.158469
2039	1009488.051998
2040	1003177.508729
2041	996442.613677
2042	989016.857662
2043	980736.859486
2044	971848.724175
2045	962607.917805
2046	953057.784551
2047	943115.829623
2048	933922.353017
2049	925182.497483
2050	913870.746751

