Year	Deaths
1970	546279.666545
1971	546279.666545
1972	567570.669634
1973	550902.226408
1974	506665.863805
1975	457601.605021
1976	419408.283140
1977	402308.888635
1978	400470.545111
1979	401505.301234
1980	404539.587362
1981	408509.221375
1982	412195.493285
1983	415449.393725
1984	418677.948656
1985	421625.665414
1986	424183.708899
1987	426375.590226
1988	428278.775125
1989	430020.577840
1990	431560.740267
1991	432754.596935
1992	433438.704710
1993	432775.303667
1994	430726.428704
1995	428445.670645
1996	427118.885167
1997	427844.382558
1998	430039.158789
1999	432825.879175
2000	436455.025160
2001	441194.571529
2002	447276.871135
2003	454609.381767
2004	462823.859095
2005	471488.083590
2006	479646.674178
2007	486881.718529
2008	493226.955649
2009	498799.416217
2010	506116.155896
2011	514098.887280
2012	521765.472794
2013	529713.077078
2014	536257.981422
2015	544059.548347
2016	551869.908284
2017	559309.286451
2018	566352.728133
2019	573236.509647
2020	580282.755580
2021	588533.085463
2022	597733.703748
2023	607786.203243
2024	618710.933257
2025	630478.209372
2026	643086.785599
2027	656503.371202
2028	670657.380335
2029	685934.627226
2030	702814.498675
2031	721506.197476
2032	741800.752832
2033	763489.547868
2034	786095.503718
2035	809188.113326
2036	832445.552133
2037	855814.570149
2038	879189.879537
2039	902320.331554
2040	924909.069399
2041	946755.331817
2042	967794.509677
2043	988002.708227
2044	1007380.836333
2045	1025945.315346
2046	1043737.194252
2047	1060836.789702
2048	1077322.883273
2049	1093234.982942
2050	1115435.998413
