Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 0-4	129523.035647	71820.596433	57702.439214																																																																																																																																																																																																																																																							
 5-9	29963.725655	17371.271001	12592.454654																																																																																																																																																																																																																																																							
 10-14 	23038.707625	14373.773842	8664.933783																																																																																																																																																																																																																																																							
 15-19 	14150.234707	9594.449305	4555.785402																																																																																																																																																																																																																																																							
 20-24 	7045.071640	4465.728605	2579.343035																																																																																																																																																																																																																																																							
 25-29 	7717.741960	5752.913474	1964.828486																																																																																																																																																																																																																																																							
 30-34 	8970.012671	6778.324033	2191.688638																																																																																																																																																																																																																																																							
 35-39 	13516.653039	9564.230872	3952.422167																																																																																																																																																																																																																																																							
 40-44 	14127.730897	9981.891611	4145.839287																																																																																																																																																																																																																																																							
 45-49 	17469.168747	12086.978714	5382.190033																																																																																																																																																																																																																																																							
 50-54 	17017.887709	10863.002397	6154.885312																																																																																																																																																																																																																																																							
 55-59 	23515.047958	14384.300494	9130.747464																																																																																																																																																																																																																																																							
 60-64 	27978.108384	18807.622273	9170.486112																																																																																																																																																																																																																																																							
 65-69 	43459.993514	26901.060822	16558.932692																																																																																																																																																																																																																																																							
 70-74 	45109.414838	25160.897644	19948.517194																																																																																																																																																																																																																																																							
 75-79 	39087.947910	18804.905075	20283.042835																																																																																																																																																																																																																																																							
 80+ 	37940.382274	13947.661383	23992.720891																																																																																																																																																																																																																																																							
Total	499630.865175	290659.607977	208971.257198																																																																																																																																																																																																																																																							
1971																																																																																																																																																																																																																																																										
 0-4	127544.647279	70909.889522	56634.757757																																																																																																																																																																																																																																																							
 5-9	31948.027332	18936.665020	13011.362311																																																																																																																																																																																																																																																							
 10-14 	25210.725567	15961.895708	9248.829858																																																																																																																																																																																																																																																							
 15-19 	15681.045077	10752.957027	4928.088050																																																																																																																																																																																																																																																							
 20-24 	7942.929350	5124.451935	2818.477415																																																																																																																																																																																																																																																							
 25-29 	8469.852495	6372.628665	2097.223830																																																																																																																																																																																																																																																							
 30-34 	9902.638637	7574.829084	2327.809553																																																																																																																																																																																																																																																							
 35-39 	14617.063730	10487.001412	4130.062318																																																																																																																																																																																																																																																							
 40-44 	15757.619977	11237.362472	4520.257506																																																																																																																																																																																																																																																							
 45-49 	19027.281253	13314.082107	5713.199146																																																																																																																																																																																																																																																							
 50-54 	18928.076952	12268.332467	6659.744484																																																																																																																																																																																																																																																							
 55-59 	25709.442479	16016.032596	9693.409882																																																																																																																																																																																																																																																							
 60-64 	31251.477123	21252.097883	9999.379240																																																																																																																																																																																																																																																							
 65-69 	46527.840161	28600.598895	17927.241266																																																																																																																																																																																																																																																							
 70-74 	49614.375225	27245.923175	22368.452050																																																																																																																																																																																																																																																							
 75-79 	41994.450228	19662.884305	22331.565923																																																																																																																																																																																																																																																							
 80+ 	56503.955136	18017.069596	38486.885540																																																																																																																																																																																																																																																							
Total	546631.447999	313734.701870	232896.746129																																																																																																																																																																																																																																																							
1972																																																																																																																																																																																																																																																										
 0-4	127077.140785	70866.686654	56210.454131																																																																																																																																																																																																																																																							
 5-9	33377.252269	19963.691846	13413.560423																																																																																																																																																																																																																																																							
 10-14 	26892.495298	17120.876991	9771.618307																																																																																																																																																																																																																																																							
 15-19 	17280.905725	11900.967511	5379.938214																																																																																																																																																																																																																																																							
 20-24 	9043.037925	5891.420984	3151.616942																																																																																																																																																																																																																																																							
 25-29 	9035.308603	6818.403373	2216.905230																																																																																																																																																																																																																																																							
 30-34 	10246.120643	7871.062230	2375.058413																																																																																																																																																																																																																																																							
 35-39 	14955.777683	10776.429911	4179.347772																																																																																																																																																																																																																																																							
 40-44 	16885.234300	12076.506340	4808.727960																																																																																																																																																																																																																																																							
 45-49 	19925.467896	13980.959010	5944.508886																																																																																																																																																																																																																																																							
 50-54 	20165.236799	13115.075301	7050.161498																																																																																																																																																																																																																																																							
 55-59 	26791.920408	16785.916685	10006.003723																																																																																																																																																																																																																																																							
 60-64 	33107.219840	22545.382063	10561.837777																																																																																																																																																																																																																																																							
 65-69 	47604.303552	29061.307038	18542.996514																																																																																																																																																																																																																																																							
 70-74 	52950.849510	28866.759604	24084.089906																																																																																																																																																																																																																																																							
 75-79 	43923.261101	20338.299279	23584.961822																																																																																																																																																																																																																																																							
 80+ 	58638.984529	18441.558500	40197.426029																																																																																																																																																																																																																																																							
Total	567900.516867	326421.303321	241479.213546																																																																																																																																																																																																																																																							
1973																																																																																																																																																																																																																																																										
 0-4	125289.077448	70138.500025	55150.577424																																																																																																																																																																																																																																																							
 5-9	32023.699500	19153.031896	12870.667604																																																																																																																																																																																																																																																							
 10-14 	26099.202381	16570.431191	9528.771190																																																																																																																																																																																																																																																							
 15-19 	17245.859714	11847.015610	5398.844104																																																																																																																																																																																																																																																							
 20-24 	9361.121776	6102.023386	3259.098389																																																																																																																																																																																																																																																							
 25-29 	8872.854859	6678.823748	2194.031110																																																																																																																																																																																																																																																							
 30-34 	9671.333487	7412.330359	2259.003128																																																																																																																																																																																																																																																							
 35-39 	13875.283659	9966.653825	3908.629835																																																																																																																																																																																																																																																							
 40-44 	16390.965177	11673.744709	4717.220468																																																																																																																																																																																																																																																							
 45-49 	19064.283149	13321.496960	5742.786189																																																																																																																																																																																																																																																							
 50-54 	19558.076742	12646.677978	6911.398764																																																																																																																																																																																																																																																							
 55-59 	25476.664761	15900.966103	9575.698658																																																																																																																																																																																																																																																							
 60-64 	31925.664842	21609.282182	10316.382660																																																																																																																																																																																																																																																							
 65-69 	44815.693083	27205.689549	17610.003534																																																																																																																																																																																																																																																							
 70-74 	51718.035312	28109.175750	23608.859562																																																																																																																																																																																																																																																							
 75-79 	42664.192435	19732.102972	22932.089464																																																																																																																																																																																																																																																							
 80+ 	57320.948495	17924.801769	39396.146727																																																																																																																																																																																																																																																							
Total	551372.956819	315992.748010	235380.208809																																																																																																																																																																																																																																																							
1974																																																																																																																																																																																																																																																										
 0-4	121778.276263	68465.785247	53312.491016																																																																																																																																																																																																																																																							
 5-9	28292.043728	16917.936751	11374.106977																																																																																																																																																																																																																																																							
 10-14 	23408.199566	14775.517564	8632.682002																																																																																																																																																																																																																																																							
 15-19 	15944.360349	10898.823848	5045.536501																																																																																																																																																																																																																																																							
 20-24 	8983.603345	5839.611527	3143.991818																																																																																																																																																																																																																																																							
 25-29 	8196.763429	6142.360871	2054.402558																																																																																																																																																																																																																																																							
 30-34 	8476.121820	6466.314706	2009.807114																																																																																																																																																																																																																																																							
 35-39 	11877.832419	8485.484082	3392.348337																																																																																																																																																																																																																																																							
 40-44 	14615.508187	10318.082402	4297.425785																																																																																																																																																																																																																																																							
 45-49 	17006.721806	11795.479275	5211.242531																																																																																																																																																																																																																																																							
 50-54 	17587.520171	11280.468679	6307.051492																																																																																																																																																																																																																																																							
 55-59 	22644.056367	14043.476239	8600.580128																																																																																																																																																																																																																																																							
 60-64 	28560.199796	19151.809687	9408.390109																																																																																																																																																																																																																																																							
 65-69 	39628.837414	23891.726423	15737.110991																																																																																																																																																																																																																																																							
 70-74 	46957.824903	25385.995647	21571.829256																																																																																																																																																																																																																																																							
 75-79 	39307.985109	18143.438946	21164.546163																																																																																																																																																																																																																																																							
 80+ 	54038.165109	16730.583985	37307.581124																																																																																																																																																																																																																																																							
Total	507304.019782	288732.895879	218571.123903																																																																																																																																																																																																																																																							
1975																																																																																																																																																																																																																																																										
 0-4	116996.341395	65978.557742	51017.783653																																																																																																																																																																																																																																																							
 5-9	24175.897131	14466.054476	9709.842655																																																																																																																																																																																																																																																							
 10-14 	20276.337656	12713.151093	7563.186563																																																																																																																																																																																																																																																							
 15-19 	14253.838563	9693.539088	4560.299475																																																																																																																																																																																																																																																							
 20-24 	8361.598841	5418.595972	2943.002869																																																																																																																																																																																																																																																							
 25-29 	7495.294533	5594.889395	1900.405138																																																																																																																																																																																																																																																							
 30-34 	7266.343194	5514.994470	1751.348724																																																																																																																																																																																																																																																							
 35-39 	9885.270019	7023.002212	2862.267806																																																																																																																																																																																																																																																							
 40-44 	12560.397362	8775.670374	3784.726989																																																																																																																																																																																																																																																							
 45-49 	14843.549253	10213.243979	4630.305273																																																																																																																																																																																																																																																							
 50-54 	15357.737415	9777.509432	5580.227983																																																																																																																																																																																																																																																							
 55-59 	19720.235486	12153.032934	7567.202551																																																																																																																																																																																																																																																							
 60-64 	24822.918461	16484.209249	8338.709212																																																																																																																																																																																																																																																							
 65-69 	34503.788695	20686.078477	13817.710218																																																																																																																																																																																																																																																							
 70-74 	41458.710744	22319.630545	19139.080199																																																																																																																																																																																																																																																							
 75-79 	35868.441890	16575.592084	19292.849806																																																																																																																																																																																																																																																							
 80+ 	50849.194499	15639.697623	35209.496875																																																																																																																																																																																																																																																							
Total	458695.895136	259027.449146	199668.445990																																																																																																																																																																																																																																																							
