Year	Births
1950.00	937.06
1951.00	971.49
1952.00	1037.88
1953.00	1099.33
1954.00	1155.85
1955.00	1207.43
1956.00	1254.08
1957.00	1295.88
1958.00	1332.97
1959.00	1365.52
1960.00	1393.83
1961.00	1418.32
1962.00	1439.61
1963.00	1458.50
1964.00	1475.94
1965.00	1493.18
1966.00	1511.40
1967.00	1531.03
1968.00	1552.18
1969.00	1574.75
1970.00	1597.83
1971.00	1620.02
1972.00	1640.11
1973.00	1657.50
1974.00	1672.35
1975.00	1685.56
1976.00	1698.52
1977.00	1712.77
1978.00	1729.40
1979.00	1748.75
1980.00	1771.09
1981.00	1796.30
1982.00	1823.21
1983.00	1850.39
1984.00	1876.70
1985.00	1902.05
1986.00	1926.83
1987.00	1950.24
1988.00	1970.28
1989.00	1984.16
1990.00	1985.82
1991.00	1968.49
1992.00	1929.85
1993.00	1870.72
1994.00	1794.45
1995.00	1707.88
1996.00	1620.01
1997.00	1540.04
1998.00	1475.14
1999.00	1428.94
2000.00	1403.06
2001.00	1396.07
2002.00	1401.61
2003.00	1413.57
2004.00	1428.67
2005.00	1443.66
2006.00	1456.07
2007.00	1465.05
2008.00	1469.91
2009.00	1469.62
2010.00	1463.90
2011.00	1453.35
2012.00	1439.60
2013.00	1423.99
2014.00	1406.96
2015.00	1388.46
2016.00	1368.12
2017.00	1345.64
2018.00	1321.13
2019.00	1295.14
2020.00	1268.41
2021.00	1241.73
2022.00	1215.94
2023.00	1191.80
2024.00	1169.91
2025.00	1150.79
2026.00	1134.67
2027.00	1121.18
2028.00	1109.92
2029.00	1100.64
2030.00	1093.06
2031.00	1086.86
2032.00	1081.65
2033.00	1077.00
2034.00	1072.53
2035.00	1067.98
2036.00	1063.20
2037.00	1058.23
2038.00	1053.04
2039.00	1047.50
2040.00	1041.46
2041.00	1034.80
2042.00	1027.55
2043.00	1019.77
2044.00	1011.52
2045.00	1002.87
2046.00	993.90
2047.00	984.77
2048.00	975.65
2049.00	966.66
2050.00	957.94
