Year	   Deaths
1950	   383
1951	   385
1952	   387
1953	   390
1954	   392
1955	   394
1956	   396
1957	   397
1958	   398
1959	   398
1960	   397
1961	   395
1962	   393
1963	   391
1964	   390
1965	   393
1966	   403
1967	   421
1968	   447
1969	   477
1970	   508
1971	   533
1972	   546
1973	   545
1974	   530
1975	   504
1976	   473
1977	   444
1978	   420
1979	   405
1980	   400
1981	   401
1982	   407
1983	   413
1984	   419
1985	   424
1986	   427
1987	   429
1988	   431
1989	   434
1990	   435
1991	   436
1992	   436
1993	   436
1994	   435
1995	   434
1996	   433
1997	   433
1998	   433
1999	   434
2000	   437
2001	   440
2002	   445
2003	   450
2004	   456
2005	   463
2006	   470
2007	   477
2008	   485
2009	   492
2010	   500
2011	   508
2012	   515
2013	   523
2014	   532
2015	   540
2016	   548
2017	   557
2018	   566
2019	   575
2020	   585
2021	   595
2022	   605
2023	   616
2024	   627
2025	   639
2026	   651
2027	   664
2028	   678
2029	   692
2030	   707
2031	   723
2032	   739
2033	   757
2034	   775
2035	   793
2036	   813
2037	   833
2038	   854
2039	   875
2040	   897
2041	   919
2042	   942
2043	   964
2044	   987
2045	  1009
2046	  1031
2047	  1052
2048	  1073
2049	  1094
2050	  1114
