Year	CD4_t	Need		On			Percent		CD4_cat
1970	200		0			0			0			4
1971	200		0			0			0			4
1972	200		0			0			0			4
1973	200		0			0			0			4
1974	200		0			0			0			4
1975	200		0			0			0			4
1976	200		0			0			0			4
1977	200		0.050818	0			0			4
1978	200		0.316937	0			0			4
1979	200		0.857331	0			0			4
1980	200		1.642345	0			0			4
1981	200		2.626657	0			0			4
1982	200		3.77606		0			0			4
1983	200		5.173375	0			0			4
1984	200		7.152559	0			0			4
1985	200		10.726278	0			0			4
1986	200		18.725399	0			0			4
1987	200		38.81079	0			0			4
1988	200		91.119688	0			0			4
1989	200		226.174838	0			0			4
1990	200		566.329344	0			0			4
1991	200		1382.96		0			0			4
1992	200		3229.13		0			0			4
1993	200		7120.68		0			0			4
1994	200		14705.15	0			0			4
1995	200		28204.46	0			0			4
1996	200		50203.48	0			0			4
1997	200		82913.80	0			0			4
1998	200		127353.93	0			0			4
1999	200		182733.49	0			0			4
2000	200		246618.45	0			0			4
2001	200		314922.06	0			0			4
2002	200		383219.69	0			0			4
2003	200		447619.99	3972.00		0.887359843	4
2004	200		508225.11	42751.00	8.411823697	4
2005	200		575844.00	99811.00	17.33299282	4
2006	200		654393.71	211500.00	32.31999281	4
2007	200		755983.25	343800.00	45.47719837	4
2008	200		873730.33	408699.00	46.77633218	4
2009	200		974770.06	473598.00	48.5856123	4
2010	350		2082888.68	729312.00	35.01444926	2
2011	350		2210930.67	1308602.00	59.18783511	2
2012	350		2437837.75	2010339.00	82.46401945	2
2013	350		2734197.31	2466565.25	90.21167727	2
2014	999		5999169.18	3359534.741	56			0
2015	999		6124625.86	3429790.482	56			0
2016	999		6186828.11	3655796.733	59.09		0
2017	999		6219786.10	4126828.076	66.35		0
2018	999		6243848.29	4495570.768	72			0
2019	999		6262064.05	4768561.771	76.15		0
2020	999		6277631.60	4933590.672	78.59		0
2021	999		6290444.80	5059404.756	80.43		0
2022	999		6301126.27	5156211.626	81.83		0
2023	999		6310122.33	5230460.4	82.89		0
2024	999		6311589.51	5282800.418	83.7		0
2025	999		6310065.05	5320015.841	84.31		0
2026	999		6307651.39	5346996.082	84.77		0
2027	999		6302693.91	5364222.785	85.11		0
2028	999		6295575.91	5375162.712	85.38		0
2029	999		6286682.53	5380771.575	85.59		0
2030	999		6267316.69	5375477.529	85.77		0
2031	999		6241397.48	5363232.851	85.93		0
2032	999		6213160.82	5348288.831	86.08		0
2033	999		6180728.31	5329023.948	86.22		0
2034	999		6144084.52	5306031.392	86.36		0
2035	999		6106110.39	5273236.933	86.36		0
2036	999		6066189.39	5238761.155	86.36		0
2037	999		6024860.29	5203069.345	86.36		0
2038	999		5982534.02	5166516.38	86.36		0
2039	999		5939759.63	5129576.413	86.36		0
2040	999		5896613.31	5092315.255	86.36		0
2041	999		5852478.62	5054200.534	86.36		0
2042	999		5806768.86	5014725.589	86.36		0
2043	999		5759305.40	4973736.147	86.36		0
2044	999		5708825.02	4930141.288	86.36		0
2045	999		5655652.99	4884221.919	86.36		0
2046	999		5601018.74	4837039.783	86.36		0
2047	999		5545352.21	4788966.173	86.36		0
2048	999		5488730.14	4740067.346	86.36		0
2049	999		5431235.23	4690414.742	86.36		0
2050	999		5373038.84	4640156.342	86.36		0
