Incidence per 1000 by age and sex			
	SouthAfricaIC2		
 	Total	Male	Female
1970			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1971			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1972			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1973			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1974			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1975			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
 70-74 	0.00	0.00	0.00
 75-79 	0.00	0.00	0.00
 80+ 	0.00	0.00	0.00
Total	0.00	0.00	0.00
1976			
 0-4	0.00	0.00	0.00
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	0.00	0.00	0.00
 20-24 	0.00	0.00	0.00
 25-29 	0.00	0.00	0.00
 30-34 	0.00	0.00	0.00
 35-39 	0.00	0.00	0.00
 40-44 	0.00	0.00	0.00
 45-49 	0.00	0.00	0.00
 50-54 	0.00	0.00	0.00
 55-59 	0.00	0.00	0.00
 60-64 	0.00	0.00	0.00
 65-69 	0.00	0.00	0.00
