Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	5.153712	3.355587	0	0	0	0	0
1977	9.648535	6.50054	0.73353	0.138364	0.045111	0.005333	0.001113
1978	13.577857	9.42033	1.822672	0.462342	0.248174	0.048173	0.021702
1979	17.959072	12.716242	3.061342	0.906212	0.620489	0.144491	0.085138
1980	21.82393	15.759381	4.465777	1.433468	1.126842	0.287839	0.194518
1981	28.217461	20.48517	5.906518	2.010693	1.736011	0.468954	0.34251
1982	39.977946	28.829817	7.733953	2.679013	2.432549	0.679175	0.52037
1983	68.139224	48.139249	10.562145	3.602668	3.294059	0.92992	0.728324
1984	141.362992	97.596044	16.329747	5.25694	4.5815	1.274539	0.993446
1985	337.45862	229.292551	30.280361	8.966111	7.059902	1.876525	1.407353
1986	859.611403	579.401072	66.648255	18.331897	12.838708	3.193823	2.234377
1987	2208.49	1484.22	162.944441	42.922277	27.590729	6.468545	4.199737
1988	5557.43	3734.07	413.165624	107.071573	66.043179	14.966703	9.235424
1989	13412.23	9025.06	1041.61	269.798036	164.763411	36.919914	22.292763
1990	30588.15	20640.86	2542.58	664.669402	409.517897	92.046213	55.490048
1991	65380.52	44293.01	5907.34	1569.16	987.026001	224.456362	136.720516
1992	129519.66	88215.01	12935.27	3508.17	2270.52	525.139757	325.498604
1993	235951.54	161826.48	26430.97	7356.57	4933.19	1165.08	738.404856
1994	393007.16	271926.37	50029.63	14361.53	10041.93	2429.73	1580.91
1995	597946.72	418162.05	87276.48	25962.26	19036.26	4731.45	3171.17
1996	833752.03	590434.51	140105.64	43350.83	33483.92	8565.85	5929.83
1997	1074515.89	771821.68	207411.84	66906.24	54596.11	14390.06	10308.01
1998	1295482.52	944917.77	284865.88	95825.39	82673.35	22449.49	16652.36
1999	1479995.24	1096756.85	366184.79	128219.92	116791.13	32635.92	25054.97
2000	1621402.09	1220694.96	444953.26	161626.56	154925.78	44461.28	35266.94
2001	1720639.92	1315332.75	516103.72	193649.30	194458.04	57166.39	46728.93
2002	1783384.84	1382954.64	576507.86	222427.43	232788.98	69905.15	58700.76
2003	1814335.80	1424194.02	621381.53	244816.45	263898.20	80179.42	67909.39
2004	1827470.50	1450064.67	655783.62	263076.29	286730.65	87397.56	72754.52
2005	1829417.20	1464767.21	680387.75	276930.96	300982.14	91078.47	72980.25
2006	1826314.74	1472746.07	697073.70	286924.53	302318.51	89174.15	65648.10
2007	1822162.21	1477239.39	707969.12	293861.33	296577.13	84213.26	55211.68
2008	1820310.91	1481084.09	714939.03	298553.03	307929.10	88083.55	58709.54
2009	1822496.55	1486051.53	719587.87	301727.88	324188.89	95671.66	68728.20
2010	1825327.85	1490502.44	689096.32	285462.76	320386.25	93429.58	60672.30
2011	1820071.40	1489066.19	612514.14	240855.81	247227.72	60955.03	18049.14
2012	1796110.85	1474685.83	492603.00	169378.45	125890.57	18602.77	3072.37
