Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0
1979	0	0	0	0	0	0	0
1980	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0
1985	0	0	0	0	0	0	0
1986	0	0	0	0	0	0	0
1987	0	0	0	0	0	0	0
1988	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0
1991	0	0	0	0	0	0	0
1992	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0
1997	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0
2003	6526.81	6641.08	4710.25	2314.87	3032.07	1014.27	1094.80
2004	12444.55	12750.49	9218.67	4583.22	10931.15	4937.25	7831.33
2005	18400.85	18959.61	13937.72	6999.32	31339.16	14620.40	23065.61
2006	24525.82	25377.62	18918.69	9580.88	70161.20	32397.32	49232.00
2007	30814.32	31955.72	24090.71	12283.51	128978.40	58499.41	84038.58
2008	37255.76	38610.24	29354.16	15048.04	179107.14	79882.53	109351.45
2009	43888.94	45264.82	34612.93	17817.54	212675.13	94220.36	126638.75
2010	50241.41	51748.16	78733.06	40406.37	249564.95	114838.19	159179.42
2011	56557.91	58024.30	166732.80	84600.68	352410.86	170802.52	231488.68
2012	63002.16	64101.58	393617.29	195813.30	525038.36	247581.56	277775.16
2013	69920.32	70000.53	684270.51	319157.18	651256.47	278686.78	280483.93
2014	388699.13	425806.60	849460.56	399934.01	711032.87	284657.96	273083.19
2015	379777.89	406163.04	865978.38	408674.55	714489.56	284322.46	266763.56
2016	460219.14	479096.00	902085.46	431896.06	745362.46	297741.37	270531.12
2017	593619.53	601743.17	975529.04	480637.97	817682.21	324539.16	276098.71
2018	704666.11	700851.42	1034482.84	519942.29	869251.97	341357.18	276065.15
2019	792892.78	776305.91	1077127.84	548760.66	905400.77	352829.30	274558.35
2020	853276.52	823968.32	1100224.94	564930.47	924493.80	359481.99	272889.15
2021	903001.45	860562.24	1115588.79	576179.65	937852.93	364870.02	272072.51
2022	943898.24	888782.77	1124934.88	583498.59	945774.33	368558.49	271346.03
2023	979129.27	910629.19	1129314.22	587529.64	948663.17	370200.03	270062.10
2024	1014162.52	928595.04	1130348.24	589330.10	947921.66	370203.46	268149.46
2025	1046054.22	942351.15	1128668.31	589349.61	944321.33	369029.90	265611.12
2026	1075003.24	953094.83	1125064.71	588120.19	938702.30	367052.75	262795.06
2027	1101593.69	962235.56	1120435.51	586208.69	931934.91	364649.71	259844.02
2028	1124939.18	970472.44	1115099.89	583862.55	924523.31	362003.89	256890.15
2029	1144710.46	977210.11	1108660.74	580813.72	915936.57	358820.18	253804.57
2030	1164799.88	983500.83	1101748.79	577459.74	906882.19	355503.23	250709.28
2031	1179637.03	988988.13	1094251.14	573789.93	897590.37	352098.05	247615.73
2032	1189954.01	993351.85	1085947.34	569662.44	887731.62	348503.90	244606.38
2033	1199119.65	997195.03	1077131.64	565255.06	877541.66	344793.05	241597.85
2034	1207602.24	1000294.65	1067684.14	560485.94	866814.27	340828.72	238436.17
2035	1213418.13	1000803.57	1056440.02	554588.16	854087.55	335911.36	234766.90
2036	1218931.82	1000858.35	1044669.84	548423.44	841183.48	331040.91	231380.81
2037	1223280.94	1000284.98	1032284.83	541941.70	827975.14	326107.49	228053.48
2038	1226971.12	999233.49	1019316.88	535166.49	814477.14	321109.09	224715.14
2039	1230798.28	997982.06	1005884.12	528177.66	800816.28	316106.77	221356.80
2040	1234809.82	996299.80	991884.14	520912.95	786865.29	311028.43	217949.50
2041	1239606.59	994356.96	977493.90	513482.73	772828.41	305981.62	214554.11
2042	1244428.30	992263.52	962857.70	505983.79	758906.01	301061.36	211214.13
2043	1248311.85	989888.62	947905.73	498379.84	745059.75	296229.16	207932.93
2044	1251250.59	987167.14	932618.32	490657.01	731267.19	291467.06	204688.30
2045	1252995.35	984255.50	917099.82	482888.87	717693.21	286832.25	201454.84
2046	1253018.49	981074.74	901301.72	475049.87	704302.84	282301.59	198280.90
2047	1252085.03	977606.48	885190.04	467112.34	691005.15	277837.19	195139.26
2048	1250954.93	973925.49	868815.09	459106.61	677825.40	273427.40	191978.86
2049	1249616.63	970006.32	852214.61	451057.18	664792.07	269073.76	188787.65
2050	1248143.72	965850.96	835456.53	443000.80	651939.39	264775.90	185567.54
