Year	CD4_t	Need		On			Percent		CD4_cat Percent_child
1970	200		0.00		0			0			4		0
1971	200		0.00		0			0			4		0
1972	200		0.00		0			0			4		0
1973	200		0.00		0			0			4		0
1974	200		0.00		0			0			4		0
1975	200		0.00		0			0			4		0
1976	200		0.00		0			0			4		0
1977	200		0.00		0			0			4		0
1978	200		0.00		0			0			4		0
1979	200		0.00		0			0			4		0
1980	200		0.00		0			0			4		0
1981	200		0.00		0			0			4		0
1982	200		0.00		0			0			4		0
1983	200		0.00		0			0			4		0
1984	200		0.00		0			0			4		0
1985	200		0.00		0			0			4		0
1986	200		0.00		0			0			4		0
1987	200		7.58		0			0			4		0
1988	200		62.49		0			0			4		0
1989	200		262.35		0			0			4		0
1990	200		847.51		0			0			4		0
1991	200		2369.29		0			0			4		0
1992	200		5948.90		0			0			4		0
1993	200		13539.53	0			0			4		0
1994	200		27979.71	0			0			4		0
1995	200		52413.26	0			0			4		0
1996	200		89493.05	0			0			4		0
1997	200		140194.07	0			0			4		0
1998	200		203324.24	0			0			4		0
1999	200		275688.06	0			0			4		0
2000	200		353088.97	0			0			4		2.875642
2001	200		430436.01	0			0			4		5.250331
2002	200		503307.47	0			0			4		7.290845
2003	200		569273.46	3426.50		0.601906791	4		9.170538
2004	200		651657.79	94682.45	14.52947485	4		4.325472
2005	200		748149.88	177187.35	23.68340355	4		8.070123
2006	200		864883.23	334001.89	38.61814801	4		14.722422
2007	200		1003530.88	512083.30	51.02815574	4		21.363755
2008	200		1133552.77	603287.94	53.22098442	4		4.329517
2009	200		1244545.11	690039.95	55.44515362	4		23.976284
2010	350		2483472.78	864309.25	34.80244513	2		41.637052
2011	350		2666355.30	1521345.23	57.05710834	2		82.083321
2012	350		2937901.36	2282369.33	77.68706478	2		100
2013	350		3217171.06	2396453.43	74.48946241	2		100
2014	350		3472227.10	2684446.55	77.31195204	2		100
2015	350		3748480.07	3373632.062	90			2		83.577119
2016	350		4034214.55	3630793.098	90			2		90.944606
2017	350		4301936.41	3871742.769	90			2		91.332172
2018	350		4546425.13	4091782.618	90			2		90.616202
2019	350		4769037.40	4292133.662	90			2		91.131455
2020	350		4972793.03	4475513.726	90			2		90.000065
2021	350		5160565.88	4644509.292	90			2		90.000065
2022	350		5334604.04	4801143.64	90			2		90.000065
2023	350		5496886.96	4947198.263	90			2		90.000065
2024	350		5637655.38	5073889.838	90			2		90.000065
2025	350		5762896.53	5186606.874	90			2		90.000065
2026	350		5878839.39	5290955.451	90			2		90.000065
2027	350		5983952.59	5385557.332	90			2		90.000065
2028	350		6077472.36	5469725.127	90			2		90.000065
2029	350		6160714.65	5544643.183	90			2		90.000065
2030	350		6235604.64	5612044.18	90			2		90.000065
2031	350		6305121.90	5674609.712	90			2		90.000065
2032	350		6369536.73	5732583.059	90			2		90.000065
2033	350		6429604.50	5786644.052	90			2		90.000065
2034	350		6485760.10	5837184.09	90			2		90.000065
2035	350		6538472.07	5884624.867	90			2		90.000065
2036	350		6588247.95	5929423.158	90			2		90.000065
2037	350		6635312.95	5971781.655	90			2		90.000065
2038	350		6679678.38	6011710.545	90			2		90.000065
2039	350		6721366.82	6049230.137	90			2		90.000065
2040	350		6760403.90	6084363.511	90			2		90.000065
2041	350		6796782.49	6117104.242	90			2		90.000065
2042	350		6830493.35	6147444.013	90			2		90.000065
2043	350		6861548.14	6175393.329	90			2		90.000065
2044	350		6890050.08	6201045.071	90			2		90.000065
2045	350		6916106.08	6224495.475	90			2		90.000065
2046	350		6939770.07	6245793.064	90			2		90.000065
2047	350		6961102.94	6264992.646	90			2		90.000065
2048	350		6980141.46	6282127.317	90			2		90.000065
2049	350		6996867.72	6297180.946	90			2		90.000065
2050	350		7010169.58	6309152.622	90			2		90.000065

