Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0
1979	0	0	0	0	0	0	0
1980	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0
1985	0	0	0	0	0	0	0
1986	745.625087	482.49031	0	0	0	0	0
1987	2851.899349	1877.677016	104.880262	19.499245	6.262373	0.733683	0.152284
1988	8532.849768	5669.864496	467.243685	104.353662	47.866068	8.399331	3.485223
1989	22665.99827	15151.68467	1497.168974	361.452531	192.76812	38.820872	19.99588
1990	54534.16565	36652.47996	4146.223199	1045.906576	605.434081	130.355967	74.294533
1991	118358.2195	80050.58239	10358.63518	2706.125443	1661.901205	373.570074	226.021166
1992	230285.94	156980.7903	23415.50624	6339.456847	4112.220204	958.403557	606.836819
1993	400504.2694	275728.5697	47766.25404	13452.20905	9237.046572	2229.770927	1472.291724
1994	623484.7413	434482.5316	87739.69953	25813.18777	18837.19382	4713.144671	3246.41632
1995	877331.723	620025.2398	145320.9571	44820.51967	34885.92762	9054.435416	6515.75297
1996	1132772.776	812886.3267	218375.524	70661.27316	58709.48089	15799.4739	11884.01528
1997	1364568.758	994994.1909	301776.8514	102275.7935	90568.2221	25233.7048	19827.88973
1998	1556864.248	1153616.712	388700.346	137485.7519	129280.0255	37197.1309	30470.84816
1999	1705106.815	1283486.297	472851.3922	173728.026	172567.2297	51109.63621	43501.71799
2000	1812551.589	1384954.263	549535.0357	208628.6587	217605.9325	66106.09263	58219.50878
2001	1886662.263	1461790.444	616289.8321	240520.1626	261801.4986	81294.60854	73756.15769
2002	1933209.724	1516862.136	671396.4601	268043.9352	302620.552	95739.19803	89085.32178
2003	1958109.429	1553486.848	714506.2392	290555.2893	337559.4821	108322.6935	102584.8978
2004	1965681.972	1574286.49	746194.736	307939.3872	347023.9922	108456.51	95411.82299
2005	1960208.778	1582333.75	767782.4229	320552.5222	363412.2204	113475.9922	97998.91663
2006	1947708.793	1582201.813	781129.5789	329102.6313	360610.3505	109503.1858	87644.09929
2007	1931009.08	1576206.815	787761.7409	334193.9311	357849.9308	106498.9256	80507.43657
2008	1913096.404	1566941.217	789470.0502	336630.0446	375424.2732	115010.9574	91566.08977
2009	1896121.374	1556387.462	787516.2027	337006.2227	383200.2467	119214.7909	97446.0477
2010	1878028.02	1543677.456	743392.5832	311524.1342	369737.1911	116584.9536	91738.77068
2011	1850746.323	1523640.864	633763.0972	244553.2374	256608.4904	71280.6657	37919.3207
2012	1810206.947	1494375.875	518238.6057	173286.4126	137473.7619	31653.24401	12878.16816
2013	1757020.347	1455923.129	573885.3244	203465.5244	178698.4795	47223.99765	25768.40526
2014	1704005.652	1416430.57	552950.2689	196254.9823	170852.7349	44569.89841	24336.66342
