Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0
1979	0	0	0	0	0	0	0
1980	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0
1985	0	0	0	0	0	0	0
1986	0	0	0	0	0	0	0
1987	0	0	0	0	0	0	0
1988	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0
1991	0	0	0	0	0	0	0
1992	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0
1997	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0
2002	11.979038	2.589355	1.13727	0.567694	1.107811	0.492039	0.491752
2003	67.47757	14.172409	5.483538	2.737383	1348.499736	625.978311	1019.451288
2004	210.602542	42.311622	14.278596	7.128625	36871.04607	17103.20066	27337.88409
2005	503.301508	95.162909	28.109631	14.035661	69867.86009	32047.29249	49623.16125
2006	1038.982201	183.502704	47.093448	23.518909	132990.1963	60457.34757	90332.39204
2007	1292.035298	221.772311	52.548083	26.272369	207199.1514	92997.77744	133403.9688
2008	1774.737005	301.079444	64.39402	32.223529	253406.4887	112958.0716	159110.0867
2009	2654.566987	444.596615	86.550828	43.332202	299433.86	133274.8158	186576.4607
2010	4014.55465	645.560075	55327.18819	29169.84466	346250.4696	159194.9936	227514.2634
2011	5864.320515	890.932765	220783.2634	115719.9428	495920.0973	238222.7557	320695.9464
2012	4701.172139	667.176217	451851.7832	231993.9448	673966.7705	312481.8329	365147.6547
2013	5886.330921	893.666708	503258.4283	255946.6219	701367.1954	324365.0312	373865.3027
2014	7521.006878	1223.213388	616857.3324	311026.7638	775081.5898	355358.634	394343.5325
2015	9307.773468	1469.315119	841326.9501	420733.4302	918526.3788	405487.8578	417637.4616
2016	12267.41823	1803.923509	995601.4671	490051.4039	990140.2025	426946.508	421841.1819
2017	15386.71087	2232.098082	1120052.753	545198.3974	1044775.085	443943.0067	425125.0758
2018	21176.39327	3343.562421	1232191.099	595838.4823	1096717.175	461331.0542	429770.3391
2019	27664.29278	4558.267944	1331226.888	641330.6377	1144842.103	478395.3707	435749.2099
2020	30986.81605	4787.666988	1418616.054	682064.3819	1189129.166	494985.969	443030.0293
2021	34464.5891	4844.082786	1495652.87	718419.9888	1229471.556	510876.1541	451347.4185
2022	38103.43975	5160.868799	1563288.858	750671.129	1265705.012	525775.9098	460237.3567
2023	44849.4812	6516.272524	1622496.657	779151.3386	1297808.128	539361.8239	469290.5275
2024	56242.97293	8820.270472	1674720.853	804476.9566	1326278.705	551749.0728	478290.4026
2025	64288.25147	9936.804919	1720774.769	826957.2756	1351492.714	563101.77	487113.4034
2026	71498.72301	10519.96011	1761528.86	846965.5575	1373731.361	573471.0034	495882.2389
2027	78169.33806	10926.4167	1798169.422	865039.1742	1393528.02	583018.314	504716.3267
2028	84310.10576	11480.82598	1831076.338	881325.3804	1411028.656	591727.2016	513508.6252
2029	88502.77531	11839.50752	1860743.333	896039.4781	1426501.929	599670.0557	522120.1502
2030	90970.53962	12094.30855	1887760.22	909453.0007	1440274.064	606972.1234	530552.7474
2031	92466.7694	12256.10907	1912380.31	921677.8267	1452460.402	613653.2551	538828.7442
2032	92744.70568	12176.73382	1935024.56	932914.0588	1463271.567	619797.2335	546934.9898
2033	94122.54195	12270.36002	1955968.265	943292.861	1472873.824	625461.5624	554840.6219
2034	95211.03948	12363.93395	1975370.938	952891.208	1481366.313	630675.4281	562524.2065
2035	96490.62809	12501.22466	1993473.202	961830.0858	1488912.745	635505.0181	569981.742
2036	98164.60246	12687.35588	2010415.205	970182.5958	1495624.028	639993.6798	577225.2833
2037	98476.79344	12637.82214	2026237.64	977970.9081	1501532.276	644152.6847	584243.1139
2038	100208.5492	12762.66617	2041098.899	985275.6545	1506749.841	648036.3164	591045.3583
2039	101904.6829	12893.66624	2055038.038	992116.0316	1511329.623	651664.2594	597640.2145
2040	103529.515	13028.75759	2068021.336	998476.9991	1515270.101	655034.3086	604030.5551
2041	105580.0127	13201.9473	2080084.088	1004378.75	1518612.984	658171.1032	610240.9567
2042	106272.2086	13160.67741	2091220.465	1009817.293	1521371.903	661082.1988	616283.7108
2043	107671.7198	13243.58616	2101424.404	1014787.28	1523561.844	663776.3938	622170.3023
2044	108966.9797	13324.64113	2110709.178	1019292.338	1525203.828	666264.9597	627915.4236
2045	110250.4933	13417.47313	2119085.57	1023339.849	1526325.903	668560.9845	633539.5898
2046	111777.8432	13539.78368	2126577.736	1026946.52	1526970.045	670687.143	639071.3663
2047	112056.8548	13461.84725	2133194.243	1030119.662	1527163.879	672660.1307	644532.7266
2048	113066.5756	13506.74485	2138919.651	1032854.178	1526916.475	674486.813	649927.2031
2049	114096.6459	13558.04204	2143752.433	1035149.529	1526238.667	676172.6863	655247.9232
2050	115240.027	13626.35463	2147352.982	1036832.051	1524864.473	677598.2525	660367.109
