Year	CD4_t	Need		On			Percent		CD4_cat
1970	200		0			0			0			4
1971	200		0			0			0			4
1972	200		0.009863	0			0			4
1973	200		0.063072	0			0			4
1974	200		0.174159	0			0			4
1975	200		0.336639	0			0			4
1976	200		0.547327	0			0			4
1977	200		0.828518	0			0			4
1978	200		1.196545	0			0			4
1979	200		1.686426	0			0			4
1980	200		2.367118	0			0			4
1981	200		3.367259	0			0			4	
1982	200		4.831208	0			0			4
1983	200		6.957575	0			0			4
1984	200		10.08899	0			0			4
1985	200		14.664009	0			0			4
1986	200		21.332853	0			0			4
1987	200		30.949287	0			0			4
1988	200		44.802983	0			0			4
1989	200		64.955561	0			0			4
1990	200		94.6109		0			0			4
1991	200		138.59659	0			0			4
1992	200		204.686932	0			0			4
1993	200		304.91364	0			0			4
1994	200		456.642702	0			0			4
1995	200		685.55451	0			0			4
1996	200		1030.35		0			0			4
1997	200		1549.01		0			0			4
1998	200		2327.56		0			0			4
1999	200		3493.73		0			0			4
2000	200		5184.77		0			0			4
2001	200		7448.95		0			0			4
2002	200		10235.94	50			0.488474881	4
2003	200		13438.54	200			1.488256437	4
2004	200		16909.52	500			2.956913918	4
2005	200		20584.21	2655		12.89823321	4
2006	200		25055.96	7818		31.20215171	4
2007	200		31034.38	15273		49.21316955	4
2008	200		38653.06	25597		66.22244043	4
2009	200		47950.53	36008		75.09406291	4
2010	350		108577.22	46824		43.12506701	2
2011	350		116824.61	57663		49.35860681	2
2012	350		124695.80	68883		55.24083362	2
2013	350		132506.39	78483		59.22959533	2
2014	350		141709.28	94937.25146	66.994379	2
2015	350		150818.00	105571.9453	69.999566	2
2016	350		159332.55	114719.1648	71.999832	2
2017	350		167338.92	123828.1324	73.998405	2
2018	350		175014.96	133011.7882	76.00024	2
2019	350		182528.33	142372.2382	78.000078	2
2020	350		190029.25	152023.4019	80			2
2021	350		196901.44	157521.1547	80			2
2022	350		202967.89	162374.3138	80			2
2023	350		208273.30	166618.6425	80			2
2024	350		212863.55	170290.8401	80			2
2025	350		216769.71	173415.7719	80			2
2026	350		220068.84	176055.0738	80			2
2027	350		222793.42	178234.7341	80			2
2028	350		224982.33	179985.8602	80			2
2029	350		226725.23	181380.1815	80			2
2030	350		228077.35	182461.8765	80			2
2031	350		229083.12	183266.494	80			2
2032	350		229777.66	183822.1309	80			2
2033	350		230197.37	184157.8934	80			2
2034	350		230358.72	184286.9751	80			2
2035	350		230279.91	184223.9292	80			2
2036	350		229985.75	183988.5992	80			2
2037	350		229490.81	183592.649	80			2
2038	350		228801.22	183040.9759	80			2
2039	350		227919.17	182335.3377	80			2
2040	350		226849.24	181479.3925	80			2
2041	350		225599.33	180479.4609	80			2
2042	350		224180.55	179344.4408	80			2
2043	350		222604.61	178083.6848	80			2
2044	350		220879.94	176703.9502	80			2
2045	350		219013.34	175210.6694	80			2
2046	350		217012.97	173610.3737	80			2
2047	350		214888.78	171911.0223	80			2
2048	350		212653.47	170122.7767	80			2
2049	350		210321.06	168256.8444	80			2
2050	350		207881.87	166305.4985	80			2
