Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
1970			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1971			
 0-4	0.000001	0.000001	0.000001
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000097	0.000177	0.000014
 20-24 	0.000108	0.000205	0.000012
 25-29 	0.000108	0.000211	0.000010
 30-34 	0.000114	0.000226	0.000008
 35-39 	0.000103	0.000204	0.000007
 40-44 	0.000083	0.000165	0.000006
 45-49 	0.000052	0.000105	0.000004
 50-54 	0.000022	0.000045	0.000002
 55-59 	0.000010	0.000021	0.000000
 60-64 	0.000001	0.000002	0.000000
 65-69 	0.000000	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000042	0.000080	0.000004
1972			
 0-4	0.000001	0.000001	0.000001
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000097	0.000177	0.000014
 20-24 	0.000108	0.000205	0.000012
 25-29 	0.000108	0.000211	0.000010
 30-34 	0.000114	0.000225	0.000008
 35-39 	0.000103	0.000204	0.000007
 40-44 	0.000082	0.000165	0.000006
 45-49 	0.000052	0.000105	0.000004
 50-54 	0.000022	0.000045	0.000002
 55-59 	0.000010	0.000021	0.000000
 60-64 	0.000001	0.000002	0.000000
 65-69 	0.000000	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000042	0.000081	0.000004
1973			
 0-4	0.000002	0.000002	0.000002
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000097	0.000177	0.000014
 20-24 	0.000109	0.000205	0.000012
 25-29 	0.000108	0.000210	0.000010
 30-34 	0.000113	0.000225	0.000008
 35-39 	0.000102	0.000203	0.000007
 40-44 	0.000082	0.000164	0.000006
 45-49 	0.000052	0.000104	0.000004
 50-54 	0.000022	0.000045	0.000002
 55-59 	0.000010	0.000021	0.000000
 60-64 	0.000001	0.000002	0.000000
 65-69 	0.000000	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000042	0.000082	0.000004
1974			
 0-4	0.000002	0.000002	0.000002
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000096	0.000177	0.000014
 20-24 	0.000109	0.000204	0.000012
 25-29 	0.000107	0.000210	0.000010
 30-34 	0.000113	0.000224	0.000008
 35-39 	0.000102	0.000203	0.000007
 40-44 	0.000082	0.000163	0.000006
 45-49 	0.000051	0.000104	0.000004
 50-54 	0.000022	0.000044	0.000002
 55-59 	0.000010	0.000021	0.000000
 60-64 	0.000001	0.000002	0.000000
 65-69 	0.000000	0.000001	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000001	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000043	0.000083	0.000005
1975			
 0-4	0.000003	0.000003	0.000003
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000193	0.000357	0.000025
 20-24 	0.000218	0.000411	0.000022
 25-29 	0.000216	0.000422	0.000018
 30-34 	0.000226	0.000452	0.000014
 35-39 	0.000204	0.000409	0.000013
 40-44 	0.000163	0.000329	0.000011
 45-49 	0.000104	0.000211	0.000007
 50-54 	0.000043	0.000089	0.000003
 55-59 	0.000020	0.000043	0.000000
 60-64 	0.000002	0.000004	0.000000
 65-69 	0.000001	0.000001	0.000000
