Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0
1979	0	0	0	0	0	0	0
1980	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	1.817543	1.17722	0	0	0	0	0
1985	3.415102	2.291025	0.257003	0.048275	0.015846	0.001899	0.000404
1986	6.741296	4.581549	0.644077	0.163512	0.089373	0.017794	0.008374
1987	13.620453	9.296984	1.360869	0.374253	0.24312	0.056218	0.034257
1988	29.830833	20.324888	2.791536	0.78383	0.541178	0.13171	0.088387
1989	67.059185	45.633042	5.999236	1.663886	1.150398	0.282335	0.194529
1990	146.983228	100.163918	13.321367	3.650492	2.485798	0.605051	0.413975
1991	322.894206	220.28728	29.339914	8.050956	5.460568	1.321865	0.893335
1992	691.939791	473.150055	64.596988	17.742356	12.02701	2.905535	1.94988
1993	1455.980334	998.056298	139.769464	38.645236	26.359009	6.377584	4.265848
1994	2993.411309	2057.624023	297.136549	82.799177	57.017395	13.855063	9.277142
1995	5922.893342	4086.138561	618.40297	173.968788	121.277953	29.656335	19.941214
1996	10948.91365	7596.863592	1245.809605	355.399254	252.204544	62.25735	42.199461
1997	18061.64163	12656.51254	2373.250443	692.898691	506.21498	126.903857	87.264601
1998	26300.22396	18689.05964	4125.788181	1252.086831	959.379371	246.568205	173.756798
1999	34577.05894	24974.40184	6446.354536	2056.017833	1677.806057	445.808203	325.667996
2000	42265.42568	31043.60202	9142.115923	3068.405109	2680.496365	738.719292	563.442069
2001	49306.19582	36782.47442	11996.03061	4214.827393	3928.392583	1121.073003	893.623958
2002	54955.54712	41640.3322	14865.41619	5422.672892	5341.336097	1569.97931	1300.362801
2003	59981.19955	46044.17898	17544.82739	6614.66116	6827.71385	2055.773467	1755.736787
2004	63870.1285	49629.75598	20014.61682	7740.682862	8295.46182	2545.979695	2226.823085
2005	66610.18339	52349.63509	22181.38679	8765.687569	9375.119265	2851.981919	2408.178157
2006	67840.18046	53937.72085	23981.19248	9655.371585	9937.939186	2919.363331	2258.302862
2007	67567.22428	54362.61297	25323.22544	10376.87902	10175.71088	2855.786256	1976.605114
2008	66811.43546	54276.01615	26150.14701	10898.8595	10390.31852	2557.480389	1272.905554
2009	65653.98257	53759.6293	26581.41684	11229.95986	10496.31177	2415.421814	870.524203
2010	64258.57037	52949.46068	23685.40025	9778.784315	11221.79139	1962.316624	435.583066
2011	62681.0447	51913.62262	22429.26579	9039.227208	10873.42005	2129.557333	756.718063
2012	60866.86259	50634.51504	21388.18014	8494.908445	9555.912305	2082.041126	1060.490354
2013	58651.0679	49016.32964	21045.11485	8352.192773	8761.850206	2382.584339	1697.095139
2014	56280.36745	47227.80958	19821.17007	7822.046743	7681.643825	2168.989643	1759.069187
