Year	CD4500	CD4350_500	CD4250_349	CD4200_249	CD4100_199	CD450_99	CD450
1970	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0
1973	0	0	0	0	0	0	0
1974	0	0	0	0	0	0	0
1975	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0
1977	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0
1979	0	0	0	0	0	0	0
1980	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0
1985	0	0	0	0	0	0	0
1986	0	0	0	0	0	0	0
1987	0	0	0	0	0	0	0
1988	0	0	0	0	0	0	0
1989	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	0
1991	0	0	0	0	0	0	0
1992	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0
1997	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0
2002	0	0	0	0	12.34087	5.267582	7.480834
2003	0	0	0	0	55.052938	23.894616	34.699681
2004	0	0	0	0	148.59088	65.420911	96.773609
2005	0	0	0	0	822.041569	367.211593	547.142457
2006	0.01734	0.004155	0.001654	0.000827	2498.336316	1093.432312	1532.758901
2007	0.113031	0.02674	0.009169	0.004587	5136.818475	2193.668123	2868.670995
2008	0.66302	0.157212	0.056612	0.028323	8300.38383	4277.51104	4868.969862
2009	2.707613	0.641323	0.221886	0.111035	11817.76694	6667.121679	6961.376738
2010	7.80292	1.805602	4065.90692	1716.514478	12868.37155	11301.63765	8544.004018
2011	11.085863	2.377917	7229.7108	3016.650515	13621.19336	14712.49507	9625.873374
2012	15.885812	3.214059	10419.40445	4290.534932	15551.08561	17033.88704	10455.18321
2013	23.488919	4.852616	12755.80443	5229.08097	17558.66801	17450.0534	10807.24804
2014	37.954445	7.977965	15938.80157	6502.786946	20303.37691	17752.45429	11167.92668
2015	61.437874	13.009027	14968.91943	6119.443498	19027.79298	16551.41665	10332.49816
2016	67.943295	14.103513	14056.11772	5753.263448	17834.1013	15470.8909	9598.406008
2017	84.029748	16.864095	13515.71253	5505.04877	16876.27082	14549.94987	8983.889876
2018	104.268191	19.677014	13920.04777	5438.581938	16232.47733	13803.84582	8512.009433
2019	134.014208	22.924636	14928.43351	5434.784603	15746.95133	13169.49011	8125.930775
2020	178.19448	27.686415	15685.89606	5370.127005	15231.44883	12573.99656	7750.130899
2021	234.538302	33.126001	15720.60149	5231.551754	14656.19415	12001.43786	7370.257444
2022	306.632019	39.64591	15756.01532	5098.027552	14102.09768	11452.27513	7008.91776
2023	388.27876	47.071705	15794.4487	4970.28325	13569.93391	10925.89153	6665.026279
2024	472.33118	53.4434	15824.08289	4846.127497	13056.82854	10420.51388	6336.814997
2025	557.917949	59.340192	15851.46174	4726.220046	12562.97947	9935.726363	6024.099724
2026	628.32233	63.067784	15890.11618	4611.996967	12089.84949	9471.443578	5726.887683
2027	685.690868	66.972941	15950.90028	4504.688767	11638.5375	9027.466232	5445.151177
2028	723.210351	70.427801	16037.15961	4404.606596	11208.98664	8603.231819	5178.484344
2029	744.634907	72.707965	16159.67191	4312.806426	10802.39519	8198.586533	4926.889193
2030	738.181201	72.835391	16311.37551	4227.982498	10416.78253	7812.243523	4689.083748
2031	714.802307	70.36715	16487.14484	4149.571705	10050.4795	7443.253551	4464.250891
2032	694.978739	68.690149	16686.53265	4077.570013	9702.733243	7090.984846	4251.929076
2033	674.897586	66.866864	16907.56638	4011.59949	9372.600218	6754.609003	4051.467504
2034	656.16533	65.222791	17148.34837	3951.320773	9059.218849	6433.382233	3862.277524
2035	639.842982	64.02782	17406.08086	3896.271065	8761.635269	6126.610354	3683.768893
2036	618.37611	61.555813	17677.29455	3845.92442	8478.835583	5833.687573	3515.352423
2037	600.61606	59.85675	17957.82917	3799.648455	8209.641452	5553.875936	3356.340091
2038	583.423623	58.194016	18243.10353	3756.777818	7952.896282	5286.390604	3206.04791
2039	567.024707	56.657918	18528.07294	3716.597291	7707.384651	5030.469398	3063.755473
2040	552.374133	55.520884	18808.19476	3678.48066	7472.00912	4785.463336	2928.812276
2041	533.386645	53.383662	19079.81384	3641.928265	7245.877323	4550.901669	2800.70421
2042	517.956487	51.942778	19340.48293	3606.577979	7028.332736	4326.36037	2679.0678
2043	503.631879	50.551675	19589.32563	3572.279356	6819.163042	4111.554091	2563.808026
2044	490.42078	49.282452	19825.22281	3538.814571	6618.140284	3906.263398	2454.859876
2045	478.789805	48.284828	20045.94688	3505.817238	6424.818646	3710.316973	2352.09577
2046	463.828629	46.471772	20249.46963	3472.970605	6238.711027	3523.708628	2255.361494
2047	451.707087	45.236487	20434.51642	3440.050077	6059.373908	3346.415582	2164.428652
2048	440.053528	44.049625	20600.92926	3406.996238	5886.661357	3178.324141	2079.131639
2049	429.007922	42.95198	20749.50327	3373.875063	5720.612178	3019.226698	1999.309201
2050	419.10113	42.067014	20880.0866	3340.488426	5560.603053	2868.365207	1924.496796

