Year	CD4_t	Need		On			Percent		CD4_cat
1970	200		0			0			0			4
1971	200		0			0			0			4
1972	200		0.009863	0			0			4
1973	200		0.063071	0			0			4
1974	200		0.17416		0			0			4
1975	200		0.336638	0			0			4
1976	200		0.547326	0			0			4
1977	200		0.828517	0			0			4
1978	200		1.196543	0			0			4
1979	200		1.686426	0			0			4
1980	200		2.36712		0			0			4
1981	200		3.36726		0			0			4
1982	200		4.831207	0			0			4
1983	200		6.957574	0			0			4
1984	200		10.08899	0			0			4
1985	200		14.664008	0			0			4
1986	200		21.332854	0			0			4
1987	200		30.949285	0			0			4
1988	200		44.802983	0			0			4
1989	200		64.955559	0			0			4
1990	200		94.610899	0			0			4
1991	200		138.596589	0			0			4
1992	200		204.686931	0			0			4
1993	200		304.913637	0			0			4
1994	200		456.642705	0			0			4
1995	200		685.554511	0			0			4
1996	200		1,030.35	0.00		0			4
1997	200		1,549.01	0.00		0			4
1998	200		2,327.56	0.00		0			4
1999	200		3,493.73	0.00		0			4	
2000	200		5,184.77	0.00		0			4
2001	200		7,448.95	0.00		0			4
2002	200		10,235.94	50.00		0.488474876	4
2003	200		13,438.54	200.00		1.488256422	4
2004	200		16,909.52	500.00		2.956913873	4
2005	200		20,584.21	2,655.00	12.89823316	4
2006	200		25,055.96	7,818.00	31.20215156	4
2007	200		31,034.38	15,273.00	49.21316977	4
2008	200		38,653.06	25,597.00	66.22244089	4
2009	200		47,950.53	36,008.00	75.09406291	4
2010	350		108,577.28	46,824.00	43.12504563	2
2011	350		116,824.86	57,663.00	49.35850218	2
2012	350		124,696.42	68,883.00	55.24056128	2
2013	350		132,507.68	78,483.00	59.22901814	2
2014	350		141,711.66	94,939.54	66.994867	2
2015	350		150,821.77	105,575.50	70.000174	2
2016	350		159,337.92	114,724.21	72.000568	2
2017	350		167,346.01	123,836.24	74.000113	2
2018	350		175,023.71	133,018.02	76			2
2019	350		182,538.64	142,380.25	78.000061	2
2020	350		190,041.15	152,032.63	79.999851	2
2021	350		196,914.73	157,531.49	79.999851	2
2022	350		202,982.23	162,385.48	79.999851	2
2023	350		208,291.03	166,632.51	79.999851	2
2024	350		212,888.44	170,310.44	79.999851	2
2025	350		216,800.35	173,439.95	79.999851	2
2026	350		220,102.84	176,081.94	79.999851	2
2027	350		222,827.55	178,261.71	79.999851	2
2028	350		225,015.85	180,012.35	79.999851	2
2029	350		226,759.44	181,407.21	79.999851	2
2030	350		228,111.59	182,488.94	79.999851	2
2031	350		229,117.14	183,293.37	79.999851	2
2032	350		229,811.31	183,848.71	79.999851	2
2033	350		230,230.58	184,184.12	79.999851	2
2034	350		230,391.40	184,312.78	79.999851	2
2035	350		230,312.00	184,249.26	79.999851	2
2036	350		230,017.20	184,013.42	79.999851	2
2037	350		229,521.60	183,616.94	79.999851	2
2038	350		228,831.38	183,064.76	79.999851	2
2039	350		227,948.70	182,358.62	79.999851	2
2040	350		226,878.12	181,502.16	79.999851	2
2041	350		225,627.48	180,501.65	79.999851	2
2042	350		224,207.89	179,365.98	79.999851	2
2043	350		222,631.14	178,104.58	79.999851	2
2044	350		220,905.67	176,724.20	79.999851	2
2045	350		219,038.27	175,230.29	79.999851	2
2046	350		217,037.09	173,629.35	79.999851	2
2047	350		214,912.08	171,929.34	79.999851	2
2048	350		212,675.93	170,140.42	79.999851	2
2049	350		210,342.66	168,273.82	79.999851	2
2050	350		207,902.64	166,321.80	79.999851	2
