Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1971																																																																																																																																																																																																																																																										
 0-4	0.003985	0.002039	0.001946																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.445944	0.413073	0.032871																																																																																																																																																																																																																																																							
 20-24 	0.327965	0.308986	0.018980																																																																																																																																																																																																																																																							
 25-29 	0.256009	0.243464	0.012545																																																																																																																																																																																																																																																							
 30-34 	0.255903	0.246819	0.009084																																																																																																																																																																																																																																																							
 35-39 	0.247000	0.237822	0.009178																																																																																																																																																																																																																																																							
 40-44 	0.173142	0.166562	0.006580																																																																																																																																																																																																																																																							
 45-49 	0.098130	0.094207	0.003923																																																																																																																																																																																																																																																							
 50-54 	0.035473	0.034141	0.001331																																																																																																																																																																																																																																																							
 55-59 	0.014688	0.014513	0.000176																																																																																																																																																																																																																																																							
 60-64 	0.001245	0.001243	0.000002																																																																																																																																																																																																																																																							
 65-69 	0.000267	0.000265	0.000002																																																																																																																																																																																																																																																							
 70-74 	0.000011	0.000011	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000087	0.000085	0.000002																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	1.859849	1.763229	0.096620																																																																																																																																																																																																																																																							
1972																																																																																																																																																																																																																																																										
 0-4	0.009954	0.005090	0.004864																																																																																																																																																																																																																																																							
 5-9	0.000316	0.000161	0.000154																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.804088	0.744555	0.059533																																																																																																																																																																																																																																																							
 20-24 	0.739638	0.695683	0.043955																																																																																																																																																																																																																																																							
 25-29 	0.514783	0.489087	0.025697																																																																																																																																																																																																																																																							
 30-34 	0.505173	0.486726	0.018447																																																																																																																																																																																																																																																							
 35-39 	0.487331	0.469439	0.017892																																																																																																																																																																																																																																																							
 40-44 	0.368005	0.354013	0.013992																																																																																																																																																																																																																																																							
 45-49 	0.206174	0.197953	0.008221																																																																																																																																																																																																																																																							
 50-54 	0.080685	0.077565	0.003120																																																																																																																																																																																																																																																							
 55-59 	0.031059	0.030590	0.000469																																																																																																																																																																																																																																																							
 60-64 	0.004211	0.004203	0.000008																																																																																																																																																																																																																																																							
 65-69 	0.000447	0.000443	0.000004																																																																																																																																																																																																																																																							
 70-74 	0.000082	0.000081	0.000001																																																																																																																																																																																																																																																							
 75-79 	0.000161	0.000157	0.000004																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	3.752108	3.555746	0.196362																																																																																																																																																																																																																																																							
1973																																																																																																																																																																																																																																																										
 0-4	0.017377	0.008883	0.008494																																																																																																																																																																																																																																																							
 5-9	0.001442	0.000736	0.000706																																																																																																																																																																																																																																																							
 10-14 	0.000060	0.000031	0.000029																																																																																																																																																																																																																																																							
 15-19 	1.075393	0.995522	0.079871																																																																																																																																																																																																																																																							
 20-24 	1.221496	1.147201	0.074295																																																																																																																																																																																																																																																							
 25-29 	0.790482	0.750417	0.040065																																																																																																																																																																																																																																																							
 30-34 	0.748981	0.720747	0.028234																																																																																																																																																																																																																																																							
 35-39 	0.716819	0.690770	0.026049																																																																																																																																																																																																																																																							
 40-44 	0.576573	0.554641	0.021931																																																																																																																																																																																																																																																							
 45-49 	0.323956	0.311084	0.012872																																																																																																																																																																																																																																																							
 50-54 	0.134857	0.129529	0.005328																																																																																																																																																																																																																																																							
 55-59 	0.049408	0.048494	0.000914																																																																																																																																																																																																																																																							
 60-64 	0.009036	0.009012	0.000024																																																																																																																																																																																																																																																							
 65-69 	0.000552	0.000547	0.000005																																																																																																																																																																																																																																																							
 70-74 	0.000204	0.000202	0.000002																																																																																																																																																																																																																																																							
 75-79 	0.000217	0.000212	0.000005																																																																																																																																																																																																																																																							
 80+ 	0.000008	0.000008	0.000000																																																																																																																																																																																																																																																							
Total	5.666861	5.368036	0.298825																																																																																																																																																																																																																																																							
1974																																																																																																																																																																																																																																																										
 0-4	0.025082	0.012818	0.012264																																																																																																																																																																																																																																																							
 5-9	0.003260	0.001663	0.001597																																																																																																																																																																																																																																																							
 10-14 	0.000319	0.000163	0.000157																																																																																																																																																																																																																																																							
 15-19 	1.260109	1.166410	0.093699																																																																																																																																																																																																																																																							
 20-24 	1.756829	1.647645	0.109184																																																																																																																																																																																																																																																							
 25-29 	1.100145	1.043730	0.056415																																																																																																																																																																																																																																																							
 30-34 	0.987068	0.948577	0.038491																																																																																																																																																																																																																																																							
 35-39 	0.933058	0.899432	0.033626																																																																																																																																																																																																																																																							
 40-44 	0.786667	0.756766	0.029901																																																																																																																																																																																																																																																							
 45-49 	0.450707	0.432883	0.017823																																																																																																																																																																																																																																																							
