bangladesh_test	Total	Male	Female
1970			
 0-4	72033.735182	36544.935043	35488.800139
 5-9	73064.465827	37357.104076	35707.361751
 10-14 	40527.648916	20636.633686	19891.015230
 15-19 	51248.827264	26171.535186	25077.292078
 20-24 	47278.782713	24198.597460	23080.185253
 25-29 	40094.275656	20657.180905	19437.094751
 30-34 	33723.823983	17631.716676	16092.107307
 35-39 	28098.557389	14807.479295	13291.078094
 40-44 	23142.755368	12131.875015	11010.880353
 45-49 	19184.256836	10119.205931	9065.050905
 50-54 	15683.096969	8370.356476	7312.740493
 55-59 	12684.041853	6858.666748	5825.375105
 60-64 	9871.215764	5495.500897	4375.714867
 65-69 	7336.106879	4042.023104	3294.083775
 70-74 	4802.697733	2594.157892	2208.539841
 75-79 	2740.644287	1481.412897	1259.231390
 80+ 	1828.542448	986.737548	841.804900
Total	483343.475067	250085.118835	233258.356232
1971			
 0-4	75408.008057	38246.314768	37161.693289
 5-9	75462.966612	38636.288827	36826.677786
 10-14 	42167.192461	21512.105646	20655.086815
 15-19 	53873.666964	27490.383561	26383.283403
 20-24 	49838.089723	25517.383225	24320.706498
 25-29 	41380.371883	21287.790949	20092.580933
 30-34 	34938.245212	18217.554905	16720.690307
 35-39 	29148.388514	15364.566736	13783.821778
 40-44 	24046.064964	12637.164893	11408.900071
 45-49 	19871.832333	10463.313419	9408.518915
 50-54 	16298.473841	8679.130158	7619.343683
 55-59 	13167.281598	7102.578712	6064.702887
 60-64 	10272.890023	5685.763654	4587.126370
 65-69 	7606.533794	4217.942902	3388.590892
 70-74 	5014.673057	2720.519223	2294.153834
 75-79 	2812.355172	1517.663240	1294.691932
 80+ 	1816.527517	983.780258	832.747259
Total	503123.561724	260280.245075	242843.316649
1972			
 0-4	76772.875544	38916.751878	37856.123666
 5-9	78217.309049	40108.558585	38108.750464
 10-14 	43610.057296	22297.188405	21312.868891
 15-19 	54595.662863	27925.895300	26669.767563
 20-24 	50654.393301	26001.900234	24652.493066
 25-29 	42416.028563	21796.359149	20619.669414
 30-34 	36152.897390	18802.878403	17350.018987
 35-39 	30181.182505	15903.743786	14277.438719
 40-44 	24947.105765	13136.985452	11810.120314
 45-49 	20568.160096	10818.434662	9749.725434
 50-54 	16907.430843	8984.859258	7922.571585
 55-59 	13647.289767	7343.764544	6303.525223
 60-64 	10659.840654	5869.291660	4790.548994
 65-69 	7861.423479	4376.067614	3485.355865
 70-74 	5196.119352	2831.142141	2364.977211
 75-79 	2870.588290	1549.315134	1321.273157
 80+ 	1807.551542	981.456034	826.095508
Total	517065.916299	267644.592238	249421.324061
1973			
 0-4	77952.794005	39492.775236	38460.018769
 5-9	80584.646600	41362.378554	39222.268046
 10-14 	45111.544113	23119.493026	21992.051086
 15-19 	55286.345192	28350.274886	26936.070305
 20-24 	51043.235260	26298.293250	24744.942010
 25-29 	43307.919167	22247.907723	21060.011444
 30-34 	37312.417271	19358.815316	17953.601954
 35-39 	31198.168851	16424.193667	14773.975184
 40-44 	25853.464699	13640.620522	12212.844176
 45-49 	21265.899318	11180.906187	10084.993131
 50-54 	17512.317499	9288.102622	8224.214877
 55-59 	14129.807928	7586.945990	6542.861938
 60-64 	11052.514660	6053.300893	4999.213768
 65-69 	8124.174841	4531.368307	3592.806534
 70-74 	5388.160960	2949.958027	2438.202933
 75-79 	2949.753374	1593.286845	1356.466528
 80+ 	1820.580527	990.426870	830.153657
Total	529893.744264	274469.047922	255424.696342
1974			
 0-4	80098.538406	40600.283023	39498.255383
 5-9	81922.830694	42021.315339	39901.515354
 10-14 	46763.316715	24017.627187	22745.689528
 15-19 	56483.567921	29013.734087	27469.833835
 20-24 	51417.501828	26595.235421	24822.266407
 25-29 	44053.301755	22645.216319	21408.085436
 30-34 	38306.147293	19824.541447	18481.605846
 35-39 	32189.126318	16914.593981	15274.532337
 40-44 	26745.132019	14135.172829	12609.959190
 45-49 	21944.738399	11543.485727	10401.252673
 50-54 	18090.212629	9578.478760	8511.733870
 55-59 	14605.079929	7826.844856	6778.235073
 60-64 	11440.211131	6235.996647	5204.214485
 65-69 	8398.862851	4684.687997	3714.174854
 70-74 	5597.163890	3080.162713	2517.001177
 75-79 	3065.511648	1658.473157	1407.038491
 80+ 	1869.338489	1018.024809	851.313680
Total	542990.581916	281393.874298	261596.707618
1975			
 0-4	81226.597633	41138.081690	40088.515943
 5-9	84475.013779	43313.336748	41161.677031
 10-14 	48666.226636	25045.225116	23621.001521
 15-19 	58482.060643	30061.684579	28420.376064
 20-24 	52249.587725	27113.177369	25136.410356
 25-29 	44640.895168	22989.822170	21651.072998
 30-34 	39018.018358	20136.887704	18881.130653
 35-39 	33136.631417	17359.076513	15777.554904
 40-44 	27605.048436	14610.342504	12994.705932
 45-49 	22576.107173	11894.009939	10682.097235
 50-54 	18613.318888	9843.592612	8769.726276
 55-59 	15053.712150	8054.840670	6998.871480
 60-64 	11806.106728	6410.940525	5395.166204
 65-69 	8676.747670	4831.767453	3844.980217
 70-74 	5818.182222	3218.910945	2599.271277
 75-79 	3217.880347	1745.128736	1472.751612
 80+ 	1954.842054	1064.991080	889.850975
Total	557216.977030	288831.816352	268385.160678
1976			
 0-4	84108.888867	42618.610834	41490.278033
 5-9	85964.549226	43996.752396	41967.796831
 10-14 	50403.712044	25959.881739	24443.830305
 15-19 	61499.944288	31593.621163	29906.323126
 20-24 	53969.465970	28029.346080	25940.119889
 25-29 	45332.285761	23404.825486	21927.460274
 30-34 	39468.450402	20314.264750	19154.185651
 35-39 	34053.354323	17762.568886	16290.785437
 40-44 	28453.512761	15066.269560	13387.243201
 45-49 	23189.849137	12246.400073	10943.449064
 50-54 	19094.391972	10087.124107	9007.267864
 55-59 	15490.924545	8274.728705	7216.195840
 60-64 	12156.061690	6583.515294	5572.546396
 65-69 	8964.910005	4972.494729	3992.415276
 70-74 	6044.075593	3361.150892	2682.924701
 75-79 	3401.303240	1850.757593	1550.545647
 80+ 	2070.347473	1127.688224	942.659248
Total	573666.027296	297250.000512	276416.026784
1977			
 0-4	86746.913009	43960.017698	42786.895310
 5-9	87926.305607	44921.745011	43004.560596
 10-14 	52269.594835	26930.776720	25338.818115
 15-19 	64937.221727	33349.790606	31587.431121
 20-24 	56502.975965	29335.131916	27167.844049
 25-29 	46040.658050	23852.956033	22187.702016
 30-34 	39725.661274	20395.385252	19330.276022
 35-39 	34903.247847	18112.441323	16790.806524
 40-44 	29284.540363	15500.870141	13783.670222
 45-49 	23771.006488	12588.443979	11182.562509
 50-54 	19532.821008	10314.141937	9218.679071
 55-59 	15899.809907	8480.876865	7418.933042
 60-64 	12484.289151	6748.295382	5735.993769
 65-69 	9244.153002	5103.713525	4140.439477
 70-74 	6265.138626	3498.013737	2767.124888
 75-79 	3593.790536	1963.156390	1630.634146
 80+ 	2203.540894	1200.341627	1003.199267
Total	591331.668288	306256.098143	285075.570145
1978			
 0-4	89503.078064	45364.954082	44138.123983
 5-9	90168.357531	45990.615601	44177.741931
 10-14 	53853.329078	27738.459072	26114.870006
 15-19 	68387.864925	35131.024380	33256.840545
 20-24 	59757.451683	30983.624728	28773.826955
 25-29 	46887.990233	24387.135218	22500.855015
 30-34 	39925.446451	20465.712843	19459.733609
 35-39 	35642.436075	18396.231481	17246.204594
 40-44 	30112.194073	15917.622768	14194.571305
 45-49 	24342.991237	12927.520683	11415.470553
 50-54 	19950.014905	10537.621050	9412.393855
 55-59 	16283.684363	8675.040858	7608.643505
 60-64 	12800.662812	6908.119459	5892.543353
 65-69 	9510.275763	5226.628085	4283.647678
 70-74 	6478.361055	3625.074810	2853.286245
 75-79 	3781.175359	2074.866543	1706.308816
 80+ 	2345.920460	1278.679187	1067.241272
Total	609731.234069	315628.930849	294102.303220
1979			
 0-4	92241.280087	46766.237210	45475.042877
 5-9	93398.247657	47610.851671	45787.395986
 10-14 	54401.688157	27959.401773	26442.286384
 15-19 	71628.366764	36825.553137	34802.813627
 20-24 	63514.166637	32873.801352	30640.365286
 25-29 	48039.474973	25090.774074	22948.700899
 30-34 	40221.139287	20633.527295	19587.611992
 35-39 	36255.242619	18624.667589	17630.575030
 40-44 	30938.285226	16314.212338	14624.072888
 45-49 	24928.149989	13270.875964	11657.274025
 50-54 	20363.529063	10768.042937	9595.486126
 55-59 	16648.984636	8860.430047	7788.554588
 60-64 	13114.482232	7066.770665	6047.711567
 65-69 	9766.565256	5345.450204	4421.115053
 70-74 	6687.777465	3742.826585	2944.950880
 75-79 	3960.763730	2184.137623	1776.626107
 80+ 	2498.025514	1363.241891	1134.783623
Total	628606.169293	325300.802355	303305.366938
1980			
