Workshop_1_Demo	Total	Male	Female
1970			
 0-4	7443.129678	3728.419377	3714.710301
 5-9	7303.516087	3692.565104	3610.950983
 10-14 	4705.495863	2373.433078	2332.062785
 15-19 	9581.757228	4842.505655	4739.251573
 20-24 	9682.397999	4883.613106	4798.784893
 25-29 	8497.543444	4244.844617	4252.698827
 30-34 	7202.022207	3583.545351	3618.476856
 35-39 	6219.652175	3149.804167	3069.848008
 40-44 	5234.115229	2693.913208	2540.202021
 45-49 	4344.542195	2163.279131	2181.263064
 50-54 	3714.884347	1807.070055	1907.814292
 55-59 	2916.796508	1391.954180	1524.842328
 60-64 	2288.928689	1028.706303	1260.222386
 65-69 	1562.528088	663.838726	898.689362
 70-74 	1049.652644	419.082813	630.569831
 75-79 	631.648374	232.402939	399.245435
 80+ 	476.020483	154.231240	321.789243
Total	82854.631238	41053.209050	41801.422188
1971			
 0-4	7788.309713	3899.870700	3888.439013
 5-9	7578.045514	3826.067949	3751.977565
 10-14 	4848.712167	2446.823037	2401.889129
 15-19 	10048.601787	5073.592868	4975.008919
 20-24 	10215.591014	5154.765593	5060.825421
 25-29 	8769.519538	4389.990514	4379.529023
 30-34 	7486.079422	3722.490072	3763.589350
 35-39 	6410.249675	3227.372678	3182.876998
 40-44 	5430.623732	2785.894328	2644.729404
 45-49 	4490.803306	2253.776717	2237.026589
 50-54 	3794.393919	1842.597459	1951.796459
 55-59 	3031.141982	1444.984717	1586.157264
 60-64 	2336.156671	1056.110052	1280.046619
 65-69 	1631.361020	689.960906	941.400114
 70-74 	1059.134341	419.187581	639.946760
 75-79 	640.397779	233.493115	406.904664
 80+ 	480.953141	153.979067	326.974074
Total	86040.074718	42620.957351	43419.117367
1972			
 0-4	8087.058622	4046.705559	4040.353062
 5-9	7899.179032	3982.585445	3916.593588
 10-14 	5003.967879	2525.973046	2477.994833
 15-19 	10500.208105	5299.454833	5200.753272
 20-24 	10769.424810	5439.946015	5329.478795
 25-29 	9112.789824	4577.051707	4535.738117
 30-34 	7806.916000	3888.737278	3918.178721
 35-39 	6635.557226	3329.808092	3305.749134
 40-44 	5640.470963	2886.153696	2754.317266
 45-49 	4649.634692	2348.931304	2300.703388
 50-54 	3883.944224	1887.366022	1996.578202
 55-59 	3138.329556	1495.485470	1642.844086
 60-64 	2387.607571	1085.055138	1302.552433
 65-69 	1692.253279	713.996504	978.256775
 70-74 	1074.091232	422.611806	651.479426
