south_africa_test	Total	Male	Female
1970			
 0-4	13386.654119	6708.592956	6678.061163
 5-9	13518.570383	6837.723020	6680.847362
 10-14 	7849.917822	3962.343330	3887.574491
 15-19 	10880.799706	5499.637798	5381.161907
 20-24 	10345.958816	5219.202609	5126.756207
 25-29 	8866.241227	4430.209699	4436.031528
 30-34 	7360.549819	3663.331498	3697.218321
 35-39 	6233.583588	3156.940260	3076.643328
 40-44 	5156.837589	2653.997611	2502.839978
 45-49 	4216.528918	2100.094440	2116.434478
 50-54 	3557.724301	1731.106076	1826.618225
 55-59 	2763.110041	1319.019591	1444.090450
 60-64 	2147.431907	965.658495	1181.773412
 65-69 	1454.678617	618.409580	836.269037
 70-74 	970.466616	387.742346	582.724270
 75-79 	580.724043	213.840384	366.883659
 80+ 	434.719552	141.005657	293.713895
Total	99724.497062	49608.855351	50115.641711
1971			
 0-4	14010.188394	7018.423968	6991.764426
 5-9	14019.297385	7081.165030	6938.132355
 10-14 	8089.651956	4085.259628	4004.392328
 15-19 	11399.336565	5756.223555	5643.113010
 20-24 	10908.478640	5505.338443	5403.140197
 25-29 	9144.950383	4579.146255	4565.804128
 30-34 	7647.103691	3803.497116	3843.606575
 35-39 	6421.813326	3233.278320	3188.535006
 40-44 	5348.347388	2743.539108	2604.808280
 45-49 	4356.927419	2187.160780	2169.766639
 50-54 	3632.659665	1764.550967	1868.108698
 55-59 	2870.523004	1368.837010	1501.685995
 60-64 	2191.085248	991.081597	1200.003652
 65-69 	1518.310950	642.554031	875.756919
 70-74 	978.951173	387.728859	591.222314
 75-79 	588.600472	214.782786	373.817687
 80+ 	439.116941	140.740736	298.376205
Total	103565.342601	51503.308187	52062.034414
1972			
 0-4	14561.899129	7289.819871	7272.079258
 5-9	14624.643393	7376.616610	7248.026783
 10-14 	8358.916022	4222.562156	4136.353866
 15-19 	11914.326075	6013.763255	5900.562820
 20-24 	11505.016292	5812.481241	5692.535051
 25-29 	9507.462736	4776.538329	4730.924407
 30-34 	7978.938449	3975.425322	4003.513127
 35-39 	6651.086700	3337.701186	3313.385514
 40-44 	5558.124032	2843.845291	2714.278742
 45-49 	4513.667709	2280.827704	2232.840005
 50-54 	3720.577553	1808.493601	1912.083952
 55-59 	2973.803215	1417.516873	1556.286342
 60-64 	2240.689301	1018.859180	1221.830121
 65-69 	1575.935450	665.342384	910.593065
 70-74 	993.387443	391.140382	602.247061
 75-79 	596.675497	216.297633	380.377864
 80+ 	446.077507	142.094131	303.983376
Total	107721.226503	53589.325150	54131.901353
1973			
 0-4	15090.899973	7555.039275	7535.860698
 5-9	15250.520176	7676.083627	7574.436550
 10-14 	8642.556591	4366.751169	4275.805422
 15-19 	12414.318949	6263.031574	6151.287375
 20-24 	12118.324817	6125.658672	5992.666145
 25-29 	9896.660204	4986.646128	4910.014076
 30-34 	8313.765218	4152.018020	4161.747199
 35-39 	6889.155766	3448.460547	3440.695218
 40-44 	5767.497020	2940.421479	2827.075541
 45-49 	4680.070020	2377.505470	2302.564550
 50-54 	3811.423273	1856.850514	1954.572759
 55-59 	3074.959595	1464.145169	1610.814426
 60-64 	2293.815614	1048.164561	1245.651053
 65-69 	1632.077602	688.401493	943.676109
 70-74 	1013.011468	396.751274	616.260194
 75-79 	604.336748	217.550756	386.785992
