Year	type	group	mid	lo	hi
1990	Prevalence	All	479	240	797
1991	Prevalence	All	470	239	777
1992	Prevalence	All	440	223	730
1993	Prevalence	All	403	201	673
1994	Prevalence	All	377	186	635
1995	Prevalence	All	376	188	628
1996	Prevalence	All	399	206	655
1997	Prevalence	All	442	238	706
1998	Prevalence	All	492	272	775
1999	Prevalence	All	542	304	847
2000	Prevalence	All	590	337	913
2001	Prevalence	All	636	367	977
2002	Prevalence	All	679	393	1042
2003	Prevalence	All	717	414	1101
2004	Prevalence	All	753	434	1158
2005	Prevalence	All	786	453	1209
2006	Prevalence	All	806	461	1246
2007	Prevalence	All	817	465	1264
2008	Prevalence	All	807	454	1257
2009	Prevalence	All	775	432	1216
2010	Prevalence	All	740	409	1165
2011	Prevalence	All	723	397	1144
2012	Prevalence	All	734	407	1156
2013	Prevalence	All	715	396	1126
1990	Incidence	All	313	265	386
1991	Incidence	All	309	266	360
1992	Incidence	All	299	259	339
1993	Incidence	All	290	257	323
1994	Incidence	All	289	260	329
1995	Incidence	All	302	277	349
1996	Incidence	All	333	309	376
1997	Incidence	All	379	351	418
1998	Incidence	All	439	403	483
1999	Incidence	All	509	464	551
2000	Incidence	All	585	531	628
2001	Incidence	All	666	610	702
2002	Incidence	All	746	691	785
2003	Incidence	All	820	765	875
2004	Incidence	All	883	824	954
2005	Incidence	All	932	868	999
2006	Incidence	All	963	897	1016
2007	Incidence	All	977	911	1028
2008	Incidence	All	977	912	1035
2009	Incidence	All	967	900	1031
2010	Incidence	All	948	875	1020
2011	Incidence	All	922	850	1000
2012	Incidence	All	892	812	990
2013	Incidence	All	860	776	980
1990	Incidence	HIV+	3	2.4	3.8
1991	Incidence	HIV+	6.2	5.5	7.4
1992	Incidence	HIV+	12	10	13
1993	Incidence	HIV+	21	18	23
1994	Incidence	HIV+	34	29	39
1995	Incidence	HIV+	53	46	61
1996	Incidence	HIV+	79	72	91
1997	Incidence	HIV+	116	108	129
1998	Incidence	HIV+	163	150	176
1999	Incidence	HIV+	221	202	240
2000	Incidence	HIV+	287	259	316
2001	Incidence	HIV+	358	322	389
2002	Incidence	HIV+	427	393	454
2003	Incidence	HIV+	491	455	530
2004	Incidence	HIV+	542	505	599
2005	Incidence	HIV+	576	533	646
2006	Incidence	HIV+	594	552	655
2007	Incidence	HIV+	599	557	650
2008	Incidence	HIV+	603	562	648
2009	Incidence	HIV+	613	565	662
2010	Incidence	HIV+	616	564	671
2011	Incidence	HIV+	594	548	648
2012	Incidence	HIV+	545	495	608
2013	Incidence	HIV+	520	464	594
1990	Incidence	Notifications	218.516917	218.516917	218.516917
1991	Incidence	Notifications	206.0083268	206.0083268	206.0083268
1992	Incidence	Notifications	213.5568371	213.5568371	213.5568371
1993	Incidence	Notifications	226.5978752	226.5978752	226.5978752
1994	Incidence	Notifications	222.6036651	222.6036651	222.6036651
1995	Incidence	Notifications	178.4279311	178.4279311	178.4279311
1996	Incidence	Notifications	259.0462719	259.0462719	259.0462719
1997	Incidence	Notifications	293.458479	293.458479	293.458479
1998	Incidence	Notifications	326.6450917	326.6450917	326.6450917
1999	Incidence	Notifications	335.2438428	335.2438428	335.2438428
2000	Incidence	Notifications	337.2386289	337.2386289	337.2386289
2001	Incidence	Notifications	325.7449369	325.7449369	325.7449369
2002	Incidence	Notifications	465.7507566	465.7507566	465.7507566
2003	Incidence	Notifications	485.011125	485.011125	485.011125
2004	Incidence	Notifications	562.0883214	562.0883214	562.0883214
2005	Incidence	Notifications	560.1251582	560.1251582	560.1251582
2006	Incidence	Notifications	619.6197297	619.6197297	619.6197297
2007	Incidence	Notifications	635.6801226	635.6801226	635.6801226
2008	Incidence	Notifications	692.7758157	692.7758157	692.7758157
2009	Incidence	Notifications	707.7740902	707.7740902	707.7740902
2010	Incidence	Notifications	689.5428221	689.5428221	689.5428221
2011	Incidence	Notifications	697.7087411	697.7087411	697.7087411
2012	Incidence	Notifications	617.8454058	617.8454058	617.8454058
2013	Incidence	Notifications	591.8963744	591.8963744	591.8963744
2014	Incidence	Notifications	576.149793	576.149793	576.149793
1990	Mortality	HIV-	51	33	71
1991	Mortality	HIV-	48	29	63
1992	Mortality	HIV-	42	25	54
1993	Mortality	HIV-	36	21	48
1994	Mortality	HIV-	31	19	45
1995	Mortality	HIV-	30	20	43
1996	Mortality	HIV-	33	24	47
1997	Mortality	HIV-	39	27	56
1998	Mortality	HIV-	45	32	63
1999	Mortality	HIV-	51	35	68
2000	Mortality	HIV-	55	38	71
2001	Mortality	HIV-	58	40	73
2002	Mortality	HIV-	61	41	75
2003	Mortality	HIV-	62	42	75
2004	Mortality	HIV-	64	42	77
2005	Mortality	HIV-	64	42	79
2006	Mortality	HIV-	64	41	81
2007	Mortality	HIV-	63	40	81
2008	Mortality	HIV-	59	38	79
2009	Mortality	HIV-	53	34	73
2010	Mortality	HIV-	48	30	67
2011	Mortality	HIV-	46	29	66
2012	Mortality	HIV-	49	30	72
2013	Mortality	HIV-	48	28	73
