Vietnam_test	Total	Male	Female
1970			
 0-4	48709.200760	24813.747574	23895.453186
 5-9	21843.360605	11106.488700	10736.871906
 10-14 	8817.865218	4474.246592	4343.618626
 15-19 	22129.273860	11209.430524	10919.843336
 20-24 	13517.883552	6659.741794	6858.141758
 25-29 	10507.802109	5152.556140	5355.245969
 30-34 	9799.714391	4784.679941	5015.034450
 35-39 	9973.091957	4856.817421	5116.274536
 40-44 	8257.021334	3989.770054	4267.251280
 45-49 	7360.406529	3520.358854	3840.047675
 50-54 	6087.861903	2922.131615	3165.730288
 55-59 	5518.036006	2619.406925	2898.629081
 60-64 	4444.675989	2066.221414	2378.454576
 65-69 	3829.223114	1689.689865	2139.533249
 70-74 	2466.712593	982.793912	1483.918681
 75-79 	1462.700421	498.915980	963.784441
 80+ 	1081.095585	272.076003	809.019582
Total	185805.925926	91619.073307	94186.852619
1971			
 0-4	48674.510402	24777.586530	23896.923872
 5-9	22048.079729	11206.418463	10841.661265
 10-14 	8940.011985	4534.039399	4405.972586
 15-19 	22352.206523	11316.055210	11036.151312
 20-24 	13680.425137	6737.556444	6942.868693
 25-29 	10641.763010	5214.002028	5427.760982
 30-34 	9930.671550	4843.132578	5087.538972
 35-39 	10105.299148	4914.620479	5190.678669
 40-44 	8365.649419	4035.745968	4329.903451
 45-49 	7451.126932	3556.054838	3895.072095
 50-54 	6160.431771	2951.342664	3209.089106
 55-59 	5569.797043	2637.217367	2932.579677
 60-64 	4470.778845	2066.881156	2403.897689
 65-69 	3816.965490	1670.176236	2146.789254
 70-74 	2431.339704	956.943919	1474.395785
 75-79 	1419.488476	475.456084	944.032392
 80+ 	1009.584310	248.047889	761.536421
Total	187068.129475	92141.277252	94926.852224
1972			
 0-4	49603.994224	25246.150714	24357.843510
 5-9	22603.659297	11482.940333	11120.718964
 10-14 	9283.790191	4704.115022	4579.675169
 15-19 	24003.162493	12158.688450	11844.474044
 20-24 	14921.494071	7386.973748	7534.520323
 25-29 	10899.757671	5328.366438	5571.391233
 30-34 	9891.286407	4815.207588	5076.078819
 35-39 	10160.498505	4930.233827	5230.264678
 40-44 	8654.366162	4168.810585	4485.555577
 45-49 	7602.876395	3614.568495	3988.307900
 50-54 	6327.199330	3017.485009	3309.714321
 55-59 	5642.226718	2663.815349	2978.411369
 60-64 	4565.360732	2098.563442	2466.797290
 65-69 	3833.649785	1668.670489	2164.979297
 70-74 	2530.039520	996.992842	1533.046678
 75-79 	1446.255583	483.865724	962.389858
 80+ 	1027.336991	251.952184	775.384808
Total	192996.954075	95017.400237	97979.553838
1973			
 0-4	50612.900749	25754.419484	24858.481264
 5-9	23155.436586	11758.694308	11396.742279
 10-14 	9597.809283	4859.556056	4738.253227
 15-19 	25566.705107	12941.748558	12624.956549
 20-24 	16454.229590	8197.704912	8256.524678
 25-29 	11215.688468	5468.289087	5747.399381
 30-34 	9924.886108	4825.164624	5099.721484
 35-39 	10090.211874	4884.193505	5206.018369
 40-44 	9027.649087	4341.921748	4685.727339
 45-49 	7707.206334	3653.763689	4053.442644
 50-54 	6552.363784	3106.992793	3445.370991
 55-59 	5676.464918	2674.116565	3002.348352
 60-64 	4709.939295	2152.353402	2557.585892
 65-69 	3811.370577	1650.249203	2161.121374
 70-74 	2648.998135	1045.351676	1603.646459
 75-79 	1471.331947	492.286624	979.045323
 80+ 	1047.737973	256.988195	790.749778
Total	199270.929813	98063.794430	101207.135383
1974			
 0-4	51700.378531	26301.339070	25399.039461
 5-9	23728.167553	12047.922718	11680.244835
 10-14 	9894.720412	5007.219137	4887.501275
 15-19 	27054.018747	13677.343946	13376.674801
 20-24 	18188.179822	9115.925525	9072.254297
 25-29 	11670.000767	5681.051473	5988.949295
 30-34 	10036.021886	4874.690850	5161.331036
 35-39 	9953.562342	4807.541820	5146.020522
 40-44 	9432.443457	4530.365587	4902.077870
 45-49 	7811.245060	3697.462899	4113.782161
 50-54 	6816.377556	3213.423619	3602.953937
 55-59 	5712.017163	2687.187401	3024.829762
 60-64 	4889.346563	2224.391342	2664.955221
 65-69 	3794.949410	1637.020796	2157.928614
 70-74 	2782.095662	1100.005292	1682.090369
 75-79 	1513.492498	508.565946	1004.926552
 80+ 	1080.494322	266.290879	814.203443
Total	206057.511750	101377.748300	104679.763450
1975			
 0-4	52863.136298	26886.566500	25976.569798
 5-9	24311.522789	12344.638988	11966.883801
 10-14 	10188.506363	5154.111058	5034.395304
 15-19 	28486.735517	14385.886743	14100.848773
 20-24 	19971.866292	10052.526069	9919.340223
 25-29 	12371.732254	6030.295481	6341.436773
 30-34 	10213.743508	4956.509664	5257.233844
 35-39 	9836.103765	4743.032616	5093.071150
 40-44 	9776.035480	4690.178140	5085.857340
 45-49 	7979.435063	3775.491068	4203.943995
 50-54 	7078.767850	3321.135122	3757.632727
 55-59 	5797.801285	2724.257168	3073.544117
 60-64 	5068.897853	2301.256042	2767.641811
 65-69 	3831.180302	1650.000308	2181.179994
 70-74 	2910.810480	1153.998592	1756.811887
 75-79 	1587.538005	538.871348	1048.666657
 80+ 	1130.748040	281.845749	848.902291
Total	213404.561144	104990.600658	108413.960487
1976			
 0-4	54037.963573	27488.362935	26549.600637
 5-9	24836.469334	12608.241240	12228.228095
 10-14 	10475.640477	5298.345162	5177.295315
 15-19 	29784.893998	15032.299832	14752.594165
 20-24 	21571.947694	10881.546935	10690.400759
 25-29 	13260.289300	6488.268863	6772.020437
 30-34 	10368.556546	5023.098790	5345.457757
 35-39 	9731.081757	4684.671094	5046.410662
 40-44 	9958.318110	4771.272065	5187.046045
 45-49 	8216.049714	3886.566610	4329.483103
 50-54 	7294.100501	3409.618406	3884.482095
 55-59 	5944.479666	2787.351961	3157.127704
 60-64 	5216.045244	2367.818867	2848.226377
 65-69 	3931.889745	1692.978295	2238.911450
 70-74 	3018.611874	1200.326094	1818.285780
 75-79 	1693.793314	582.825139	1110.968175
 80+ 	1197.664461	303.261650	894.402811
Total	220537.795308	108506.853940	112030.941368
1977			
 0-4	55074.011500	28015.492785	27058.518716
 5-9	25390.222915	12889.643450	12500.579465
 10-14 	10761.834654	5442.945644	5318.889010
 15-19 	30990.208715	15635.313740	15354.894975
 20-24 	23071.659275	11646.708843	11424.950432
 25-29 	14381.665196	7076.667283	7304.997913
 30-34 	10552.770426	5101.755516	5451.014910
 35-39 	9661.816087	4644.903053	5016.913035
 40-44 	10009.674282	4788.980840	5220.693442
 45-49 	8521.769553	4031.068794	4490.700759
 50-54 	7472.019296	3483.875552	3988.143744
 55-59 	6146.429497	2873.156063	3273.273434
 60-64 	5336.575379	2425.338526	2911.236853
 65-69 	4083.950810	1759.612828	2324.337982
 70-74 	3107.605837	1239.689042	1867.916795
 75-79 	1826.470085	637.765693	1188.704392
 80+ 	1278.422889	329.457948	948.964941
Total	227667.106395	112022.375600	115644.730795
1978			
 0-4	56028.305684	28503.651508	27524.654176
 5-9	25961.536416	13179.120448	12782.415967
 10-14 	11047.485126	5588.156416	5459.328710
 15-19 	32102.810527	16194.265591	15908.544936
 20-24 	24482.776576	12353.921473	12128.855103
 25-29 	15764.375207	7809.933254	7954.441953
