Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 0-4	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 20-24 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 25-29 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 30-34 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 35-39 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 40-44 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 45-49 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 50-54 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 55-59 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 60-64 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
1971																																																																																																																																																																																																																																																										
 0-4	0.000010	0.000005	0.000005																																																																																																																																																																																																																																																							
 5-9	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.001726	0.001599	0.000127																																																																																																																																																																																																																																																							
 20-24 	0.001599	0.001506	0.000093																																																																																																																																																																																																																																																							
 25-29 	0.001275	0.001212	0.000062																																																																																																																																																																																																																																																							
 30-34 	0.001262	0.001217	0.000045																																																																																																																																																																																																																																																							
 35-39 	0.001203	0.001158	0.000045																																																																																																																																																																																																																																																							
 40-44 	0.000835	0.000803	0.000032																																																																																																																																																																																																																																																							
 45-49 	0.000469	0.000450	0.000019																																																																																																																																																																																																																																																							
 50-54 	0.000168	0.000162	0.000006																																																																																																																																																																																																																																																							
 55-59 	0.000069	0.000068	0.000001																																																																																																																																																																																																																																																							
 60-64 	0.000006	0.000006	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000001	0.000001	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.008623	0.008189	0.000434																																																																																																																																																																																																																																																							
1972																																																																																																																																																																																																																																																										
 0-4	0.000030	0.000015	0.000015																																																																																																																																																																																																																																																							
 5-9	0.000002	0.000001	0.000001																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.006071	0.005618	0.000453																																																																																																																																																																																																																																																							
 20-24 	0.006700	0.006294	0.000406																																																																																																																																																																																																																																																							
 25-29 	0.004697	0.004461	0.000237																																																																																																																																																																																																																																																							
 30-34 	0.004622	0.004451	0.000171																																																																																																																																																																																																																																																							
 35-39 	0.004525	0.004360	0.000165																																																																																																																																																																																																																																																							
 40-44 	0.003456	0.003324	0.000132																																																																																																																																																																																																																																																							
 45-49 	0.001990	0.001910	0.000079																																																																																																																																																																																																																																																							
 50-54 	0.000803	0.000771	0.000031																																																																																																																																																																																																																																																							
 55-59 	0.000303	0.000298	0.000005																																																																																																																																																																																																																																																							
 60-64 	0.000048	0.000048	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000004	0.000004	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000001	0.000001	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000001	0.000001	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.033252	0.031557	0.001695																																																																																																																																																																																																																																																							
1973																																																																																																																																																																																																																																																										
 0-4	0.000069	0.000035	0.000034																																																																																																																																																																																																																																																							
 5-9	0.000011	0.000006	0.000005																																																																																																																																																																																																																																																							
 10-14 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
 15-19 	0.010516	0.009727	0.000790																																																																																																																																																																																																																																																							
 20-24 	0.014512	0.013607	0.000905																																																																																																																																																																																																																																																							
 25-29 	0.009541	0.009051	0.000490																																																																																																																																																																																																																																																							
 30-34 	0.009074	0.008723	0.000350																																																																																																																																																																																																																																																							
 35-39 	0.008977	0.008652	0.000325																																																																																																																																																																																																																																																							
 40-44 	0.007337	0.007058	0.000280																																																																																																																																																																																																																																																							
 45-49 	0.004355	0.004181	0.000173																																																																																																																																																																																																																																																							
 50-54 	0.001895	0.001820	0.000076																																																																																																																																																																																																																																																							
 55-59 	0.000682	0.000668	0.000014																																																																																																																																																																																																																																																							
 60-64 	0.000145	0.000145	0.000000																																																																																																																																																																																																																																																							
 65-69 	0.000006	0.000006	0.000000																																																																																																																																																																																																																																																							
 70-74 	0.000003	0.000003	0.000000																																																																																																																																																																																																																																																							
 75-79 	0.000003	0.000003	0.000000																																																																																																																																																																																																																																																							
 80+ 	0.000000	0.000000	0.000000																																																																																																																																																																																																																																																							
Total	0.067129	0.063686	0.003443																																																																																																																																																																																																																																																							
1974																																																																																																																																																																																																																																																										
 0-4	0.000114	0.000058	0.000056																																																																																																																																																																																																																																																							
 5-9	0.000027	0.000014	0.000013																																																																																																																																																																																																																																																							
 10-14 	0.000003	0.000001	0.000001																																																																																																																																																																																																																																																							
 15-19 	0.014062	0.013003	0.001059																																																																																																																																																																																																																																																							
 20-24 	0.024503	0.022934	0.001568																																																																																																																																																																																																																																																							
 25-29 	0.015740	0.014919	0.000821																																																																																																																																																																																																																																																							
 30-34 	0.014176	0.013607	0.000569																																																																																																																																																																																																																																																							
 35-39 	0.013994	0.013492	0.000502																																																																																																																																																																																																																																																							
 40-44 	0.012029	0.011571	0.000458																																																																																																																																																																																																																																																							
 45-49 	0.007382	0.007089	0.000292																																																																																																																																																																																																																																																							
